morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ation,http://www.web-feed.de/rss/beruf-karriere/web-feed-18716.php,b26b4cfb427c4e05c09189afa85660d6a37d,100,Innovation,Innovation,_,,
-ation,http://www.spieleprogrammierer.de/14-buch-cplusplus-f%C3%BCr-spieleprogrammierer/12468-sdl-game-und-sfml,cf3f5bbeed6f26b986a2f704c4ad78f8525f,23,Repräsentation,Repräsentation,_,,
-ation,http://www.pchome.de/download/internet/downloadmanager_10.html,77296cf2f76f0579a7f62300adb4e852b6f1,22,Informationen,Information,_,,
-ation,http://hsozkult.geschichte.hu-berlin.de/tagungsberichte/id=1211,87953fc7f4faab5ff2bb39446a89546f844d,3,Repräsentationen,Repräsentation,_,,
-ation,http://lektor-lektorat.de,ef5d892dfd1d03e08bd88440fbd25aa6f733,4,Präsentationen,Präsentation,_,,
-ation,http://lehrerfortbildung-bw.de/lak/co/service/lektuere/co_07/co_07_23.htm,01a93e262aaed226de84c336d7e6470cec7c,10,Selbstmotivation,Selbstmotivation,selbst_Motivation,selbst,Motivation
-ation,http://www.kantel.de/schockwellenreiter/webworking/archiv/2008/03.html,1799afa68cb4ae3100078cf1c5808ec57748,92,Kommunikation,Kommunikation,_,,
-ation,http://pferdeforum.digiwurm.de/pferd-und-handy-was-haltet-ihr-davon,b13bcd64f1c7977551de08f74e54f08fe264,99,Situation,Situation,_,,
-ation,http://www.tdh-nrw.de/ag/hagen/aktionen/rueckblick2009.html,c03da650a3bc949008c84d3e48575e845114,33,Integration,Integration,_,,
-ation,http://unique-labs.de/twitter-potentiale-und-herausforderungen,4ceaeb5ff6bb5983ffb2f2124ceeeeb7d828,6,Informationen,Information,_,,
-ation,http://www.form3d.de/konfigurator,28d3ebd281e80769b2c9dc693622c51af37d,1,Präsentationen,Präsentation,_,,
-ation,http://www.muskelpower-forum.de/ntopic8687.html,0cde8d05f6e4d7c78c19cc20f913f093676e,40,Kombination,Kombination,_,,
-ation,http://www.jusohochschulgruppen.de/meldungen/beschluesse/beschluss.html?%26object=215,b6f29381d925fd0f7809e04a96873dc58a95,91,Situation,Situation,_,,
