morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ement,http://www.immonet.de/hessen/giessen-giessen-erdgeschosswohnung-mieten-107459c1218-3.html,444a76777d300a677981575a5ec117a5bb01,15,Appartement,Appartement,_,,
-ement,http://www.willing-evers.de/8_perso/beitrag/kaenders_gerhard.htm,39b711b8be1995ae6b31d6648b696a3f3e44,15,Engagement,Engagement,_,,
-ement,http://www.schule-musik.de/Musikunterricht/Tontechnik/tontechnik.html,7429bda4ae0e274fd7a0420beb6033f89f95,37,Arrangement,Arrangement,_,,
-ement,http://www.solarmillennium.de/deutsch/presse/meldungen/archiv-2010/index.html,1ee2582640c5d33c2749f5b7549fd214f687,7,Management,Management,_,,
-ement,http://www.ferienhaus-mit-pool-24.de/Pego.html,a51cff0a65178dbe6c8fee099983d3319fd7,11,Appartements,Appartement,_,,
-ement,http://www.gcb.de/de/newsroom/newsblog?page=130,23e99610605701c0e8363c0b1d494d605f69,17,Management,Management,_,,
-ement,http://www.bitburg-pruem.de/cms/kreisnachrichten-2012/kreisnachrichten-51-2012-22-12-2012,110d817b38503f879e960b84f29b5b8bc02c,76,Engagement,Engagement,_,,
-ement,http://www.telefon-treff.de/archiv/topic/14755-4.html,69ec57cbf688529116602a7c5ffe7a9ecd6d,233,Abonnement,Abonnement,_,,
-ement,http://www.die-artikel.de/artikel/haus-garten/page/4,7ce96644e7140245475358c2b74663874664,163,Spurenelementen,Spurenelement,Spur_+en_Element,Spur,Element
-ement,http://www.frankfurtlounge.de/der-weg-zum-ich.html,b4bb8cb0437a07f312dc362e0e0106186ed6,18,Selbstmanagement,Selbstmanagement,selbst_Management,selbst,Management
-ement,http://www.immoportal.de/katalog/immoprof/weitere_dienstleister_und_institutionen/spezialisierte_personalberater/2,a242552f9e04f950f89768f2a9215fc72b1d,8,Personalmanagement,Personalmanagement,Personal_Management,Personal,Management
-ement,http://www.strandgut.de/aktuell/category/kunst,027379785ca6a62acbc4d73a44acd8598e4c,166,Bombardement,Bombardement,_,,
-ement,http://www.ostseeferienwohnung.de/Gross-Schwansee/135/1710/Ferienwohnung_Strandvilla.html,d0dd2c0744ec825c776182bcdf65202271d1,2,Appartement,Appartement,_,,
-ement,http://www.dbu.de/123artikel35173_1316.html,1045619116995fcbd9b97d5eeff3ed5fb855,18,Offenlandmanagement,Offenlandmanagement,offen_Land_Management,offen,Management
-ement,http://www.uni-muenchen.de/forschung/service/wiss_transfer/gruenderbuero/wettbewerbe/5eb/index.html,3ed91a1b682c5fdb5a6275919fec47b565a4,8,Projektmanagement,Projektmanagement,Projekt_Management,Projekt,Management
-ement,http://108047.homepagemodules.de/t1669f36-stute-wieviel-fohlen-1.html,3bce6fa7fcf8743f42f63a655f0faa07a7ee,35,statement,Statement,_,,
-ement,http://www.peters-ada.de/radar.htm,7a5553c448c798683ed5eef8cb786a7bf2d2,33,Bauelementen,Bauelement,Bau_Element,Bau,Element
-ement,http://www.die-linke.de/nc/dielinke/nachrichten/detail/artikel/oskar-lafontaine-keine-erneute-kandidatur-als-parteivorsitzender/druckversion.html,e2443300639ceda7ee3d0d19327c3c6dfcd1,6,Statement,Statement,_,,
-ement,http://www.presseanzeiger.de/thema/es+office,2120d25b8dc5b6a25734b2436b0f83f54ca7,22,Risikomanagement,Risikomanagement,Risiko_Management,Risiko,Management
-ement,http://www.my-flame.de/glossar/sicherheit-vom-ethanol-kamin__7.php,4c13f9101cd3aae4d3de16e855b23750a29e,48,Heizelement,Heizelement,heizen_#en_Element,heizen,Element
-ement,http://www.andreherrmann.de/hypezig-die-geister-die-ihr-ruft/?replytocom=18756,a80c27030258d4c8e3ba5f99706169e32569,21,Understatement,Understatement,_,,
-ement,http://www.upj.de/National.45.0.html?%26tx_ttnews[pointer]=2%26cHash=13e66d84b3,7ef9657a4b3d9719971b7c8a5d1a7e0a9e7d,1,Engagement,Engagement,_,,
-ement,http://www.wissen.dsft-berlin.de/Wissen_managen__wie_Unternehmen_ihre_wertvollste_R/Info-alle-428-4-1.490.html,433430007d151cbb2bc4cb3c8e147915d712,10,Wissensmanagement,Wissensmanagement,Wissen_+s_Management,Wissen,Management
-ement,http://www.weisenbach.de/aktuelles/gemeindeanzeiger/2005/kw04_05/gemeindeanzeiger_04_05.htm,b93b3012f523c8de49d94a2549657de47b81,121,Engagement,Engagement,_,,
-ement,http://www.moviefans.de/a-z/c/coraline/index.html,2064c15cbc699a569f49d5a01c680f0d31e3,53,Zeichentrick-Elemente,Zeichentrick-Element,Zeichentrick_--_Element,Zeichentrick,Element
-ement,http://www.musikansich.de/ausgaben/1111/reviews/good_intentions.html,f81be7d31e03f70efa2c99e4db63b950fc18,5,Gesangsarrangements,Gesangsarrangement,Gesang_+s_Arrangement,Gesang,Arrangement
-ement,http://www.schwidaem-dresden.de/metallgummi.html,352cc1c3148acedac8e2084c7df60f652219,5,Lagerelemente,Lagerelement,Lager_Element,Lager,Element
-ement,http://www.tu-ilmenau.de/gross/mm/qualifikationsarbeiten/abschlussarbeiten/litseite/24,1fd3fcfd4b7950da830388117f256bd9e0df,29,Projektmanagement,Projektmanagement,Projekt_Management,Projekt,Management
-ement,http://www.hifi-forum.de/viewthread-151-9631.html,cf059092dccc2535902c649d37a254b33430,367,Touch-Elementen,Touch-Element,Touch_--_Element,Touch,Element
-ement,http://www.zwischenrufe-diskussion.de/pages/allgemeines/wenn-kirche-krank-macht.php,ce37cc8812b6a90902379bdaa11bc5e1fc8d,20,Engagement,Engagement,_,,
-ement,http://www.heise-medien.de/presse/emos-Das-Magazin-fuer-ein-bewegtes-Leben-1609865.html,7126c62eb675a82a15c2d2d20d7d965b4c75,7,Unterhaltungselementen,Unterhaltungselement,Unterhaltung_+s_Element,Unterhaltung,Element
-ement,http://waaagh.de/2011/05/addons-assisten-leicht-gemacht-mit-swift-assist,9d0cf5be5765e520286ff025548ba9e1fdee,139,Interfaceelement,Interfaceelement,Interface_Element,Interface,Element
-ement,http://www.gulp.de/skill-profil/983F0D60-Aufgaben-im-Bereich-Test-und-Qualitaetssicherung-Testleiter-Projektleiter-Koordinator.html,861501c677af16645c7c23e3c52287e3a978,60,Management,Management,_,,
-ement,http://www.kurhaus-ochs.de/zimmerpreise.html,cd99a834c6c8be156ac0cc8094fc03da4687,3,Appartements,Appartement,_,,
-ement,http://www.gfc-racing.de/boxengefl%C3%BCster/boxengefl%C3%BCster-09-2009,20de80b7f9c3a918a01e8ffbf1d4039d3b66,94,Statement,Statement,_,,
-ement,http://www.akad.de/Integriertes-Kompetenzmanagement.263.0.html,8f1affb52284f8078cda7e6b23958769d839,8,Kompetenzmanagements,Kompetenzmanagement,Kompetenz_Management,Kompetenz,Management
-ement,http://www.computerwoche.de/hardware/data-center-server/storage-kosten-senken/faq,96fadbb18dc0e1b1c8f6485e816c1803bde1,114,Storage-Management,Storage-Management,Storage_--_Management,Storage,Management
-ement,http://www.ufop.de/3379.php,4a1835f7b1945dcaa50849642ce3b766e3bb,6,Qualitätsmanagement,Qualitätsmanagement,Qualität_+s_Management,Qualität,Management
-ement,http://www.lgh.de/aktuelles/aktuelle-meldungen/zukunftsfaehig-im-handwerk-wir-unterstuetzen-sie.html,bcc5a6429993c4b27a7e8f485a7c37915b67,8,Engagement,Engagement,_,,
-ement,http://www.umsetzungsberatung.de/lexikon/lexikon-change-management-e-h.php,04b7533d08750d11ee708612bc9b2a5b166e,104,Managements,Management,_,,
