morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-end,http://www.sektor6.com.saul.speedpartner.de/forum/archive/index.php?t-6039.html,dcb54f49cce45db766107324f055b41d13c1,24,TV-Abende,TV-Abend,_,,
-end,http://www.butterbemme.de/blog,43f9e0af926d6ebcad72eba8f8015fc5390a,36,Jahrtausends,Jahrtausend,_,,
-end,http://www.wwa-ab.bayern.de/projekte_und_programme/technischer_hochwasserschutz/hws_und_oeko_lohr/index.htm,03bfa527b00064665137808778079e0642cf,28,Vorteilziehende,Vorteilziehend,Vorteil_ziehend,Vorteil,ziehend
-end,http://www.msvportal.de/forum/archive/index.php/t-9036.html,f0453905b15338d8a3743745f8f11dc1c855,195,eiss-Abend,eiss-Abend,eiss_--_Abend,eiss,Abend
-end,http://www.designmadeingermany.de/2011/11209,cb65889659775548fbe7bd7804f37e5b4bac,4,Design-Studierende,Design-Studierend,Design_--_studierend,Design,studierend
-end,http://www.geschichtswerkstatt.de/Zeitung/304.html,903b0bb73bca0ad9c983bd5b2b7164451044,2,Zehntausende,Zehntausend,zehn_Tausend,zehn,Tausend
-end,http://www.tsv-sub.de/urlaub/aegypten/aegypten.htm,6984d42bf1b69316cf7b42b7cc4b9fc3808c,45,Jahrtausende,Jahrtausend,_,,
-end,http://www.wiwi-online.de/start.php?a_title=693%26to=ar%26id=379,e484e470380e3c8669c4b08c578f3ae08bbc,32,Aufwärtstrend,Aufwärtstrend,_,,
-end,http://fussball-fenster.de/Aktuelles/Vereinsmeldungen/2/3,61f8eff390c100c5355f9f5bbae6c096f457,106,C-Jugend,C-Jugend,_,,
-end,http://www.solarbericht.de/solaranlagen-spanien.html,6899d8f419bfb812f5fe6e8999ee82b536c9,67,Öko-Trend,Öko-Trend,Öko_--_Trend,Öko,Trend
-end,http://www.rexpacis.de/rexpacis/Liebe%20Barmherzigkeit%20u%20Gerechtigkeit/Die%20Suende.htm,5683374fdff2de4dbf478d69838d891bb122,333,Hunderttausenden,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.hottenlotten.de//improesie_neu/in_news_2013_mai.htm,b74919ca4ee22583f87a5e27bb21828d0199,174,Jahrtausend,Jahrtausend,_,,
-end,http://www.turbine-dresden.de/cm/page/26,8a04e2060beae05ebac3575d95c0c4f81488,66,E-Jugend,E-Jugend,_,,
-end,http://www.maine-coon-hilfe.de/html/body_not-felle.html,ec78ca2613bff212ca780e360163d3430c48,219,Wohngegend,Wohngegend,wohnen_#en_Gegend,wohnen,Gegend
-end,http://www.bornheimer-hang.de/?p=896,b1a0b0a4f0fedddcf185299720c43e18438d,49,B-Jugend,B-Jugend,_,,
-end,http://www.forum-dreigliederung.de/alsodrei/g10.html,c637067bc84007b3a291d289b9bd510528b8,400,Menschenelend,Menschenelend,Mensch_+en_Elend,Mensch,Elend
-end,http://www.rubstudent.de/RS6/Forum/archive/index.php/t-2716.html,666472f644daae729ff25560a8f5fe74cc70,282,Turbojugend,Turbojugend,Turbo_Jugend,Turbo,Jugend
-end,http://www.partner-fuer-schule.nrw.de/dev/t3/fileadmin/user_upload/forum-schule/forum-schule-archiv/archiv/04/fs04/magpin.html,020dd2a33751961186d15ae512fcd5408f9e,8,Erziehender,Erziehend,_,,
-end,http://www.gebrueder-kopp.de/archiv/2003/archiv2003.html,01d25f38738c059c0ed204cfc74354b070e2,84,D-Jugend,D-Jugend,_,,
-end,http://www.movingmarkets.de/trends/trends5_1999-092001.htm,24177b33f77bba55353f18c6a36410d0ab72,362,Aufwärtstrend,Aufwärtstrend,_,,
-end,http://www.holzkircher.de/magazinneu/textilfachwoerter/index.htm,531622d620267bfd7dacddfcaaa8534982e9,457,Jahrtausende,Jahrtausend,_,,
-end,"http://www.tsv-rudelzhausen.de/Allgemeines/Neues,%20Aktuelle%20Berichte/neu-presse2002-1-.html",92e30c040a5a15932d3e84c24132ef081a25,114,E-Jugend,E-Jugend,_,,
-end,http://www.sprachdirekt.de/spanisch-sprachschulen,897d907dbac2d728d60ed2105a8d31cfa777,1,Zehntausende,Zehntausend,zehn_Tausend,zehn,Tausend
-end,http://www.mormonismus-enzyklopaedie.de/Prophet.html,9ac35087de99aae16f02a83bfaa347bc6d40,99,Voraussagendes,Voraussagend,_,,
-end,http://www.art-o-man.de/info/GildenhallAntiqu9797/sachgebiet_42_FC_63_68_65_72_2F_4E_61_74_75_72_77_69_73_73_65_6E_73_63_68_61_66_74_65_6E_2F_54_65_63_68_6E_69_6B_20_61_6C_6C_67_2E.htm,87c51a80c7794b893cc48105cc6e4df8bf41,238,Jahrtausends,Jahrtausend,_,,
-end,http://www.radiokosmos.de/news/news10.html,5fd8d91685281bed55f6e8ff12e8e9889e3b,28,Musiktrends,Musiktrend,Musik_Trend,Musik,Trend
-end,http://www.drachental.de/pb03_03.htm,279c0a2c72dc1d5dfa726ae2747f4dd03cb7,124,Jahrtausende,Jahrtausend,_,,
-end,http://www.hs-coburg.de/rechtsber.3.html,4f23c34128dcb998718338850bc6c0c92a4b,18,Rechtsuchende,Rechtsuchend,Recht_suchend,Recht,suchend
-end,http://www.hoerspielhoelle.de/hsps/jackslaughteruniversal08.html,0300b56d265228298a9a79c53808c63e8425,1,Reverend,Reverend,_,,
-end,http://www.odoq.de/680/lachmuskel.htm,12cf2afaa19aeda6c6b268efd65d2757644b,2,Wangengegend,Wangengegend,Wange_+n_Gegend,Wange,Gegend
-end,http://philo-welt.de/forum/archive/9239/2/thread.html,443913c065318119a9ad342c6a00de1d9d1d,353,Jahrtausende,Jahrtausend,_,,
-end,http://41419.dynamicboard.de/t128f4-die-geschichte-adams.html,dc01bf27d167c3cad25a16e0b4baf7e57e7c,29,Ewiglebende,Ewiglebend,ewig_lebend,ewig,lebend
-end,http://wiki.reisekiosk24.de/category/reiseziel/afrika/sudafrika-afrika-reiseziel,63aa0d76b23ba0d843cd1830435a52fb4dcd,72,Weingegend,Weingegend,Wein_Gegend,Wein,Gegend
-end,http://www.deutsche-schachjugend.de/internetschach/dim/2007/texte/abschlussbericht,34e2ab4eb5c4f00eae9a558fa641fb4f4d15,22,Schachjugend,Schachjugend,Schach_Jugend,Schach,Jugend
-end,http://www.finanzamt.bayern.de/Passau/Ueber_uns/Pressearchiv/2012/01-21.php?f=Passau%26c=n%26d=x%26t=x,dc4a22cf4d6a10309c54406608e9aff0ab20,20,Negativtrend,Negativtrend,negativ_Trend,negativ,Trend
-end,http://www.tsv-aukrug.de/sparten/Fussball/Fussball-Aktuell/Lenster_Strand_2003/Lenster_Strand_04/body_lenster_strand_04.htm,b076b0d2e894a5ba0dc41d4f7ed56d9945c8,24,C-Jugend,C-Jugend,_,,
-end,http://www.ferienwohnland.de/unterkunft-wetterau.html,aa9864ed6c91def94b631cc0cc9bfb80a819,10,Jahrtausenden,Jahrtausend,_,,
-end,http://www.vision2000.at/index/?article=911,fc7f76cbfff30139819544efc385853a69e6,12,Jahrtausende,Jahrtausend,_,,
-end,http://www.vc-essen-borbeck.de/Pressearchiv_2004_2005.htm,53af90e5c912afb903dd04892ea45370198a,464,C-Jugend,C-Jugend,_,,
-end,http://www.philolex.de/spinoza.htm,32d911b95f7dff8cccd7519984edee52c87e,19,Darunterstehende,Darunterstehend,_,,
-end,http://www.crackajack.de/tag/terrorism,ee9aff2bd56c90e20bb4f02196e39b074fc9,32,Arbeiterjugend,Arbeiterjugend,Arbeiter_Jugend,Arbeiter,Jugend
-end,http://www.arabischekultur.de/Aktivitaet1_18.html,fe75809b2c025b0078845358d0c8e41e33b2,2,Jahrtausende,Jahrtausend,_,,
-end,http://www.vfb-hallbergmoos.de/sportarten/fussball/archiv/saison_2009_2010/berichte_fussball/berichte_fussball.html,179652a420f35570b005ff2844775f3830bc,273,E-Jugend,E-Jugend,_,,
-end,http://www.weblexikon.de/Mittelmeerraum.html,82d30e5448768cc5d8e650336a2ccb380dc9,414,Jahrtausende,Jahrtausend,_,,
-end,http://www.sv-stadtoldendorf.de/index.php/de/verein/vereinsgeschichte,c5b33c8a8aee0782c7f949bdc3a314c6eeab,42,E-Jugend,E-Jugend,_,,
-end,http://www.goedartpalm.de/racetwo.html,252e6ec31e5aceb4efd961223ff99fc577c0,157,Jahrtausend,Jahrtausend,_,,
-end,http://www.tsg-dittershausen.de/TSG/be_j0708.htm,4fbaedbd9503f115124974c5737e1c687b01,155,C-Jugend,C-Jugend,_,,
-end,http://www.sv-hiddestorf.de/f-abschluss.htm,cf2b009a0680acd6b0c71aa302aab2fcd9a3,3,F-Jugend,F-Jugend,_,,
-end,http://www.preussen-krefeld.de/preussen/history/sonstige/1999/new19991.htm,a5e61fdd4bc1e92d92263edc10be70da048f,50,A-Jugend,A-Jugend,_,,
-end,http://www.theologie-heute.de/gesprach_mit_dr__alberto_caros.htm,1b058f77613e8ed563b41ecec6d527b525bd,116,Jahrtausend,Jahrtausend,_,,
-end,http://www.sehepunkte.de/2011/10/20147.html,f58781b5103b9723fbb798c8cf0a3fe1b34d,7,Gesellschaftlich-Eingreifende,Gesellschaftlich-Eingreifend,Gesellschaftlich_--_eingreifend,Gesellschaftlich,eingreifend
-end,http://www.cic.de/page/18,becef04db49e3dcb382a6760dfdce3654378,80,Jahrtausend,Jahrtausend,_,,
-end,http://www.kreuzfahrttreff.de/kreuzfahrten-210.html,408398b3aa801333fd7d018de2eb4ab6b275,27,Jahrtausende,Jahrtausend,_,,
-end,http://www.textkritik.de/bka/dokumente/dok_steig/steigk_595-599.htm,03e2ec8ff9890257ec84b2815be86f909f71,3,Seebewohnenden,Seebewohnend,See_bewohnend,See,bewohnend
-end,http://www.country.de/2009/05/17/europa-version-von-fearless-sie-koennen-es-nicht-lassen,c8064439511a9444e8978664b0c681ad8375,18,Jahrtausend,Jahrtausend,_,,
-end,http://www.deutschepresse.de/stoffe-online-bestellen--einer-korrekten-eingabetechnik-recht-muehelos-pr68444.html,2558636b95a6f1b2fe531f99baa9db3fde09,3,Stoffsuchende,Stoffsuchend,Stoff_suchend,Stoff,suchend
-end,http://www.schoenstatt.de/de/news/354/112/Auf-dem-Weg-zum-Jahr-2014-Gruenderspuren-im-tief-verschneiten-Ennabeuren.htm,edd46d52e8c864fa3dfd7db13c6fc00c931c,9,Hunderttausende,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.evva.de/ueber-uns/partner-ueber-evva/felgner-sicherheitstechnik/de,86ad560f467421efa2fd87696ea6f95f6868,9,Hervorzuhebende,Hervorzuhebend,_,,
-end,http://www.pr2classic.de/management-kuenstler/takacs-quartet/biographie,9cb8e8dcb3902142b43c73f971d0064ddb95,11,Jahrtausends,Jahrtausend,_,,
-end,http://www.eventzo.de/tag/messen,b996d35eddf5a510d7cb430eb03cffe0b95c,33,Techniktrend,Techniktrend,Technik_Trend,Technik,Trend
-end,http://datenreport.bibb.de/html/3716.htm,0848bbb239541f17aaa1372254d2919cb7c9,54,Gesamttrend,Gesamttrend,gesamt_Trend,gesamt,Trend
-end,http://www.blog-n.de/2009/11/02/alle-halbe-jahre-wieder,accb91d2647ddefdf2511e40ddbf95774d24,33,DSF-Abend,DSF-Abend,_,,
-end,http://www.kalbe-burg.de/pk/eg/eg.htm,829510ebfaa06d7d22dad64a2e05dc34e0c8,22,Jahrtausenden,Jahrtausend,_,,
-end,http://www.gdl-bremen.de/jugend.htm,21b0df39519e57a6b42e69ebfbbd3eb192cd,39,DB-Auszubildenden,DB-Auszubildend,_,,
-end,http://www.skateone.de/damen-kleidung-deck-light-pearl-ii-blue-490062.html,be0e03efa29f5f017c440fa4e9d57cd3ef0c,8,Beinenden,Beinend,_,,
-end,http://www.dl0bn.de/archiv/2003/p5003.htm,94752dfaf16c4e41968862b6b1bc207a8157,32,OV-Abend,OV-Abend,_,,
-end,http://www.westernjournal.de/news/090818b.htm,c1bcf28e219dce3161e274c37fbfbf059d9e,3,Countryweekend,Countryweekend,Country_Weekend,Country,Weekend
-end,http://www.finanzinfo-service.de/2010-06.html,620803c3839e8188ec8e9b260cb47ef3a675,105,Aufwärtstrend,Aufwärtstrend,_,,
-end,http://www.bergbau-schwarzwald.de/Hoehlen/Tschamberhoehle/Tschamberhoehle.htm,85916c15e952bd400d4e2e30d3b23ec6a2ee,4,Jahrtausenden,Jahrtausend,_,,
-end,http://www.fortuna-wuppertal.de/pages/fussball.php,277b6d67ec68e6946f320965cf4a6db34d6c,2,A-Jugend,A-Jugend,_,,
-end,http://nea.antifa.de/liberation11/texte_2007_rede_aiwp.html,689443dc4b4a5afeadd84364698c07ef78e8,13,Swing-Jugend,Swing-Jugend,Swing_--_Jugend,Swing,Jugend
-end,http://www.lfc-berlin.de/Historie-2002-2004.141.0.html,6bf5eec282cac49f384ca98b60303136fd41,49,E-Jugend,E-Jugend,_,,
-end,http://www.ethik-werkstatt.de/aa_Dasein_Sinn_2.htm,0a39828a284ad9814d802b7c8782d0c72ae7,141,Jahrtausenden,Jahrtausend,_,,
-end,http://www.reichsadler-apotheke.de/leistungen/gh-news-detail/article/psychotherapeutische-verfahren,0276e65ae9d40ee01d1de31087a073b84e8a,183,Aufstellenden,Aufstellend,aufstelen_#en_Lende,aufstelen,Lende
-end,http://www.winpower.de/windows-xp-faq/wenn-man-einen-dual-core-prozessor-hat-und-der-pc-wegen-anspruchsvollen-anwendungen-langsam-wird-10950-print,ba68bdb87d14d6c3adce4eb6983b4787dd59,5,Ressourcenfressende,Ressourcenfressend,Ressource_+n_fressend,Ressource,fressend
-end,http://www.ragulan.de/News/news2.htm,b051636d2881fe664f856f7be3976c7c8a72,125,C-Jugend,C-Jugend,_,,
-end,http://sportforen.de/archive/index.php/t-28160.html,e69d3cc213e13609586ef0c4b9de2ab6e402,57,jahrtausends,Jahrtausend,_,,
-end,http://www.werner-jung.de/23.html,bd776b30600be1031995433eb75801ed176e,116,Zutherapierende,Zutherapierend,_,,
-end,http://www.ported.de/forum/archive/index.php/t-4259.html,67ff0802fbe93282f75c38ac654808aa47a6,11,Scooter-Weekend,Scooter-Weekend,Scooter_--_Weekend,Scooter,Weekend
-end,http://www.philo.uni-saarland.de/people/analytic/strobach/alteseite/veranst/arist/alpha2.html,ca89bfdecd84bb9204904e94f7dabfcf137d,20,Irreredende,Irreredend,irre_redend,irre,redend
-end,http://www.vjj.de/2011/03/11/beschaeftige-herrn-heinrich-und-du-vernichtest-dich-selbst,6a147b25e02a0d3ae54dacc957db34a0002a,51,Stadtregierenden,Stadtregierend,Stadt_regierend,Stadt,regierend
-end,http://www.ornithologie-niedersachsen.de/vbn/vbn35-2/abstract35_2_/abstract35_2_.html,d137834827a79e1b61187161db7bc4af8372,96,Bestandstrends,Bestandstrend,Bestand_+s_Trend,Bestand,Trend
-end,http://www.einszweidrei.de/zzedit/tachoabweichung-motorraeder2007-9ii-de.htm,da2d4b12840eb8868dfdde6cf362d9af78a0,17,Hunderttausend,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.rechtsanwaelte-kaufmann.de/Erbrecht%20neufrs.htm,d950b0c018d6acfa932e379d7e998696bd59,133,Versterbenden,Versterbend,_,,
-end,http://sva-salzbergen.de/75.html,8e0fbd96af5541160f3e21e51e53bb6697b6,61,B-Jugend,B-Jugend,_,,
-end,http://www.freilassung.de/soli/aabo.htm,db1c3167443a6928749e6dd875f511e23a70,41,Massenelend,Massenelend,Masse_+n_Elend,Masse,Elend
-end,http://www.nachtwelten.de/vB/history/topic/80357-1.html,e7ef6959eb72eec1c8e1ed21b87b184f3af0,277,Linkstrend,Linkstrend,links_Trend,links,Trend
-end,http://www.thw-nrw.de/nachrichtenarchiv/jugend/archiv/jugend/2011/06/index.html,ddcd63d846717085bdd119bfd22c62fcaf8c,10,THW-Jugend,THW-Jugend,_,,
-end,http://www.schweine-gnadenhof.de/forum/wbb2/botthread-7860.html,5c323b79fde76cf1de67f6a10d31204d0c15,104,Magengegend,Magengegend,Magen_Gegend,Magen,Gegend
-end,http://optimierung.mathematik.uni-kl.de/~nchrist/chr_stud.html,13d34153cb4ef12b6dfe47bb12849282d225,34,Lehramtsstudierende,Lehramtsstudierend,Lehramt_+s_studierend,Lehramt,studierend
-end,http://www.railroadpics.de/colo05a.html,54d9d1774c150a1d8382b52b555996e0f329,9,Reverend,Reverend,_,,
-end,http://www.minghui.de/artikel/78559.html,2235658216c9cc6db78a644c9891634d1ef4,1,Gong-Praktizierender,Gong-Praktizierend,Gong_--_praktizierend,Gong,praktizierend
-end,http://www.vistaverde.de/news/Politik/0202/28_annan.htm,fcac51482d8dc7255cbaf7e9b806915a342d,12,Jahrtausend,Jahrtausend,_,,
-end,http://www.frblog.de/228,8f7b0160a549df5fbd65f26431e84e9e46b0,36,Deutschlandtrend,Deutschlandtrend,Deutschland_Trend,Deutschland,Trend
-end,http://www.trainertalk.de/fussballtrainer/board921-fu%C3%9Fballtraining-fragen-und-antworten-rund-ums-training/board1-fu%C3%9Fballtraining/4225-wie-wichtig-ist-eine-finte,0703c92a0275662ab56f577006ece0329c15,58,C-Jugend,C-Jugend,_,,
-end,http://www.uni-goettingen.de/de/veranstaltungsreihe-berufsperspektiven-im-ws-20102011/195345.html,fe52e825c2e426be0dc4436a8bbe1feb8b00,22,Sportstudierender,Sportstudierend,Sport_studierend,Sport,studierend
-end,http://www.opel-voting.de/opel-forum/computerecke/46843-ich-h-tte-sooo-gerne-einen-tablet-pc-3.html,7d6bf494af683a54a41fda903c4e3ab789f3,22,Restaurant-Trend,Restaurant-Trend,Restaurant_--_Trend,Restaurant,Trend
-end,http://www.gezieltfinden.de/mode-fashion_C-169-2.html,3b608dda53a4bd10221d4fc6a889e1ffd40d,5,Fashiontrend,Fashiontrend,Fashion_Trend,Fashion,Trend
-end,http://www.forschung-und-lehre.de/wordpress/?p=147,8048c36d76c860998994e7365bd21181a0c9,57,Harvard-Studierende,Harvard-Studierend,Harvard_--_studierend,Harvard,studierend
-end,http://www.geesthachter-anzeiger.de/Meldung-aus-Buechen.428+M52cea5460e5.0.html,ff1dc6f4fa6115e29663addb25dde6dedc2b,1,DLRG-Jugend,DLRG-Jugend,_,,
-end,http://www.rainer-feig.de/text/Zum_Trotz.html,22b4cf2a2b2e9c47d476ec197d21950b8797,1452,Hunderttausende,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.tsg-wiesloch.de/prellball/bericht.php?pbw_saison=0708%26pbw_link=Schueler_BM_0708,8a145ac0beb6f94280862f9bd82fcadb2a25,1,Prellball-Jugend,Prellball-Jugend,Prellball_--_Jugend,Prellball,Jugend
-end,http://www.ratgeberzentrale.de/multimedia.html,6d3bdf265c46f9710d6c29862837ac084fbe,5,Technik-Trends,Technik-Trend,Technik_--_Trend,Technik,Trend
-end,http://hiddensee-see-n-sucht.de/stralsund-altenkamp-garz-putbus-rattenkoenig-birlibi-kuh-schaf-pferd-fuellen-stall-koppel-pferdemarkt-kinder-sohn-tochter-fuchs-marder-zwielicht-daemmerung-mondschein-wiesel-hamster-ratte-maus-walpurgis-hexe-trommeln-pauke-pfeife-trompete.htm,63be2a8a354475685e8bae619fa2fdac4d53,114,Jahrtausenden,Jahrtausend,_,,
-end,http://www.luxist.de/luxist/2009/09/page/5,7cc3286f4602ea11d501eacf2e329a661b82,18,Modetrends,Modetrend,Mode_Trend,Mode,Trend
-end,http://www.duerenertv.de/tl_files/dtv47/abteilungen/leichtathletik/2012/Juni.htm,01cf780eaf849fbd7f3b3f936cf13f88bfc6,40,A-Jugend,A-Jugend,_,,
-end,http://www.gratis-webserver.de/Tejoxe/2.html,2e70d8943ae1de589f105aae1b3b6d3daf50,727,Jahrtausends,Jahrtausend,_,,
-end,http://www.dielinke-marzahn-hellersdorf.de/linksjugend/jugendverband,f15b04b11f107273efbe7a4ab965defabb0d,8,Linksjugend,Linksjugend,links_Jugend,links,Jugend
-end,http://www.svwoltersdorf.de/?p=12593,7ea18c5e3631579031a648202609ccacdd9d,13,E-Jugend,E-Jugend,_,,
-end,http://www.limburgerhof.de/html/Rathaus/Der_Buergermeister/Reden_des_Buergermeisters/Reden_zum_Neujahrsempfang/2009_Rede_zum_Neujahrsempfang.htm,070484127e2a36400762e58ce982a12bf746,45,Abwärtstrend,Abwärtstrend,_,,
-end,http://www.la-liste.de/pfw-louis-vuittons-springsummer-2011,235f15b595197d7e18aa274d42ed3015117f,3,er-Jahre-Tarnanzug-Trend,er-Jahre-Tarnanzug-Trend,er_--_Jahre_--_Tarnanzug_--_Trend,er,Trend
-end,http://www.woz.ch/1322/syrien/mit-mehl-fuer-tausende-brote-ins-humanitaere-schwarze-loch,b3520ca1dd84962a9c558296f68e6ce27a34,47,Hunderttausende,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.grstiftung.ch/de/portfolio/projekte/alle/y_2011/GRS-014-11.html,9aeeba62cb498cd0128a00a4b2db91a1c833,23,Mittelbaumitarbeitenden,Mittelbaumitarbeitend,Mittel_Bau_Mitarbeitende,Mittel,Mitarbeitende
-end,http://www.klaus-michalski.de/Tr17/Tr18/Tr19/Tr20/tr20.html,0c934d143d34ea8adcd2230c6ff965311991,365,A-Jugend,A-Jugend,_,,
-end,http://meta.tagesschau.de/id/83274/rundfunkbeitrag-sinkt-auf-1750-euro-pro-monat,0d9c17ed04703aee70a3ab1650d238c0be15,233,Mitmachenden,Mitmachend,_,,
-end,http://www.hsgml.de/sauerlandcup/presse06.html,6f97d4c52c9784bec8f35b5a5e7cd193ed16,223,A-Jugend,A-Jugend,_,,
-end,http://campus.nzz.ch/node/4727,84f0c735cd453565af7daa10cee52b9f55d5,47,Architekturstudierenden,Architekturstudierend,Architektur_studierend,Architektur,studierend
-end,http://www.israel-entdecken.de/news-from-israel-in-german/israel-rundreise-hoffnung-auf-demokratie.html,c9b6edcc3d3af1f0b6cd167c1f9ca52adb46,22,Hunderttausenden,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.schrotundkorn.de/2004/200408e4.html,c448354f6ed9093de30342a186f2d0b1aefc,67,Rechtsdrehendes,Rechtsdrehend,rechts_drehend,rechts,drehend
-end,http://www.aviva-berlin.de/aviva/content_Interviews.php?id=13256,41825950d242da9f8a506b63ccb083562d0e,133,Hunderttausende,Hunderttausend,Hundert_Tausend,Hundert,Tausend
-end,http://www.svkt07.de/printable/aktuelles/0322b79f9d10f7112.htm,5e0140adf87a574c972dbde95305c32282f6,23,SVKT-C-Jugend,SVKT-C-Jugend,_,,
-end,http://www.wisopol.de/2011_01_01_archive.html,6338558d58441f1157662528001eb9370a89,22,Zehntausende,Zehntausend,zehn_Tausend,zehn,Tausend
-end,http://www.muho-mannheim.de/wirueberuns/amade/starttext.htm,35125f5b27a66a1b015c5f762e616ab481cd,4,Jungstudierende,Jungstudierend,jung_studierend,jung,studierend
-end,http://www.tierheim-guetersloh.de/katzenkastration.html,4306243fe2c415aafdfa563ff78fa8c239e2,10,Katzenelend,Katzenelend,Katze_+n_Elend,Katze,Elend
-end,http://m.kress.de/kresskoepfe/koepfe-details/profil/1185-werner-bitz.html,fc3ff81df42c8ffb4d5ba5ccaed7d5d527da,7,Werbungtreibende,Werbungtreibend,Werbung_treibend,Werbung,treibend
