morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ent,http://www.retina.ch/files/retina-journal/html/2002/rsj2002-01-d-14.htm,9eb840a03ea7ba86eeb61270c87cd956581c,6,Patienten,Patient,_,,
-ent,http://www.merian.de/magazin/tieraerztliche-hochschule-hannover.html,8fdba33d3896b44f86770a8b71279274180a,2,Patienten,Patient,_,,
-ent,http://www.culturforen.de/archive/index.php?t-1807.html,eaffff78cb54b0ece0d5910515967a5d61b8,7,Präsidenten,Präsident,_,,
-ent,http://www.fes-wbn.de/36.0.html,aacf1e1aca3bc6e4a5b88282fa547dabc9d0,13,Referenten,Referent,_,,
-ent,http://www.seniorentreff.de/diskussion/threads6/thread3180.php,8384b28b4cb0ba7fdd3a0d59da69a10e95ee,264,Präsident,Präsident,_,,
-ent,http://www.drk-altbach.de/unser-ortsverein/gemeinschaften/bereitschaft.html,7e17f06edbd39485acdc60d0b764172e6cb7,22,Rettungsassistent,Rettungsassistent,Rettung_+s_Assistent,Rettung,Assistent
-ent,http://www.sah-eschweiler.de/patienten/hostessen,f457aca020e1e61f1d87e735ee03ef57405c,9,Patienten,Patient,_,,
-ent,http://www.presse.uni-wuppertal.de/archiv_ab2008/archiv_medieninformationen/2008/0407_ronge.html,da0ff6c05b8e1cb0580b429dcf3bf71e1776,36,Ministerpräsident,Ministerpräsident,_,,
-ent,http://www.50centfans.de/wiki_%C3%9Cbersetzung.html,1f20e015c67b9bcb47270ff5c37f38fb4a7b,12,Cent,Cent,_,,
-ent,http://www.pci.tu-bs.de/aggericke/PC3/Kap_III/Benzol.htm,8c5021f48c0fc01027337936c6a249b928d2,8,Koeffizienten,Koeffizient,_,,
-ent,http://www.insa-roehling.de/laufen/artikel_rnz.htm,a4d843c3abdfb4970a75246aa6d372e24d2b,79,Patienten,Patient,_,,
-ent,http://www.fuldainfo.de/fdi/versammlung-buergerstiftung-grossenlueder-herchen-fordert-neubau-von-wertschoepfungsketten,d2c113f6b31a59c23fc109ae72988ca89d9d,9,Referent,Referent,_,,
-ent,http://www.spex.de/2008/08/13/co-pop-2008,1c13e828e25765f155063a33d0669baf49fa,18,Technoproduzent,Technoproduzent,Techno_Produzent,Techno,Produzent
-ent,http://www.jensweinreich.de/2008/08/08/peking-tag-8,62391e3226009ac89106bb0df8e001e6d888,22,Staatspräsident,Staatspräsident,Staat_+s_Präsident,Staat,Präsident
-ent,http://www.fachinformationen-computer.de/kommunikation/5,359ccc3bdfaaf9da799367425e69a2e54145,3,Cent,Cent,_,,
-ent,http://www.thg-locus.de/index.php?Page=witze.htm,b1c72530f5423c674ffc9b617d3ccadc15ef,895,Präsident,Präsident,_,,
-ent,http://archiv2.randzone-online.de/rand/rand080400.htm,2cd73efc9a37f39d756196774796ce23949d,159,Ministerpräsident,Ministerpräsident,_,,
-ent,http://www.kakteenforum.de/archive/index.php/t-5901.html,603dfea98d16774459da89b873efd859f6a1,7,Präsident,Präsident,_,,
-ent,http://www.csr-weltweit.de/fallstudien/studie/yayasan-german-garment-training-centre-ggtc-ausbildung-von-unterpriviligierten-schuelern/index.nc.html,12c935a7c6202270b8fb5db3b464758a1fc1,52,Agent,Agent,_,,
