morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-er,http://www.hall-one.de/news/extra05/extra-280705.html,bf3ec0ba7b35bf9e050544959882e1319f43,11,Bruder,Bruder,_,,
-er,http://www.atelierfenster.de/HTM/malereigeschichte.html,1a580762de2afd2a47e6348c297b7c764956,6,Kursleiter,Kursleiter,Kurs_Leiter,Kurs,Leiter
-er,http://www.energienetzrecht.de/2009/12/14/bundeskartellamt-verbot-der-erhebung-der-hoheren-konzessionsabgabe-fur-tarifkunden-bei-der-belieferung-mit-gas,d1c49976f21ea78338eb95fe29a566e926b9,2,Abs.,Absender,_,,
-er,http://www.allesaussersport.de/archiv/2009/07/09/uefa-europa-league-quali-ruckspiel-llanelli-%e2%80%93-motherwell,5a12530dac950e495a3f8265fc49df5198d3,65,Zuschauer,Zuschauer,_,,
-er,http://www.walter-steinberg.de/Korsika/GR20/GR20_2.htm,5c2881b0b8fbee1ce668aee5806d6b791cec,6,Blasenpflaster,Blasenpflaster,Blase_+n_Pflaster,Blase,Pflaster
-er,http://www.regensburg-digital.de/kruzifix-fans-beschimpfen-uni-dozenten/17112010/comment-page-1,4f44fa87abb6c85b39fc9d1fa94e83766fde,246,Kreuzgegner,Kreuzgegner,Kreuz_Gegner,Kreuz,Gegner
-er,http://smash-hamburg.de/news/2002/quartal-02-4/news-2002-10-14.htm,df474fc4ae8a6c3845566adc0e3c0ac557a2,274,Turniers,Turnier,_,,
-er,http://www.nrw.vvn-bda.de/texte/0724_foto.htm,7e0c342c5ee959e0bcdc61adab5eeec7b278,16,Ordner,Ordner,_,,
-er,http://forums.mono-project.de/archive/index.php/t-171.html,01262748e4b190d51e1dca94d2e0dda558b2,15,Entwickler,Entwickler,_,,
-er,http://www.heimatkreis-stargard.de/Traditionsfahne.htm,76a30a49b73c8d253b10840d8f31f616cf27,5,Teilnehmer,Teilnehmer,_,,
-er,http://www.koelnklavier.de/texte/altemusik/venedig-dlf.html,afbf67f638691b2c9f99696c7ea0d6f056f5,39,Kapellmeister,Kapellmeister,Kapelle_-e_Meister,Kapelle,Meister
-er,http://www.vtr1000.de/forum/archive/index.php/t-571.html,afe8a4d4e99e85ca98fe8815c8cb23b6607e,49,Bayern,Bayer,_,,
-er,http://www.lovelybooks.de/autor/Terry-Pratchett/Einfach-g%C3%B6ttlich-133757087-w,8e59b79ad2e5665ea4aed4480d3e4e3c032d,7,Ärger,Ärger,_,,
-er,http://www.hausarbeiten.de/faecher/vorschau/108746.html,4f314aba63940ae21fdd14fb0ed91df634dc,232,Schülers,Schüler,_,,
-er,http://weltkrieg2.de/Waffen/Kampfflugzeuge/Bomber/Bomber-US-englische-russische.htm,9041b4ede1d62f17e98352b72f067788c772,17,Bomber,Bomber,_,,
-er,http://www.nobikom.de/wbb2/archive/3423/thread.html,1715bbb749ef184c0e3091a6496b01a563f5,4,Nenner,Nenner,_,,
-er,http://www.research-racing.de/MS2002-3.htm,7beb06c8882599173be81ef5c00c369a66b5,88,Alter,Alter,_,,
-er,http://www.alfa-romeo-portal.de/arcommunity/sitemap/t-19347.html,14e62e1b8d518ce061bc034e7995c12e6823,8,Prüfer,Prüfer,_,,
-er,http://www.fcsilheim.de/fussball/frauen/damen/spielberichte/10_11/detail_2821.php?printview=true,b03ee34d0939a4e9ad2b9d7ba24b2527893b,2,Gegner,Gegner,_,,
-er,"http://www.davinci-shop.de/de/ffnen_der_seitenvorlagen_im_layout_editor_zur_bearbeitung,cid,44,id,71,dd.html",37bc41ea9fb2f09c87fb93a1c9958d031691,3,Anwendungsfenster,Anwendungsfenster,Anwendung_+s_Fenster,Anwendung,Fenster
-er,http://www.krimitage-vogtland.de/tatort.html,2f1ee3ed478ace44d7ca83d6d0d5dd85d363,25,Besitzer,Besitzer,_,,
-er,http://www.schuntersiedlung-online.de/rundgang/geschichte/michelfelder.htm,eead55ba8958c852a31920e55b2a45c32782,8,Sylvester,Sylvester,_,,
-er,http://www.burgfraeulein.de/CD-Endlich18.htm,7c29534dd1fcf0bf78d689c3d5652cbc19ac,13,Rechteinhabers,Rechteinhaber,Recht_+e_Inhaber,Recht,Inhaber
-er,http://www.reisen.realedition.de/Amerika/kolumbien-karibik/seite3.html,e37a63aa9e71e61e2face5be28b9ee318f54,20,Höhenmeter,Höhenmeter,Höhe_+n_Meter,Höhe,Meter
-er,http://www.bundesliga.de/newsletter/fan/webseite/147948.php,b40bc40f9eaa75426bd9fc8e3c2d4127590c,76,Hamburger,Hamburger,_,,
-er,http://info.kopp-verlag.de/hintergruende/geostrategie/redaktion/hinter-dem-ruecken-der-nato-libysche-rebellenfuehrer-stehen-kurz-vor-einigung-mit-gaddafi.html,e75b27cf5df457682fe704fca9249de0f3b6,34,Richter,Richter,_,,
-er,http://www.kleine-tiere-online.de/34.htm,67c4a7331285ffbc0658e231e66eafdfbb7c,18,Alter,Alter,_,,
-er,http://blog.michaelsimm.de/page/6,19417fdf0c1dc30372f24c2577f03f2efd50,32,Autostart-Ordner,Autostart-Ordner,Autostart_--_Ordner,Autostart,Ordner
-er,http://www.zdnet.de/media/channels.htm,f0129694e09f77332126bce4b6314c2d7505,35,Treiber,Treiber,_,,
-er,http://old.acc-weimar.de/veranstaltungen/special/philoSophia/index.html,165e0fc0757dc955f22b0eef5274eba163f2,5,Gegner,Gegner,_,,
-er,http://www.levelattack.de/everquest/eq-screens/screens5.html,0f9a6b4549abdce89fa3c571e4cc683b4485,2,Opfer,Opfer,_,,
-er,http://www.hausarbeiten.de/faecher/vorschau/103070.html,b83a1475887e8a7a978b09aee25b57d5fbc4,279,Gegnern,Gegner,_,,
-er,http://bvi-verwalter.de/hp51469/BVI-Newsletter-Februar-2011.htm,83d300fee7a3d333c5cc0586c7a8f371376e,155,Eigentümer,Eigentümer,_,,
-er,http://www.harrywoerz.de/3.html,e571cdeeb0d6e02145b0241a0c40c9c5b4ed,7,Sommer,Sommer,_,,
-er,http://www.kanzlei-m-kuehn.de/merkur.html,1ce4ebdd782f3d1bbdc755cc49544e4b69d8,605,Schenkungsteuer,Schenkungsteuer,Schenkung_Steuer,Schenkung,Steuer
-er,http://www.kjg-freiburg.de/material-methoden/praxistipps/meine-kirche/379-bootsfahrt-mit-mission.html,9727cffbea26c837e635faa7ece1623eb49c,8,Bewohner,Bewohner,_,,
-er,http://www.jessen-highend.de/raekgaltxt.htm,3c14a80d52e346f0cdfb637bf12eba249c0f,20,Metall-Acrylalteller,Metall-Acrylalteller,Metall_--_Acryl_alt_Eller,Metall,Eller
-er,http://baseportal.de/baseportal/baseportal/pr,574c9588cb1dfa0b3d779f80b741cee12c85,44,Vermittler,Vermittler,_,,
-er,http://www.einsatzkraefte-in-kiel.de/394.html,d0c1ad576df3e0503f6f56c6d8124f2ab399,141,Keller,Keller,_,,
-er,http://www.cara-marketing.de/norge-blockhaeuser.htm,e2edc1fdfcb9c9c6a5b9814084fe3f1ce1fe,12,Vertreter,Vertreter,_,,
-er,http://smash-hamburg.de/news/2004/quartal-04-1/news-2004-01-08.htm,1d96827b997e19fee0e3757a42a25e225ad2,131,Vize-Europameister,Vize-Europameister,Vize_--_Europa_Meister,Vize,Meister
-er,http://www.schwarzaufweiss.de/Nordzypern/zisterne.htm,a1106c949b343522f46baf6c31422676b175,27,Erretter,Erretter,_,,
