morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-heit,http://www.ge-li.de/breitscheid/ortschronik/seite-364.htm,19e33bbf0fe03855316645283e1f1dcc350a,18,Gottseligkeit,Gottseligkeit,_,,
-heit,"http://www.tsv-rudelzhausen.de/Allgemeines/Neues,%20Aktuelle%20Berichte/neu-presse2002-1-.html",92e30c040a5a15932d3e84c24132ef081a25,187,Möglichkeit,Möglichkeit,_,,
-heit,http://www.thomasgransow.de/Profiloberstufe/GWS/Pergamonaltar.html,4ac3c8e9d89f62aeb09e065e338ff58b78a9,16,Freiheit,Freiheit,_,,
-heit,http://www.twilightmag.de/Fanzines/TageimHotel.htm,a8533cf27d06cb6280d5f3f4a4ea32d03f75,4,Wahrheit,Wahrheit,_,,
-heit,http://www.deutschlandradiokultur.de/sinnsuche-mit-hegel-beim-tee.1001.de.html?dram%3Aarticle_id=156687,d6fd2412f1fd7c0079385995e12273519c36,111,Einflussmöglichkeiten,Einflussmöglichkeit,Einfluss_Möglichkeit,Einfluss,Möglichkeit
-heit,http://www.vierte-architekturwoche.de/muenchen/zeitmaschine-architektur/index.php,a1c6edff5c3efcecf6e38b978365ce27a341,13,Möglichkeiten,Möglichkeit,_,,
-heit,http://www.china-botschaft.de/det/zt/eugipfel15,59a148bb2405b73dfcdf1a510286fad72921,2,Abhängigkeit,Abhängigkeit,_,,
-heit,http://kunefke.de/index.php/wochenblatt-oph/articles/oph-1932-1011-an-der-dtpln-korridorgrenze-i-lk-stolp.html,946f4aa18d7ea8681f9fb63ffd123b1eda0b,152,Notwendigkeit,Notwendigkeit,_,,
-heit,http://www.berlin.de/ba-steglitz-zehlendorf/verwaltung/gesundheit-21/aktuell.html,880bcb6a246ba2c05505894bf4b9d290e11a,41,Möglichkeit,Möglichkeit,_,,
-heit,http://www.leipzig-medizin.de/forum/archive/index.php/t-9832.html,4fe212e72d7aa501480e695cc8d59ba07ed3,5,Krankheit,Krankheit,_,,
-heit,http://www.psych.uni-mainz.de/abteil/soz/diplomarbeiten/berlandi.html,6c666a5f9d833d78ef3a9668d17f2390be0c,31,Mehrheit,Mehrheit,_,,
