morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ie,http://www.vfreiheitliche.at/themen/pressemitteilungen/labg-rudolf-jussel,0ba8116068f9965c526dff88339a25cfedfd,30,Energien,Energie,_,,
-ie,http://www.kantel.de/schockwellenreiter/webworking/html/kiss.html,67a7fec82f39a605583b402dfb62cd88ab9f,29,Movies,Movie,_,,
-ie,http://www.reinigung-klein.de/GreenEarth.htm,dcf1cb35375ac0d38dd4669358b94296e74b,9,Studien,Studie|Studium,_,,
-ie,http://www.tabletopwelt.de/forum/archive/index.php/t-26080.html,fe0c26f2b8445836d677d9147eab4040adf2,509,Zombies,Zombie,_,,
-ie,http://www.beckurts-stiftung.de/preis/preistraeger.html,f2866e82c9688769fa836be7dffad0fee121,226,Primärenergie,Primärenergie,primär_Energie,primär,Energie
-ie,http://www.nerdtalk.de/filmkritik/r-e-d-alter-harter-besser,e6122a9b55311c6ca448f875463b26c9af11,13,Komödie,Komödie,_,,
-ie,http://www.socialnet.de/rezensionen/7942.php,81e64002db75c04d1913172214d0ea93a821,11,Geographie,Geographie,_,,
-ie,http://infonet-frsh.de/index.php?id=87,297586341f9c8d5f86b4989ce8488e3befd2,80,EU-Richtlinien,EU-Richtlinie,_,,
-ie,http://www.humanomed.at/sl/zasebna-klinika-maria-hilf/ponudba-zdravstvenih-storitev/plastische-aesthetische-und-rekonstruktive-chirurgie,0a60458b16f3d34b342ae94441b51ba1c20d,4,Chirurgie,Chirurgie,_,,
-ie,http://www.vfl-bochum.de/site/n/14172p.htm,e6d9205fc9d4275b6ed322f544024ce50662,2,Seitenlinien,Seitenlinie,Seite_+n_Linie,Seite,Linie
-ie,http://www.kcg-freudenberg1953ev.de/gesangsgruppen.htm,041307dd6741c2bcff0304863961aa7a1fa9,9,Schlagermelodien,Schlagermelodie,Schlager_Melodie,Schlager,Melodie
-ie,"http://www.djz.de/447,1006",9107f35c34836944bc346c920087c5d5a9f9,10,Psychologie,Psychologie,_,,
-ie,http://www.buecherlei.de/fab/misc/misc_n.htm,6517c22f2cda8470f0201995ea2d0d08cd5d,53,Fotografie,Fotografie,_,,
-ie,http://www.esoterikerforum.de/magie-kraft-gedanken-okkultismus/2822-etwas-zu-weisser-schwarzer-magie.html,e7616c85d013175e90c6d365457c09025998,163,Magie,Magie,_,,
-ie,http://www.fitnessstudio-zorneding.de/aktionen.php,926899e128c09d99503dedff46faa4d37d06,32,Studie,Studie,_,,
-ie,http://www.ispol.de/NEWS/news_de_log1.html,b500b71b6d72a6e297f622b73c5547040349,2,Magie,Magie,_,,
-ie,http://www.marioblogt.de/index.php?/archives/P20.html,efb467bdb808b85e846c8187bdf349ecf92b,54,Technologie,Technologie,_,,
-ie,http://eifelphilosoph.blog.de/2010/01/08,1503b1b4941cff1b12c5cda05b26b93a74b2,81,Richtlinien,Richtlinie,_,,
-ie,http://www.labor-limbach.de/Intaktes-Proinsulin.320.0.html,2d3aacd3dcc0eb40481f1815789799fed2ff,16,Therapie,Therapie,_,,
-ie,http://www.freie.schule.uni-potsdam.de/portal/nov09/uni_ges/kopenhagen.htm,2224c6d538ec90f0486adf4c987d3d9b7cfd,5,Kopie,Kopie,_,,
-ie,http://www.weibernetz.de,fcb73b7750924f198e2944623f82d1af2499,290,Arzneimittelrichtlinie,Arzneimittelrichtlinie,Arzneimittel_Richtlinie,Arzneimittel,Richtlinie
-ie,http://forum.misawa.de/archive/index.php/t-11167.html,bd086763651965f20ec643846533e1fd6268,114,Materie,Materie,_,,
-ie,http://www.bloggeramt.de/key-reiki.html,471832289008c96132a7156c2cb77dfcd999,38,Lebensenergie,Lebensenergie,Leben_+s_Energie,Leben,Energie
-ie,http://www.nlp-trainings-tille.de/nlp/blog/methode-theorie-entwicklung.html,17cf71f8b0a77ece7d78b0a4e8d325d298ba,5,Gestalttherapie,Gestalttherapie,Gestalt_Therapie,Gestalt,Therapie
-ie,http://edoc.hu-berlin.de/dissertationen/schied-michael-1993-07-15/HTML/chapter3.html,ed153804d65f4f56d215d4676ce3545df19f,365,Wahlstrategie,Wahlstrategie,Wahl_Strategie,Wahl,Strategie
