morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ik,http://www.gazette.de/Archiv/Gazette-Aug03-Jan04/Durrer03.html,1e5a508df5ec4c6f37cb4b291dff1afa207a,144,Ethik,Ethik,_,,
-ik,http://www.imperiumdersteine.de/archive/index.php/t-18054.html,827f50f82d2c43f8004a25179ac91c3032de,57,Technik,Technik,_,,
-ik,http://www.mobiflip.de/2010/08/samsung-galaxy-s-5-dinge-die-ich-an-dir-liebe-und-5-dinge-die-ich-an-dir-hasse,f3e6234ba40f11cfefe4b76b60c0afd8b937,84,Kritik,Kritik,_,,
-ik,http://www.kassablanca.de/zo/thema/archiv/2000archiv/09_00/3antifa.html,99cb9fcae1e406f4ec14b14a5a21586fd3e2,10,Statistiken,Statistik,_,,
-ik,http://www.bereitsgesehen.de/kritik/kritikthekidsarealright.htm,f64c505aee65aad6528718383fcf78a23457,48,Musik,Musik,_,,
-ik,http://www.ptl.de/~ki/ia/sem3/vortrag/index.html,84b7173558a341cc84cc3e06b1368808eb22,100,Piezo-Technik,Piezo-Technik,Piezo_--_Technik,Piezo,Technik
-ik,http://www.checkpoint-charlies.de/Aktuelles/aktuelles.html,a7e904e1e65fa916c44bb4450dfaf400a948,219,Kliniken,Klinik,_,,
-ik,http://www.hopo-www.de/90/5.4.html,badee8c8ab1296b6778374b8fb62d398e6a6,31,Hochschulpolitik,Hochschulpolitik,Hochschule_-e_Politik,Hochschule,Politik
-ik,http://www.informatik.uni-kl.de/studium/schulen,6e1246d0dcdad0aa42cfb36b1b86dbcbcd8d,1,Informatik,Informatik,_,,
-ik,http://www.comedweb.de/edition_buecher.php,47142cab6dbc484ba41c75a8579545e6dee2,64,Pädagogik,Pädagogik,_,,
-ik,http://www.derkleinegruenewuerfel.de,48c0b7d92fef7cc84fdabd8211f776da7a02,9,Musik,Musik,_,,
-ik,http://www.g-geschichte.de/forum/rittertum-kreuzzuege/244-unterschied-man-mittelalter-freunde-feinden-print.html,9cd500d250b2f669fc722712aaa300660fb2,42,Heraldik,Heraldik,_,,
-ik,http://planet-interview.de/interview-constanze-kurz-23062011.html,59f7295d499162a9ad3243f602d6384a487c,81,Technik,Technik,_,,
-ik,http://www.fair-play-botschafter.de/fair-play-aktionen-01.html,6cae73ca48d4c985635128e3c6a25f7864a3,16,Politik,Politik,_,,
