morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-iker,http://www.wumpus-gollum-forum.de/forum/board/rundfunkgeraete-oldtimer/radios-reparaturen/saba-transall-ukw-wandert-2_439_1.html,d412e29aa194dc52edf312f10143bb10e356,17,Fernmeldetechniker,Fernmeldetechniker,Fernmelde_Techniker,Fernmelde,Techniker
-iker,http://www.freiburg-schwarzwald.de/internet.htm,3ecf9cea50d8edd763b385c7de4e57b5dc72,111,Kfz-Mechaniker,Kfz-Mechaniker,Kfz_--_Mechaniker,Kfz,Mechaniker
-iker,http://www.flutepage.de/blog/klassenvorspiel,5a1e73537998ba7e76ed0e6de3f0b5b933c9,24,Musiker,Musiker,_,,
-iker,http://www.wasserbabies.de/wabapo/wabapo15.php,742b4cdd6eff90649811f347adfce35d5c08,42,Politiker,Politiker,_,,
-iker,http://weblog.lichtenrade-berlin.de/archive/2010/03,070ce1b53d32a9bdcaae27390802d68120cb,174,Bezirkspolitiker,Bezirkspolitiker,Bezirk_+s_Politiker,Bezirk,Politiker
-iker,http://www.musikansich.de/ausgaben/0411/reviews/jumpjoy.html,b11e704ce9c1d73a075681f87b55b43737ba,3,Musiker,Musiker,_,,
-iker,http://www.allinformierendes.de/brummton-haarp.html,5e5875aa165d78a0fc9bc88373e0b6b41a26,127,Total-Skeptiker,Total-Skeptiker,Total_--_Skeptiker,Total,Skeptiker
-iker,http://www.ohrdio.de/Case-Scenario%3A.%3A131.html,012453523a25c1de553ea376baa200349a14,9,Spieleklassikers,Spieleklassiker,Spiel_+e_Klassiker,Spiel,Klassiker
-iker,http://www.qdsl-support.de/archive/index.php/t-40.html,d9453094017af35b308b3cf546703bcb34a2,60,Telekomiker,Telekomiker,_,,
-iker,http://www.religionsfrei-im-revier.de/page/6,9a2c57eae8fc9a68e07dea921abc9c7dd0fb,7,Agnostiker,Agnostiker,_,,
-iker,http://www.apollo-haus.de/robots.txt,0cce851b389f30de3ce4f78a86da636c057d,7,Techniker,Techniker,_,,
-iker,http://c4rter.de/joomla/Allgemeine-News/Virus-Holle-der-lebenden-Toten.html,dd299b0e9d60cfed93719d618ce9e8599017,49,Trashklassiker,Trashklassiker,Trash_Klassiker,Trash,Klassiker
-iker,http://www.biblio.at/literatur/buchtipp/2010/12.html,1fb5476381142b3dad17a2667b16cc516848,11,Klassiker,Klassiker,_,,
-iker,http://www.autogazette.de/fahrberichte/marke/citroen%20,a699fa220c197417f7b03d3b94f2b775d9b6,57,Skeptiker,Skeptiker,_,,
-iker,http://www.sv-boeblingen.de/fussball/archiv/h1011/turniert1.htm,d185a311a3301a37f85c64ce2c1e202c7c96,39,Techniker,Techniker,_,,
-iker,http://forumarchiv.balsi.de/wehrmacht/173497.html,3f83fbc2ab0518c0188fafb4f64cea4a1513,15,Historiker,Historiker,_,,
-iker,http://forum.ksta.de/archive/index.php/t-758.html,0235d90744aae1a19ca1c2ea6ceec8e9218a,178,Daum-Kritiker,Daum-Kritiker,Daum_--_Kritiker,Daum,Kritiker
-iker,http://www.mein-bochum.de/lammert-lars.htm,b6d446af88a30a2937e0d64eeaa77a081688,57,Politiker,Politiker,_,,
-iker,http://www.schloss-neuenbuerg.de/Pforzheimer-19-6-06.222.0.html,34e0ccfcbef791a52ef3334effd28cc307f3,11,Musiker,Musiker,_,,
