morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-iment,http://www.werbegeschenke-ideen.de/2010/03/22/werbegeschenke-aus-dem-online-shop,23c06ddcf9e09df3014974d3dc7283f6211e,12,Sortiment,Sortiment,_,,
-iment,http://www.trendscheune.de/interior-design/kinderlampen-kinderlampe.html,db474f50c7c7d97a7a62482c6926023c7ea7,10,Sortiment,Sortiment,_,,
-iment,http://www.preussenweb.de/regiment3.htm,29bc232a3c437870413332a771e6122a14b2,184,Regiment,Regiment,_,,
-iment,http://www.dr-hoenicke.de/html/futtermittelallergie.html,c91b9535ccd691c76a0b0ffd244a92a0f524,30,Sortiment,Sortiment,_,,
-iment,http://www.lexikon-der-wehrmacht.de/Gliederungen/Grenadieregimenter/GRReithinger-R.htm,a1751984816e5b276d342548aa33bd03a464,1,Infanterie-Regiments,Infanterie-Regiment,Infanterie_--_Regiment,Infanterie,Regiment
-iment,http://blog4i.de/2010/05/unlock-fur-05-12-01er-baseband-kommt,a5b0d5c927fd42a16216b30535600b177e19,100,Kompliment,Kompliment,_,,
-iment,http://www.shopping-versandhaus.de/versandhaus-12.htm,ff080eb5f70b802bb02940b9472c5f3f9ee7,13,Sortiment,Sortiment,_,,
-iment,http://www.triathlon-szene.de/forum/archive/index.php/t-6065-p-13.html,19ae2b6543433b0b045c95986492fd43d012,761,Sortiment,Sortiment,_,,
-iment,http://www.asta-online.de/cws/arbeitsschutz/privat/von-format/shop.84.mod72_0100.9960.html,6e68dc147a62859a41d4b07859629b901202,2,Sortiment,Sortiment,_,,
-iment,http://cdn2.journal21.ch/verheissung-und-verhaengnis-der-muslimbrueder,d9e930fb170867809bf36b63e53e3960a380,31,Sentiment,Sentiment,_,,
-iment,http://www.osthessen-sport.de/einzelansicht/news/2011/november/jetzt-beim-sporthaus-die-neue-ski-dimension-der-k2-genusscarver.html,a40329f2a4b0dd6364839eb8ec11bba6f319,7,Sortiment,Sortiment,_,,
-iment,http://www.gtrp.de/archive/index.php/t-8794.html,d23b664b4c0a22300c1dd57ed9000c5482b4,560,Kompliment,Kompliment,_,,
-iment,http://vfd-saar.de/nachberichte/nachberichte/reitkurs-mit-roland-heiss-2011.html,ce338facd3106af88c862e6c36cdfebe3813,12,Kompliment,Kompliment,_,,
