morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ist,http://www.buecherlei.de/fab/streusel/streu07.htm,0e7cfada8908f2735989a039fea1ef5e87a0,487,Infanteristen,Infanterist,_,,
-ist,http://forum.ksta.de/archive/index.php/t-6599.html,b212f2eb48efb725abc7e2449255eacfb601,1477,Kommunisten,Kommunist,_,,
-ist,http://www.unterfahrt.de/index.php?action=overview%26mo=11%26yr=2005,629f6f0128ff9dd71dc439c0984f1d1bf135,83,Posaunist,Posaunist,_,,
-ist,http://www.kulturkurier.de/kulturnews_12457.html,ce57cda2b0905bd4df02628887e067fe71b6,4,Komponist,Komponist,_,,
-ist,http://www.5-freunde-im-abseits.de/2007/07/16/ein-hoch-auf-das-testosteron,3f858a0282e07c180f6828689c8badec0d88,26,Kampfgeist,Kampfgeist,Kampf_Geist,Kampf,Geist
-ist,http://www.blog-cj.de/blog/2013/06/20/alles-egal-hauptsache-digital,dacec476b16287e38c1efb5543419ff6d920,18,Journalist,Journalist,_,,
-ist,http://isis-welt.blog.de/2011/04/08/missbrauch-unschuldsvermutung-10970233,764a4214fdccc05cd2403145fc711c5a02fe,161,Bockmist,Bockmist,Bock_Mist,Bock,Mist
-ist,http://www.airpower.at/news2010/1101_greeksubs/index.html,11a861cbf9c789ed0e7a4816a411a1f9caed,12,Berufspessimisten,Berufspessimist,Beruf_+s_Pessimist,Beruf,Pessimist
-ist,http://www.vkz.de/de/heute/redaktion/archiv/sport/mai-2008,9933a0a4bae103ab64e113a05ff004ee1d91,62,B-Ligist,B-Ligist,_,,
-ist,http://www.penzweb.de/blog/2011/10/10/bundestrojaner-erkennen-und-entfernen,01ae3785fdd81b083c68a4bc74c6198045d9,12,Sicherheitsspezialist,Sicherheitsspezialist,Sicherheit_+s_Spezialist,Sicherheit,Spezialist
-ist,http://www.der-blaetter-wald.de/Seiten/Erinnerung.htm,2ec60bc580a66dfb3b3d0fea76b1cf6af7e8,40,Juristen,Jurist,_,,
-ist,http://www.reitschule.ch/reitschule/mediengruppe/Medienspiegel/11-09-19_25-MS.html,3e4bd30135d8b47e7a15b9c683c7282b5ef8,2,Polizisten,Polizist,_,,
-ist,http://www.frankies-diskothek.de/207-2-ltbgtonlineshopslt-bgt.php,cea4094b07f1e3d2fea137133644c8f798ed,97,Fleurop-Partnerflorist,Fleurop-Partnerflorist,Fleurop_--_Partner_Florist,Fleurop,Florist
-ist,http://ww2.heidelberg.de/stadtblatt-alt/stbl4200/kultur.htm,726d866e2053ed83f316c1e3eef2519e5784,3,Komponisten,Komponist,_,,
-ist,http://www.gedichteforen.de/27220_die-eine-wahre-battle-royal-kommentartorenbox.html,c1db1617282b30b0c9e0823318b3c8cb79a7,94,Journalisten,Journalist,_,,
-ist,http://www.darmstadt.ihk.de/recht_und_fair_play/Arbeitsrecht/news_arbeitsrecht,bc12919933f4e03ed8012c2ac57765d2c367,212,Kündigungsfrist,Kündigungsfrist,Kündigung_+s_Frist,Kündigung,Frist
-ist,http://www.spieletipps.de/pc/x-3-terran-conflict/fragen/id-8066365,46350f5b8e17f807481d8918992f16ce78b9,34,Marineinfantristen,Marineinfantrist,marin_ein~_Fan_trist,marin,trist
-ist,http://claudia-klinger.de/archiv/glueck/w3werbung.htm,f124b65a666d9afd2d22d3b6dd68b5f21ca4,65,Netzaktivisten,Netzaktivist,Netz_Aktivist,Netz,Aktivist
-ist,http://starke-meinungen.de/blog/2011/05/24/warum-unsere-leitkultur-kapitalismusfeindlich-ist/comment-page-1,949e08b1d2fd9644c3726a3fee06cbb44ff7,277,Zionisten,Zionist,_,,
-ist,http://www.autobild.de/bilder/dauertest-mazda5-2.0-mzr-cd-top-766825.html,4f7e7a32f8b572abb901d3a6debe5ad88919,35,Poltergeist,Poltergeist,_,,
-ist,http://sunset.over-blog.de,e372b27355c6dd283b24acdc9e352db27926,880,Touristen,Tourist,_,,
-ist,http://www.planet-schule.de/warum-geschichte/internationale-krisen/irl/txt.html,a77c4597d7ec46d466989e14093679ad5a62,86,Unionisten,Unionist,_,,
-ist,http://archiv.16vor.de/index.php/2009/07/07/das-kraftwerk-kommt,bc72eda82164df4a6357e8b601937386a09e,43,Greenpeace-Aktivisten,Greenpeace-Aktivist,Greenpeace_--_Aktivist,Greenpeace,Aktivist
-ist,http://www.audiophysic.de/accessoires/anniversary_cd/index.html,59f5cd02567ce5cf5e6bb5dcd7f4a20c27df,4,Zeitgeist,Zeitgeist,Zeit_Geist,Zeit,Geist
-ist,http://www.architecture-preview.de/wirtschafts_news.html,2318cdedbf97e4c7c5faa80b4001bd965f40,1112,Brausenspezialist,Brausenspezialist,Brause_+n_Spezialist,Brause,Spezialist
-ist,http://www.sozialhilfe24.de/elternzeit/dauer-verlaengerung-beendigung.html,0f50a0c60e6c60175c20ca6b316edfc2e9a0,40,Kündigungsfrist,Kündigungsfrist,Kündigung_+s_Frist,Kündigung,Frist
-ist,http://www.deliberationdaily.de/2013/11/die-grosse-umerziehung-der-libertaeren/?replytocom=3756,03b7c6a839cbf3307e057d6062af7056375e,11,Faschisten,Faschist,_,,
-ist,http://fgbrdkuba-berlin.de/txt/rezension-bacardi.html,3b7a34db0594417b80340ab6c0727354cc97,12,Journalisten,Journalist,_,,
-ist,http://www.triller-online.de/f0071.htm,b3da40450f08d5702bc96f4e57bb3325e039,45,Aktivist,Aktivist,_,,
-ist,http://www.berlinerfresse.de/2010/12/30/weihnachten-2010-bei-den-3-schwestern-im-kunstquartier-bethanien,928e98424d398eb25b6162473cb314122097,23,Artisten,Artist,_,,
-ist,http://www.tus-05-daun.de/index.php?article_id=231,99ca3d53e306649bb25cf1727686078c9948,1,Methodist,Methodist,_,,
-ist,http://www.clavio.de/forum/klavierspielen-klavierueben/14167-wie-fuehlt-sich-bei-euch-blindes-ueben-spielen-3.html,945db01c06a805e7428eb9f64e8b60985e2e,33,Pianisten,Pianist,_,,
-ist,http://www.dfb.de/index.php?id=512390,d45c28dc2259e4f3551ef944ab24842a83e8,415,Drittligisten,Drittligist,_,,
-ist,http://www.filmflausen.de/Flausenforum/Upload/archive/index.php/thread-6-10.html,97219d458e9c674a8bc8d6d671cea908d2bd,5,Terrorist,Terrorist,_,,
-ist,http://www.lieblingsserie.de/serien-news/gntm-alisar-hanna-und-laura-stehen-im-finale-kein-public-viewing-zur-finalshow,4efc5c0bdcb3f5ca343ac71289b94a1821b5,20,Finalteilnehmer-Listen,Finalteilnehmer-List,Finalteilnehmer_--_List,Finalteilnehmer,List
-ist,http://www.projektwerkstatt.de/antirepression/prozesse/prozess2_3_05.html,afc8aa74730f5a3cdd37215c3706dd63585d,261,Zivilpolizisten,Zivilpolizist,zivil_Polizist,zivil,Polizist
-ist,http://www.die-seite.at/kunst_kultur/kulturcontent.php?_id=50,029e76404d610ff3a883e807eba939f3c4c7,11,Komponisten,Komponist,_,,
-ist,http://www.zukunftia.de/1787/star-trek-voyager-staffel-2-teil-3-qualitat-sonst-beule,369115d4dc6dffb9e8e38b7ca00b53c04650,162,Zivilisten,Zivilist,_,,
-ist,http://www.suedwind-magazin.at/start.asp?ID=240235%26rubrik=7%26ausg=201007,f00a9ca1b7d4fb09abc9cac2b83f215cf284,114,Journalist,Journalist,_,,
-ist,http://www.althand.de/meisscheib.html,d4f43f1f4b996a00b0896c6c8421900c1f8d,7,Polizisten,Polizist,_,,
-ist,http://www.reitschule.ch/reitschule/mediengruppe/Medienspiegel/11-09-19_25-MS.html,3e4bd30135d8b47e7a15b9c683c7282b5ef8,222,Polizisten,Polizist,_,,
-ist,http://www.politik-sind-wir.de/f7/diskussion-zum-marx-thread-t95/page16.html,d01ad8d0714ad30c07cba978e235d453c7d2,23,Kommunisten,Kommunist,_,,
-ist,http://www.aida-archiv.de/index.php?option=com_content%26view=article%26id=3226%3Abuecher-zum-thema-nsu-und-rechter-terror%26catid=27%3Abr%26showall=1,9728a73d47795b70e8438edd2be1cd45a4f1,29,Rechtsterroristen,Rechtsterrorist,rechts_Terrorist,rechts,Terrorist
-ist,http://www.ecommerce-leitfaden.de/Aktuelles,758cd441f51f2d084f4d2db6c417f47d669c,136,Maximalfrist,Maximalfrist,maximal_Frist,maximal,Frist
-ist,http://www.prewitec.de/Leseproben/roboter.html,b378077c02f7444306a9d58b4cc8be32e332,74,Spezialisten,Spezialist,_,,
-ist,http://www.ruhr-uni-bochum.de/bsz/519/519lilu.htm,1b13f5bef843e16eacd7971399bd6e8ce23a,7,Sozialisten,Sozialist,_,,
-ist,http://www.vfl-bochum.de/vfl2006/verein/historie/legenden/aden.htm,581a7f47e2190ba2f5786b97b8905bf3efdd,25,Bezirksligisten,Bezirksligist,Bezirk_+s_Ligist,Bezirk,Ligist
-ist,http://www.x-athlon.de/forum/archive/index.php/t-1205.html,f2421953ee1df42813515dbf15b1ad6dfc92,42,Terroristen,Terrorist,_,,
-ist,http://www.umdiewelt.de/Asien/Suedostasien/Myanmar/Reisebericht-4077/Kapitel-48.html,c015d403c6a65638ca0b51ba7b4828e8f8a6,39,Buddhist,Buddhist,_,,
-ist,http://www.schwatzgelb.de/2129.html,2fd913b78a2445382bf90373258155dded40,7,Journalisten,Journalist,_,,
-ist,http://www.planet3dnow.de/vbulletin/archive/index.php/t-342820.html,ea4e2b3bf926eab3ebee94b79fa8008f8c94,490,Kindergartenmist,Kindergartenmist,Kindergarten_Mist,Kindergarten,Mist
-ist,http://4woche.blogsport.de/2010/07/22/der-kommende-aufstand,591a73cb03d09942f8e278fcfd8466ca56ce,1032,Aktivisten,Aktivist,_,,
-ist,http://www.britspotting.de/website_2008/site_english/archive/popup/2007/feature/history_boys.htm,d9b3a0998664f3ee76525d6eecf3d9d0882f,7,Zeitgeist,Zeitgeist,Zeit_Geist,Zeit,Geist
-ist,http://www.voluntarist.de/hauptteil,c24861d705e4d43652a5f57e45e764575694,18,Voluntarist,Voluntarist,_,,
-ist,http://www.showking.de/conditions.php,8109452f2ad9a83996ebc6508cf258ec7ae8,47,Gewährleistungsfrist,Gewährleistungsfrist,Gewährleistung_+s_Frist,Gewährleistung,Frist
-ist,http://www.business-wissen.de/artikel/leistungsanreize-sinnvolle-fuehrung-versus-widersinniges-management,dca4c9c5dc3f6b45bea8cb88be5440a4123c,55,Egoisten,Egoist,_,,
-ist,http://www.vietnam-dvg.de/dvg-kultur.html,0ca3355313c3ab7310f12842dee626db4aa4,232,Buddhist,Buddhist,_,,
-ist,http://forum.torwart.de/de/archive/index.php/t-56938-p-8.html,60b38ad63fe43e9f76d5cbed8202edd8c637,147,Erstligisten,Erstligist,_,,
-ist,http://www.berliner-mieterverein.de/presse/sonstigesarchiv/fl165.htm,ea497a9897c3c4a46b3d7613d80efef9d6a1,74,Dreimonatsfrist,Dreimonatsfrist,drei_Monat_+s_Frist,drei,Frist
-ist,http://homepage.ruhr-uni-bochum.de/niels.werber/Antrittsvorlesung.htm,a022e8c52bd7fe3eb4d966556352bf385833,201,Terroristen,Terrorist,_,,
-ist,"http://www.comma-store.de/Career/COMPANY_CAREER,default,pg.html",8067c6ba4cff2c6945c0066b389e7ecd7f38,128,Zeitgeist,Zeitgeist,Zeit_Geist,Zeit,Geist
-ist,http://www.nationalpark-berchtesgaden.de/publikationen/forschungsberichte/forschungsbericht17.htm,427a158985ad7b4cf0a5ed28aa484405fd8d,8,Nahrungsopportunist,Nahrungsopportunist,Nahrung_+s_Opportunist,Nahrung,Opportunist
-ist,http://www.triller-online.de/k0497.htm,91f28e246640f80f58cac3353b434ddf67de,197,Kommunisten,Kommunist,_,,
-ist,http://www.scifi-forum.de/off-topic/off-topic-allgemein/66058-google-streetview-legt-widerspruch-abfotografieren-eures-hauses.html,a23e87a0a16c3ba02ba2871925b33d8b7f2f,120,Optimisten,Optimist,_,,
-ist,http://www.transparency.ch/de/aktuelles/meldungen/2012_02_29_VersuchungLauert_meldung.php?navanchor=,19a16e20e2e97ecd6d7ae61da9bf1c75ad66,30,Journalisten,Journalist,_,,
-ist,http://www.bauherrenzentrum.de/beispiel/aschauer.htm,59ddfaa4293a86ab9ec63d1b0554197ba23d,6,Pensionist,Pensionist,_,,
-ist,http://www.datenschutz-bayern.de/print/tbs/tb20/k6.html,ad36b1fd00be5ef62aba1dd51d5d3efc19c0,93,Speicherungsfrist,Speicherungsfrist,Speicherung_+s_Frist,Speicherung,Frist
