morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ität,http://www.weltverschwoerung.de/freimaurer-illuminaten-andere-geheimbuende/21231-einstein-mafia-nobel-preis-4.html,7c6ee26f0f7c38f817deb32bc4fa473fce6f,174,Singularität,Singularität,_,,
-ität,http://www.mueritzeum.de/de/natur_verstehen/biodiversitaet/fossilien_aus_tropischen_meeren,24adbd3f116aff724a1cb35a876c684934a1,2,Biodiversität,Biodiversität,Bio_Diversität,Bio,Diversität
-ität,http://www.heilbronn.de/bue_rat/presse/pm_08/02_08,f314f8b640a433b46d0cf53b9e95fe134713,25,Identität,Identität,_,,
-ität,http://www.die-linke-berlin.de/politik/positionen/politik_fuer_berlin/rot_rotes_regieren/entwurf_der_koalitionsvereinbarung/22,3fccd6374f6f37edf84754056746fbab1944,50,Universitäten,Universität,_,,
-ität,http://denktag2008.denktag.de/Projekt.1566.0.html,152b125aa44648722a4a80744c61ab2cc270,30,Universität,Universität,_,,
-ität,http://www.enbiz.de/IQ/Methoden.html,feac0857035c9c27290b0f22be106fe6f298,13,Qualität,Qualität,_,,
-ität,http://www.siebenbuerger.de/zeitung/artikel/interviews/kommentare/14389-der-ruecklaeufigen-mitgliederentwicklung.html,0bde57884fd9ede2aa80300cb48df55c6bb8,122,Aktivitäten,Aktivität,_,,
-ität,http://www.drwuensche.de/lintro-d.htm,c38de31297acb3af15c90a0b331d8ed6aa1d,14,Qualität,Qualität,_,,
-ität,http://www.mountainboard-world.de/forum/erste-fahrt-mit-mbs-comp-95-t-4485.html,da34bb8c3b6274ac71993c3a28052bb14f8a,9,Qualität,Qualität,_,,
-ität,http://www.learn-spanish-online.de/exercises/level3_listen_comprehension/literatur/don_quijote/teil_0002.htm,2506b56292c0722f2b003c8aacd84b8ba3f5,5,Realität,Realität,_,,
-ität,http://www.eu-asien.de/Bali-Informationen/Uebersicht/Bali-Shanti.html,14883d2be9e17f7402339788767a7f6adf28,5,Stabilität,Stabilität,_,,
-ität,http://www.astronode.de/archiv/11/sommer-elke/acg.php,f36c3424662f78d536ed43168c0ddb235264,23,Aktivität,Aktivität,_,,
