morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-iteur,http://lkwrecht.de/Transportrecht/Standgeld.htm,af781ede2ffba82232c2163e4d4108522565,28,Spediteur,Spediteur,_,,
-iteur,http://archiv2.randzone-online.de/rand/rand071109.htm,8431ac493892a19cec51e0a8aadba2b55866,25,Spediteuren,Spediteur,_,,
-iteur,http://kanzlei-mkr.de/26.html,cefc8e7275e0414b43ed8dd3b03cda9aad02,306,Spediteure,Spediteur,_,,
-iteur,http://babsit.forumprofi.de/thema-anzeigen-umzug-mit-der-bundeswehr-was-sie-beachten-muessen-t373.html,a9ff29e5d97cdcba5f168a0f42bd0df9f14d,12,Spediteurs,Spediteur,_,,
-iteur,http://babsit.forumprofi.de/thema-anzeigen-umzug-mit-der-bundeswehr-was-sie-beachten-muessen-t373.html,a9ff29e5d97cdcba5f168a0f42bd0df9f14d,13,Spediteur,Spediteur,_,,
-iteur,http://babsit.forumprofi.de/thema-anzeigen-umzug-mit-der-bundeswehr-was-sie-beachten-muessen-t373.html,a9ff29e5d97cdcba5f168a0f42bd0df9f14d,30,Spediteuren,Spediteur,_,,
-iteur,http://www.uweb21.de/presse/p2006/fra60629-biosprit-ab2012voll-besteuert.htm,3bbbdc73abcb18872692149b82dab07d0bb2,9,Spediteuren,Spediteur,_,,
-iteur,http://www.2b-medien-werkstatt.de/kunden/cdu/cdubergedorf/index.php,0a48b9b833af5217d122838faa8ed64e6907,102,Spediteure,Spediteur,_,,
-iteur,http://www.lfp-newsletter.de/lfpd0811.htm,7cfae0c425d8044e025732c5e2702d9b10c2,153,Spediteure,Spediteur,_,,
-iteur,http://blogs.taz.de/hausmeisterblog/2006/page/10,e91964eff0d3c0e25a2aca4b97a15ecfb114,23,Anzeigenakquisiteur,Anzeigenakquisiteur,Anzeige_+n_Akquisiteur,Anzeige,Akquisiteur
-iteur,http://www.passat35i.de/archive/index.php/t-17462.html,0cc3fd52fd2f0311f150b0a60312ab22aeed,331,Spediteur,Spediteur,_,,
-iteur,http://www.ultrasservice.de/agb.html,dd5b101567735ebb5d67225371ee6ad17b0e,30,Spediteur,Spediteur,_,,
-iteur,http://www.amadeusmozart.de/MozartFamilieConstanze.htm,9b705b65b20d4f74fbe787cb670407c4a63c,6,Kompositeurs,Kompositeur,_,,
-iteur,http://www.amadeusmozart.de/MozartZeittafel1787.htm,f7e97914e3c29be95a578945dc5167f8e2dd,9,Kammer-Kompositeur,Kammer-Kompositeur,Kammer_--_Kompositeur,Kammer,Kompositeur
-iteur,http://www.literaturhaus-nuernberg.de/autorenseiten/wollschlaeger.htm,355d3cf1c5c09e8192d751b5278cbae2e16b,10,Anzeigenakquisiteurs,Anzeigenakquisiteur,Anzeige_+n_Akquisiteur,Anzeige,Akquisiteur
-iteur,"http://terra-x.zdf.de/ZDFde/inhalt/0/0,1872,2066208,00.html",bbede2d03a71fba1f93035e2281cf7afe58d,15,Spediteur,Spediteur,_,,
-iteur,http://www.marktplatz-rhein-lahn.de/spedition-schneider/gesch.htm,e0f9ab01da02de591f726bb01d23781c68eb,8,Abfertigungsspediteur,Abfertigungsspediteur,Abfertigung_+s_Spediteur,Abfertigung,Spediteur
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,10,Spediteure,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,12,Spediteur,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,14,Spediteur,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,16,Spediteur,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,32,Spediteure,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,34,Spediteure,Spediteur,_,,
-iteur,http://www.logintrans.de/frachtenvermittlung.html,8bdccc3e79516d1fd41cb14928b2a95377ef,36,Spediteur,Spediteur,_,,
-iteur,http://www.onejournal.de/news/wirtschaft/6/297.html,25cbb0b53545755e7104ab63cace1272f679,21,Spediteure,Spediteur,_,,
-iteur,http://www.onejournal.de/news/wirtschaft/6/297.html,25cbb0b53545755e7104ab63cace1272f679,24,Spediteur,Spediteur,_,,
-iteur,"http://www.lifestyle4living.de/p/Tischgruppe-mit-2-Stuehlen-und-Eckbank,5481.html",439d3f598e59632634cb6568a45d5f225674,6,Spediteur,Spediteur,_,,
-iteur,"http://www.lifestyle4living.de/p/Komplettwohnzimmer,4748.html",1777ed62d617dc4a6fc5c1cec330076ee4d1,6,Spediteur,Spediteur,_,,
-iteur,http://www.ra-kotz.de/vermoegensstraftat_beweislast.htm,da761b3020ebf09b1d85893500c3ef0d932c,7,Spediteuren,Spediteur,_,,
-iteur,http://www.ra-kotz.de/vermoegensstraftat_beweislast.htm,da761b3020ebf09b1d85893500c3ef0d932c,13,Spediteuren,Spediteur,_,,
-iteur,http://www.dbh-germany.de/agb.html,0523dcd2489f75af8e269a2e08fcc909108c,48,Spediteur,Spediteur,_,,
-iteur,http://www.wortwarte.de/Archiv/Datum/d120421.html,85d422f76b5e26e129ffcced4573e454e1fd,89,Kunstspediteure,Kunstspediteur,Kunst_Spediteur,Kunst,Spediteur
-iteur,http://coforum.de/index.php?7787,5b580515e324ce39b3118bb0f007ce529345,31,Spediteuren,Spediteur,_,,
-iteur,http://www.schmidtspiele.de/alle-bewertungen/product/auf-achse-49090.html,145a981a699855f9db62a736d43c50cee0d2,4,Spediteure,Spediteur,_,,
-iteur,http://irgendlink.de/2006/11/page/2,7cc033612588560c39b25b7a22ba94897db9,5,Spediteur,Spediteur,_,,
-iteur,http://irgendlink.de/2006/11/page/2,7cc033612588560c39b25b7a22ba94897db9,8,Spediteur,Spediteur,_,,
-iteur,http://livethumb.de/computer-transporte.php,512a12d5b2b757250debfa40a33994058c8a,10,Spediteure,Spediteur,_,,
-iteur,http://www.keller-menz.de/arbeitsrecht-0/lag-muenchen-urt-v-30082005-8-sa-523-05.html,855976b13df8e8a31277bed8026971732fc6,69,Akquisiteure,Akquisiteur,_,,
-iteur,http://www.keller-menz.de/arbeitsrecht-0/lag-muenchen-urt-v-30082005-8-sa-523-05.html,855976b13df8e8a31277bed8026971732fc6,106,Akquisiteur,Akquisiteur,_,,
-iteur,http://www.geizkragen.de/haendlerinfos/bewertungen/seite/90/redcoon-gmbh/7385.html,6f20a4dccb68e0e327494c53e8e19ccb65fa,64,Spediteur,Spediteur,_,,
-iteur,http://www.geizkragen.de/haendlerinfos/bewertungen/seite/90/redcoon-gmbh/7385.html,6f20a4dccb68e0e327494c53e8e19ccb65fa,67,Spediteur,Spediteur,_,,
-iteur,http://www.hoeflichepaparazzi.de/forum/archive/index.php/t-10627.html,24aff8d109e0418ae7d283166e63eb30c671,19,Requisiteur,Requisiteur,_,,
-iteur,http://www.damals-im-wendland.de/1963-Wohnmobil-von-Utech.htm,51a7f2e0b1b00fda7e015dbb281a3b70bc98,4,Spediteur,Spediteur,_,,
-iteur,http://www.alpinofen.ch/it/agb/index.asp,03f6281897dc0681aef678c2a9d31bc6648a,39,Spediteur,Spediteur,_,,
-iteur,http://www.verkehrsrundschau.de/cms/1330976,d44ac10dc98bb9eef0fc84d75d6bba167f84,19,Spediteure,Spediteur,_,,
-iteur,http://www.radarforum.de/messages/131/5343.html,effb880168d20a159a37dcc4f6e97fd5ca22,12,Spediteure,Spediteur,_,,
-iteur,http://www.buggy-club.de/treffen-beendet-f10/ostern-2009-8-4-bis-15-4-09-mit-dem-buggy-auf-malle-t8737.html,7e7a1f5028859de69d725bc4e2e536daa33d,75,Spediteur,Spediteur,_,,
-iteur,http://www.europa-uni.de/de/struktur/verwaltung/transferstelle/veranstaltungen_termine/index.html,6d17a644becef9e664b64f07ff7b15472cec,3,Spediteure,Spediteur,_,,
-iteur,http://www.ciao.de/Internet_Services_13270_2,3c208392f8807be9fa5390e0b67feaa12267,78,Spediteur,Spediteur,_,,
-iteur,http://newsletter.bbs-ahrweiler.de/bbs_krupp_presse_kw_31_2_05.htm,36d8943415e1dac3f9628906ff3af6192208,41,Lehrstellenakquisiteure,Lehrstellenakquisiteur,Lehrstelle_+n_Akquisiteur,Lehrstelle,Akquisiteur
-iteur,http://newsletter.bbs-ahrweiler.de/bbs_krupp_presse_kw_31_2_05.htm,36d8943415e1dac3f9628906ff3af6192208,57,Lehrstellenakquisiteure,Lehrstellenakquisiteur,Lehrstelle_+n_Akquisiteur,Lehrstelle,Akquisiteur
-iteur,http://www.premium-fitness.de/training-fitness-shop/Article/ID/20/Session/1-KVE3i56K-0-IP/AGBs_Datenschutz.htm,49c1547e856135548a0eb51347a57ce4d8ed,49,Spediteur,Spediteur,_,,
-iteur,http://www.premium-fitness.de/training-fitness-shop/Article/ID/20/Session/1-KVE3i56K-0-IP/AGBs_Datenschutz.htm,49c1547e856135548a0eb51347a57ce4d8ed,60,Spediteur,Spediteur,_,,
-iteur,http://www.gastroworld-24.de/Unsere-AGB-_-3.html,f4b51a4b2443b1b7a51ef2e0fdc42a1cc27b,35,Spediteur,Spediteur,_,,
-iteur,http://www.nwcomp-solar.de/agb.html,19b12e648d8f51bf1690473d4946f6c0e0f8,76,Spediteur,Spediteur,_,,
-iteur,http://www.jumpforward.de/jobs/Marketing-und-Werbebranche/Onlinemarketing/seite-2.html,d9287e9ae95da8e2acc1969d9ccf37947917,14,Neukunden-Akquisiteur,Neukunden-Akquisiteur,Neukunden_--_Akquisiteur,Neukunden,Akquisiteur
-iteur,http://www.irfp.de/deutsch/irfp/leistungen.html,2c7f7a3f307dde54b8feb6709d69174b94cd,4,Spediteure,Spediteur,_,,
-iteur,http://www.eismannjobs.de/navi-header/ueber-eismann/presse/presseartikel/empresse-detail/article/wz-ein-chef-in-geheimer-mission.html,9eb045965f7b68cf7d4b7b02835568a5b27d,18,Akquisiteur,Akquisiteur,_,,
-iteur,http://www.hochseil.de/thailand.htm,e04d47337388d03ad9c10fa9982176d1065d,17,Spediteur,Spediteur,_,,
-iteur,http://www.onlinepuls.de/projekte/speditions-assekuranz.html,a6f5cbc4920b4aeedbc3c041cb723671f8d6,1,Spediteuren,Spediteur,_,,
-iteur,http://www.fritz-schroeter-cdu.de/Aktuelles/Aktuelles2006/Ausbildungspakt.htm,438ddb018b7a2305ce0aa64c10308ee0c54f,12,Lehrstellenakquisiteure,Lehrstellenakquisiteur,Lehrstelle_+n_Akquisiteur,Lehrstelle,Akquisiteur
-iteur,http://www.jojospielzeug.de/2_agb.htm,dd9643bc0bf13e7e5cefe0e2c0870329f77e,26,Spediteur,Spediteur,_,,
-iteur,http://www.hvdienst.de/rechtsschutzversicherung.html,eb49356a57bb85c39cf269deb817f883b65e,14,Spediteure,Spediteur,_,,
-iteur,http://www.gudrun-lukin.de/landtag/anfragen/2010/2-quartal/0618-1-anfrage.html,559cba7d7028e682ca70a97916e026f55d49,1,Spediteure,Spediteur,_,,
-iteur,http://www.henninger-gmbh.de/Allgemeine-Geschaftsbedinung.html,3186eba97f0595755c4a4346e76a0c4b0b48,23,Spediteur,Spediteur,_,,
-iteur,http://www.sell-technik.de/agb.htm,aff07ce4beeb326996303cde251ced320930,35,Spediteur,Spediteur,_,,
-iteur,http://www.rm-computertechnik.de/Shop/Service/AGB.php,226e38afdef3ca779d70e34a1b29fe764180,62,Spediteur,Spediteur,_,,
-iteur,http://www.rm-computertechnik.de/Shop/Service/AGB.php,226e38afdef3ca779d70e34a1b29fe764180,96,Kraftwagenspediteuren,Kraftwagenspediteur,Kraft_Wagen_Spediteur,Kraft,Spediteur
-iteur,http://www.zeitspurensuche.de/04/index04.htm,3f809399f8a9a711f6e4beb0e881daed3df2,13,Spediteure,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,2,Spediteuren,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,3,Spediteuren,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,8,Spediteur,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,10,Spediteure,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,11,Spediteur,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,17,Spediteure,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,18,Spediteur,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,22,Spediteure,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,28,Spediteur,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,29,Spediteure,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,37,Spediteur,Spediteur,_,,
-iteur,http://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_24022000_11213400.htm,2edcd4de99f831d7172cf8154d088ee60883,40,Spediteurs,Spediteur,_,,
-iteur,http://ebooks.ub.uni-muenchen.de/7096,47ed818444ea0e2264feebdf0e794e154a85,6,Spediteure,Spediteur,_,,
-iteur,http://eifeltierheim-altrich.de/303-1-1/.html,9f88a1f9f3dba6c8657c1b5df1fb20e6de5e,435,Spediteure,Spediteur,_,,
-iteur,http://www.automatendreherei.de/cnc.html,730ecc2ac62c44e19e35621126a869dc03d0,9,Spediteure,Spediteur,_,,
-iteur,http://www.theaterimbahnhof.de/index.php/component/content/article/3-eigeninszenierung/68-gretchen-89ff.html,9bfb6020cf918020ac2c4feaef738f371f5f,8,Requisiteuren,Requisiteur,_,,
-iteur,http://www.wirbellotse.de/sonstiges-kein-thema/www-shrimp-visions-de-leider-n-so-kundenfreund-wie-erhofft-t1354-20.html,e2adece2a96195dfbb8b0a10dda33f1fefdc,44,Spediteur,Spediteur,_,,
-iteur,http://www.bizarre-natur.de/Kursuspogramm/body_kursuspogramm.html,194eacc5bc2abd9e4879c8b4901c3145bad3,93,Requisiteure,Requisiteur,_,,
-iteur,http://www.imperiumdersteine.de/archive/index.php/t-20820.html,09083c665e2acdc944f04bb4d4fe9ab6b2da,117,Spediteur,Spediteur,_,,
-iteur,http://www.unser-ruebenach.de/akutell_infos/2010/02/03_kfd_sitzung_0210/presse_03_kfd_sitzung_0210.htm,4b5fa60acd2877e1bd6780107a3b9f3bd3b7,9,Requisiteur,Requisiteur,_,,
-iteur,http://www.jobskarriere.de/s-utjqdomf-spedition-i-4-einkauf-logistik-materialwirtschaf-jobs.html,caf8b9b1b870b3b490f4e8dfb54b31e2fac1,5,Spediteur,Spediteur,_,,
-iteur,http://www.jobskarriere.de/s-utjqdomf-spedition-i-4-einkauf-logistik-materialwirtschaf-jobs.html,caf8b9b1b870b3b490f4e8dfb54b31e2fac1,6,Spediteur,Spediteur,_,,
-iteur,http://210363.homepagemodules.de/t192849f11728041-Der-Erfolg-der-rot-gruenen-Regierung-in-Fakten-8.html,537ec4a108cc4e7f87fc45b59753ce9db740,42,Spediteur,Spediteur,_,,
-iteur,http://www.germania-hoffnung.de/html/Sponsoren.html,21f988681fc0298526fc825567af992bb50c,6,Requisiteure,Requisiteur,_,,
-iteur,http://www.llb-detmold.de/wir-ueber-uns/aus-unserer-arbeit/texte/1977-1.html,ef6cb2c7515e79bd3a0be4502ed2d3563c79,57,Auditeur,Auditeur,_,,
-iteur,http://www.bau-welt.de/finanzierung_recht/versicherung/hausratversicherung/index.html,697ddc3d49ec473b0a26aea0c29461bed72d,55,Spediteur,Spediteur,_,,
-iteur,http://www.seaports.de/pressearchiv/archiv/cux030630TFGzug.htm,1dbdb8fbef25c1ef11d9d90238a5134bcd62,3,Spediteure,Spediteur,_,,
-iteur,http://www.seaports.de/pressearchiv/archiv/cux030630TFGzug.htm,1dbdb8fbef25c1ef11d9d90238a5134bcd62,8,Spediteure,Spediteur,_,,
-iteur,http://ko-rfid.hu-berlin.de/de/presse/presseresonanz/archive/2007/june/article/unternehmensuebergreifende-normen-sollen-helfen-das-potenzial-der-rfid-technologie-in-produktion-und,b146bab78da3a4f96cf62d063ae693c3a496,13,Spediteuren,Spediteur,_,,
-iteur,http://www.speditionswissen.de/content/fachliteratur/index.htm,a5692716b1d3ee61fac9fc98211a69fb5d4b,2,Spediteuren,Spediteur,_,,
-iteur,http://www.speditionswissen.de/content/fachliteratur/index.htm,a5692716b1d3ee61fac9fc98211a69fb5d4b,6,Spediteurs,Spediteur,_,,
-iteur,http://www.speditionswissen.de/content/fachliteratur/index.htm,a5692716b1d3ee61fac9fc98211a69fb5d4b,14,Spediteure,Spediteur,_,,
