morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ition,http://www.ard.de/zukunft/kinder-sind-zukunft/kinder-sind-zukunft/zukunft-der-bildung/-/id=520628/nid=520628/did=530912/15jqyue/index.html,595b1468b56bf47effd8c79ce2e52129ed26,33,Investition,Investition,_,,
-ition,http://www.politik-sind-wir.de/archive/index.php/t-10767.html,5ba78029602cb188e254780d084f731db2a7,488,opposition,Opposition,_,,
-ition,http://www.globkult.de/politik/europa/766-die-undeutliche-macht,23d79cd6f59949161fa18a8bdf6469189b8f,13,Ambitionen,Ambition,_,,
-ition,http://www.referate-max.de/referate/001817_b_baeume.htm,a192900b4ea49c4190384a963135f0a05e22,1,Definitionen,Definition,_,,
-ition,http://www.woonio.de/besprechungstischgestalten/besprechungstische.html,69e5df7c579dcf8cf258d6c4cd28e78c2f25,323,Spedition,Spedition,_,,
-ition,http://www.politik-sind-wir.de/f5/die-weltwirtschaftskrise-t1649/page27.html,952d9b403e30e78cb02bb619de82fc25d47a,26,Ambitionen,Ambition,_,,
-ition,http://www.rss-nachrichten.de/private-finanzen/kredite,a289b01cd91abc3c3fca31d38aa522034480,42,Investitionen,Investition,_,,
-ition,http://hastuzeit.de/2010/grunden-ist-einfacher-als-schliesen,1fd3da51088da107d5043be1f43d84353542,2,Investitionen,Investition,_,,
-ition,http://www.sportal.de/de/sportal/generated/article/ussport/2011/08/08/20383200000.html,443548b3d5fe0f3143a0281dcb098a0f1e77,61,Tradition,Tradition,_,,
-ition,http://www.ogs.de/hardware_hardwareproblemloesung.php,266e97dea88a052985588a63fe943e9190b3,2,Konditionen,Kondition,_,,
-ition,http://www.geldanlagehilfen.de/finanzen/online-kredit.html,8fce33912b8d9c9e7d65bd85e320f4291001,8,Konditionen,Kondition,_,,
-ition,http://resikom.adw-goettingen.gwdg.de/MRK/MRK3-2.htm,f91859e2ff03512c2f9086f5bd0448003488,200,Definition,Definition,_,,
-ition,http://www.comunio.de/external/phpBB2/viewtopic.php?t=243555%26start=2150%26sid=6028e921a518d80b2c72569ebdfadc70,49e791e44097e8a2ce5282973ac389fbba9c,82,Lieblingsposition,Lieblingsposition,Liebling_+s_Position,Liebling,Position
-ition,http://www.expertenseite.de/themen/internetverbindung-1050,8248aa47e065cea292cce777d297d6b4bd50,80,Edition,Edition,_,,
-ition,http://www.yogaschule-oldenburg.de/04-tradition.html,f6258ad1c762114c5e1c7d8aa7ca690885c0,8,Positionen,Position,_,,
-ition,http://www.roboternetz.de/community/archive/index.php/t-7225.html,51ea2dff80e1414c02cecb0925b72b27fdb0,40,Position,Position,_,,
-ition,http://diablo3.ingame.de/forum/amazonen-camp-7/chargalerie-der-amazonen-1226219/seite4,26621428bfb3f676ffd79cba11d9339d4731,433,Positionen,Position,_,,
-ition,http://smash-hamburg.de/news/2002/quartal-02-4/news-2002-10-14.htm,df474fc4ae8a6c3845566adc0e3c0ac557a2,189,Mittelblocker-Position,Mittelblocker-Position,Mittelblocker_--_Position,Mittelblocker,Position
-ition,http://home.1und1.de/themen/auto/genf/707b016-das-ist-der-neue-spitzen-lambo,95fbbe2f07ea62bf63b1918f9b3221719bb1,15,Positionen,Position,_,,
-ition,http://www.abteiorgel.de/trierorgel1.htm,78f6ba691ca0f3cc6b88103536d84613cf91,9,Disposition,Disposition,_,,
-ition,http://www.software-impulse.de/page/7,e4140a0d272897f4784465253871e51a5c7b,32,Investition,Investition,_,,
-ition,http://www.gruselromane.de/frames/sinclair/news/news.htm,5e6ed3064b522e0056a4cfa4c86dc3fc95a8,169,Sonder-Edition,Sonder-Edition,Sonder_--_Edition,Sonder,Edition
-ition,http://www.hensche.de/Rechtsanwalt_Arbeitsrecht_Handbuch_Mobbing_WasIstDas.html,a90e8d974fae31eee3fa854d46ed7038fdb8,4,Definition,Definition,_,,
-ition,http://www.f65-ostharingen.de/1.html,17dece27f8877c9bbed05f545118a3d44e14,323,Spitzenpositionen,Spitzenposition,Spitze_+n_Position,Spitze,Position
