morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-itur,http://www.suederholz.de/feuerwehr/griebenow/Jahresberichte/jb_2002.htm,ba18b09033584ed18fc1b542012e12cd7153,29,Helmsprechgarnituren,Helmsprechgarnitur,Helm_sprechen_#en_Garnitur,Helm,Garnitur
-itur,http://www.1000-haushaltstipps.de/badewanne_putzen.html,f5575f7505b0223ea89c38672a6a8bc8e163,16,Metallpolitur,Metallpolitur,Metall_Politur,Metall,Politur
-itur,http://www.opernnetz.de/seiten/rezensionen/hei_dio_bri_130208.htm,31d1b37bf569b0f80137607d8876115b1a7b,7,Partitur,Partitur,_,,
-itur,http://www.schulen.ostprignitz.de/heinrich_rau_schule/aktuell/2001/2003/bimizubs/bimizubs.htm,b9d745d7161917a0a3ea0df60a62cfd053fe,5,Zentralabitur,Zentralabitur,zentral_Abitur,zentral,Abitur
-itur,http://www.antbo.de/kataloge/a0777/seite-4.html,44b58da65449e0570c54d0a0a09d12865103,150,Partitur,Partitur,_,,
-itur,http://www.ricordi.de/wuethrich-hans.0.html,8a84cb33f7198c4eee2d6d235e46ea76b098,37,Partitur,Partitur,_,,
-itur,http://www.djfl.de/entertainment/stars/f/fritz_wepper/fritz_wepper_i_01.html,50abcd66c4be9a67c7c0cb78240d3aca0add,78,Partitur,Partitur,_,,
-itur,http://verkauf.donkiz.de/verkauf/farbe~koln.htm,3689e673883a25e1f82f34bca04f0cc1cfae,18,Garnitur,Garnitur,_,,
-itur,http://www.bseliger.de/sophia.html,11b4f6494d1137368210edbc437dccde6066,39,Partitur,Partitur,_,,
-itur,http://www.made-in-braunschweig.de/EWE-Armaturen.316.0.html,c35ecc16f68407da4f6da567a864b3ad3e10,5,Einbaugarnituren,Einbaugarnitur,einbauen_#en_Garnitur,einbauen,Garnitur
-itur,http://www.musica.at/sibelius/sibelius6_neue_funktionen.htm,1beafa04720505350f9d7f6ef12ee8457b9b,34,Partitur,Partitur,_,,
-itur,http://www.moebel-tipps.de/Koinor.html,93bd4d85fead5de246b11561af859223796f,23,Garnitur,Garnitur,_,,
-itur,http://www.mittelloge.de/rezensionen/auffuehrungen/paris/2004/paris_090304.htm,e607e86d56055f08f8f202d4a0f06e31d202,2,Partituren,Partitur,_,,
-itur,http://www.schachpresse.de/fitness.htm,dab84d6ff193c1e13b1ab9b1dac33578c51d,23,Polstergarnitur,Polstergarnitur,Polster_Garnitur,Polster,Garnitur
-itur,http://www.dieterwunderlich.de/Koeppen_rom.htm,25c60a855b88307c72d2df931b79ea1f35e1,10,Notabitur,Notabitur,Not_Abitur,Not,Abitur
-itur,http://www.zafira-forum.de/archive/index.php/t-5933.html,640ac945ef56cf5b066322a08d8b5e10a6f4,31,Politur,Politur,_,,
-itur,http://www.marbuch-verlag.de/archiv/2006/thema46.htm,6145c25dd9b60d6db982d34fe4b129a5c30a,29,Zentralabitur,Zentralabitur,zentral_Abitur,zentral,Abitur
-itur,http://www.eisenbahnfotograf.de/dbellok/galerie110/110.htm,df1a8e42182f9d0b5e26e9fb90723663019b,71,Garnituren,Garnitur,_,,
-itur,http://hoenne-bk.kdvz.de/Aktuelles.22.0.html,0ff9066f57866548b1c49b41d2fcb70622c6,68,Fachabitur,Fachabitur,Fach_Abitur,Fach,Abitur
-itur,http://www.tlc-exped.de/R24Ber.html,f5310fe3372f222260762356c88f750a7b50,119,Polstergarnitur,Polstergarnitur,Polster_Garnitur,Polster,Garnitur
-itur,http://www.funkmeldesystem.de/foren/archive/index.php/t-1305.html,fcb4349e8dadcbd21f77114b433177c8b63b,42,Sprechgarnitur,Sprechgarnitur,sprechen_#en_Garnitur,sprechen,Garnitur
-itur,http://www.hinternet.de/weblog/2009/04/michael-gruber-shakespeares-labyrinth.php,db8c7e42a0e7c0b9188de6526f4df5477458,9,Partitur,Partitur,_,,
