morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ium,http://nachtschattenreich.de/wbb/board15-gothic-culture/board90-soziales-bildung-wirtschaft-politik-recht/3823-ausbildungen,3f77434d27ea371528ec22173e09e55f5cf8,54,Gymnasium,Gymnasium,_,,
-ium,http://www.post.at/detailansicht_ir.php?meldung=575,ed2ca770d8e578fb978e39b929607c26c1ff,70,Medien,Medium,_,,
-ium,http://www.paradisi.de/Health_und_Ernaehrung/Medikamente/Nasenspray/News,46fa792b4c7cd01818c780b0a625d1c74c59,56,Studien,Studie|Studium,_,,
-ium,http://www.vgs-garrel.de/105535/82535.html,34bd63234645146f124cde8214ec7ddcdbed,507,Medien,Medium,_,,
-ium,http://www.evgemeindebockenheim.de/7.html,b857a905874fe1c25b7f41e43ce1d31c3ce2,4,Studien,Studie|Studium,_,,
-ium,http://www.hausarbeiten.de/faecher/vorschau/108746.html,4f314aba63940ae21fdd14fb0ed91df634dc,434,Medien,Medium,_,,
-ium,http://www.umwelt-online.de/regelwerk/eu/85_89/89_106c.htm,58348b70b461eb1c2895b75ce2d541104ad2,50,Laboratorium,Laboratorium,_,,
-ium,http://www.n0name.de/3000/so1602.html,70b174e3895fea3b9be958de6f6cd6d66d47,19,Medien,Medium,_,,
-ium,"http://www.gewebenetzwerk.de/component/option,com_simplefaq/task,display/Itemid,63/catid,49/page,1",5cd92fd17d1b534554f262880d61b986adc5,100,Kriterien,Kriterium,_,,
-ium,http://www.thieme.de/viamedici/laender/schweden/studium_karolinska.html,124ea964baf5c756b9a5e64d70e1b31e6a17,73,Studium,Studium,_,,
-ium,http://www.kinky-berlin.de,c987173838868d2125c0f562d0e090fbfe72,8,Medien,Medium,_,,
-ium,http://www.bahnhofsmission.de/index.php?id=424%26woher=104,82a5d531bb11fc4d5cfd668ff0638675793c,15,Gremium,Gremium,_,,
-ium,http://www.rodiehr.de/jdt/jdt_reading_19_2005-09-15_zeit_und_wahrnehmung.htm,9d4932e4b70c9c910fb49c461290a7997731,40,Medium,Medium,_,,
-ium,http://www.nichtraucherschutz.de/NRI/45/info021.html,e07d7de972b73acf34989d6ebc80ac223b1c,1,Medien,Medium,_,,
-ium,http://www.buechertreff.de/klassiker/50265-guy-de-maupassant-pierre-jean,de7a7c230c68aeffe82f9c98e25765b58846,74,Gymnasium,Gymnasium,_,,
