morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ling,http://www.fotoreiseberichte.de/teneriffa/teneriffa_pflanzen05.htm,bff2417c3347021a07f8e408f8c8018c807e,31,Frühling,Frühling,_,,
-ling,http://www.gothaer-sv.de/index.php/archivs1011/148-smgthfried.html,4794ac7f36fab764015e34993f6eeebca97b,12,Vierling,Vierling,_,,
-ling,http://www.hilker-berlin.de/en/node/25468,6b5eb797d2cdb5a46a028b3c3ad4ca4cae33,6,Tischlerlehrling,Tischlerlehrling,Tischler_Lehrling,Tischler,Lehrling
-ling,http://aid.de/ernaehrung/schwangere.php,39268368a29ead305ff1dee73c4c5fe89fdd,15,Säuglings,Säugling,_,,
-ling,http://www.auer-verlag.de/shop/grundschule/theater/4168-paco-baut-eine-krippe.html,5f4dc136b0c807c1efc86665c31297576305,46,Bowling,Bowling,_,,
-ling,http://old.glamour.de/glamour/4/1/content/10356/page2.php,168c6ce57a4ca42695569b84dc27a6b1e757,6,Styling,Styling,_,,
-ling,http://forum.ksgemeinde.de/archive/index.php/t-53900-p-58.html,0af06b074ef077b0454404da5b2796b13d92,735,Zwillinge,Zwilling,_,,
-ling,http://spielewiese.4players.de/spielewiese.php/spielewiese.spieluebersicht/8451/Blog/AirlineSim.html,92c8ae45974da927507b68db8f09401ce09c,242,Ground-Handling,Ground-Handling,Ground_--_Handling,Ground,Handling
-ling,http://forum.pop24.de/archive/index.php/t-10841.html,378ab8913783317859bb31298aff7d42255b,614,Lieblings,Liebling,_,,
-ling,http://www.210cm.de/blog,43e3b864b7e32605639463f90c7ef381cc0e,1,Frühling,Frühling,_,,
-ling,http://www.dresdner-figurentheater.de/erwachsen.htm,4a22ea535bfa202dcdd1ceaa542f15debac4,97,Winzling,Winzling,_,,
-ling,http://www.freilich.ch/blog/?p=383,5ce09edc1ec59e3f2055e757ee17af6c7dc8,28,Emporkömmlinge,Emporkömmling,_,,
-ling,http://www.psychologie-heute.de/archiv/detailansicht/news/mythen_heilsgeschichten_fuer_die_seele/printer.html,0441b4c452462de7c7723a2388d5435035f6,2,Säuglings,Säugling,_,,
