morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-nis,http://www.trekkies-forum.de/archive/4059/thread.html,ca480867854f7fd2217a639a9640a16b3db2,35,Titelverzeichnis,Titelverzeichnis,Titel_Verzeichnis,Titel,Verzeichnis
-nis,http://www.kaffeefreunde-muenchen.de/kaffeemobil,4dd85a650bf718dfaadda331f848c502e835,6,Geschmackserlebnis,Geschmackserlebnis,Geschmack_+s_Erlebnis,Geschmack,Erlebnis
-nis,http://www.eco-world.de/service/news/archiv/5428/index.html,a1ed1589ac5843e98fe8c7878966f5b791ed,25,Erlebnis,Erlebnis,_,,
-nis,http://edoc.hu-berlin.de/dissertationen/mann-katja-2003-02-12/HTML/chapter10.html,1107e03879d31613b790b95d9f6ed4a459de,1,Verhältnis,Verhältnis,_,,
-nis,"http://www.kultur-fibel.de/Kultur%20Fibel%20Buch,%20Kants%20Welt,%20Geier.htm",e85c071b1842cb29033bb87529d0870121a6,81,Kenntnis,Kenntnis,_,,
-nis,http://www.ag-friedensforschung.de/regionen/Ukraine1/energie2.html,f2baea8eafe6b2ba6c39636691e1146b95ec,26,Zugeständnisse,Zugeständnis,_,,
-nis,http://www.anyseek.de/web/Hobby._.und._.Freizeit/Private._.Homepage.html,f242317afe7fb0a2a94cc0c98d1e8295b5d7,11,Vorkenntnisse,Vorkenntnis,_,,
-nis,http://www.scn-energy.de/unternehmen/engagement/erfolg_verpflichtet/wenn-michael-lacht-pressemitteilung.html,2681670847b1c3871c856a6e261869feb576,13,Erlebnis,Erlebnis,_,,
-nis,http://www.tabletopwelt.de/forum/archive/index.php/t-26080.html,fe0c26f2b8445836d677d9147eab4040adf2,581,Ergebnis,Ergebnis,_,,
-nis,http://hegel-system.de/de/enz3.htm,988f2586d4a72055c62d064cc17c30341d48,7,Bedürfnis,Bedürfnis,_,,
-nis,http://www.msvportal.de/forum/archive/index.php/t-14051.html,d69329985848d80da91004bc13a42e61e838,389,Ergebnis,Ergebnis,_,,
-nis,http://cgi.dji.de/prokita,5dc02e3293714d4c3abb741e44a678f39aca,734,Ergebnis,Ergebnis,_,,
-nis,http://www.verwaltung.uni-halle.de/KANZLER/ZGST/ABL/2006/06%273%2703.htm,e6ab1247031bd6ef7aae1cb8af91761a824d,58,Ergebnis,Ergebnis,_,,
-nis,http://www.concordia.ch/de/private/gesund_sein/entspannung/schlaf_gut.html,fa5dac53751417cac8747e9a153b758f2863,83,Ereignisse,Ereignis,_,,
-nis,http://www.gruene-opr.de/wolfgang_freese.htm,aeb576652e303be823369854cae020d38e78,6,Ergebnis,Ergebnis,_,,
-nis,http://www.dfg.de/service/presse/das_neueste/2001/index.html,51afe9d08c2895962e521f5124e1a2e6c2ee,43,Verständnis,Verständnis,_,,
-nis,http://www.katzen-links.de/katzenforum2/archive/index.php/t-40154.html,b0d6da506546bdb073f91d3a6eb00e7eccec,109,Ergebnis,Ergebnis,_,,
-nis,http://www.thaiboard.de/autorentreffpunkt-f5/our-story--t604-s90.html,9db99ba7d2c568869defd2f0b8ab20a34b2a,59,Bedürfnis,Bedürfnis,_,,
-nis,http://www.near-by.de/computer-and-edv/tips-zur-auswahl-eines-geeigneten-datenrettung-unternehmens.html,574d1608745a3713f33b87bbbf69fd712b68,8,Ergebnis,Ergebnis,_,,
-nis,http://www.moselglider.de/icc/Internet/nav/02c/02c297b9-fa4f-7215-7c5c-24508ada3b7d.htm,70d8e2210018067af7e58fa23c4f5effdb28,6,Erlebnisse,Erlebnis,_,,
-nis,http://www.deecee.de/dc/funny-stuff/sprueche-zitate/deutsche-limericks.html,21af532ce5011172a7b2e4deecbccd639700,110,Bildnis,Bildnis,_,,
-nis,http://www.jetst.de,344a2d080429d7ab9453c42a1ee74b0b0dea,86,Erkenntnisse,Erkenntnis,_,,
-nis,http://www.onejournal.de/news/wirtschaft/6/297.html,25cbb0b53545755e7104ab63cace1272f679,246,Ergebnis,Ergebnis,_,,
-nis,http://zaronews.de/2007/07,16376b9e6030bacb55c6442109658ed88234,350,Erkenntnis,Erkenntnis,_,,
-nis,http://agso.uni-graz.at/marienthal/bibliothek/theuer_rudolf_1929/1.htm,880618bb55dbd622a77df8636ab7f7db450c,105,Verhältnisse,Verhältnis,_,,
-nis,http://www.keller-menz.de/arbeitsrecht-0/lag-schl-holst-urt-v-10012006-2-sa307-05.html,68a9ad921e63db27f5740cb89d190b30ddf9,18,Arbeitsverhältnis,Arbeitsverhältnis,Arbeit_+s_Verhältnis,Arbeit,Verhältnis
-nis,http://www.chirurgie-portal.de/neurologie/ischias-ischialgie.html,1ae249d654de605ef34176d3d6fbc71e14ca,82,Ergebnis,Ergebnis,_,,
-nis,http://www.schwarzaufweiss.de/Nordzypern/venedig1.htm,0ca6ddb704ecda442f019f285e60fc0c1bc0,39,Erfordernissen,Erfordernis,_,,
-nis,http://www.kreckler.homepage.t-online.de/info100/info.htm,70d0b4034722f52dac093be2810eb27fbd8e,14,Ereignissen,Ereignis,_,,
-nis,http://www.leuninger-herbert.de/herbert/archiv/kirche/84_Hoeffner.htm,d80d1f15e0f74b9a8e5d68a3ce6fded27d7c,144,Kenntnisse,Kenntnis,_,,
-nis,http://forum.silbermond.de/archive/index.php/t-11791.html,23b104660f38c6c34b6b3b144a438c772415,163,Verständnis,Verständnis,_,,
-nis,http://www.floerken.de/tdfns2/html2/19381111%20wb%20kristallnacht.htm,b53ed3ab00cfa9a88bea88fb0367992cc0b1,8,Verhältnissen,Verhältnis,_,,
-nis,http://www.neue-einheit.de/deutsch/is/is2009/is2009-25.htm,2a9a4a8aadbd3f019e99aec8675f5457d43c,205,Verhältnissen,Verhältnis,_,,
-nis,http://lexikon.mainstream-blog.de/Bewegungen.html,45eac5252baf1661141ac35c742d10996727,29,Bündnis,Bündnis,_,,
-nis,http://diekatharer.de/2010/05,9716acb29f53f51a064966e0c9b27e801b04,738,Kenntnisse,Kenntnis,_,,
-nis,http://wrestling-fantasy.de/hp/2003/Xplosion31.01.03.html,c66880ba22aefd3354963838a642971dd79b,526,Erlaubnis,Erlaubnis,_,,
-nis,http://www.gerhardfrey.de/-/Der_Anti-Schmock.html,bf9a330e910448722383b77068f38419d6e3,13,Geheimnis,Geheimnis,_,,
