lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Applikant,,applizieren,VVINF,3,73,1,1.0
Fabrikant,,fabrizieren,VVINF,567,234,1,1.0
Garant,,garantieren,VVINF,2737,3953,1,1.0
Lieferant,,liefern,VVINF,8067,10555,1,1.0
Musikant,,musizieren,VVINF,1384,492,1,1.0
Praktikant,,praktizieren,VVINF,2842,1314,1,1.0
Qualifikant,,qualifizieren,VVINF,95,2801,1,1.0
Rekombinant,,rekombinieren,VVINF,9,0,0,
Mitkonfirmant,,mitkonfirmieren,VVINF,0,0,0,
Applikant,,applikieren,VVINF,3,0,0,
Fabrikant,,fabrikieren,VVINF,567,0,0,
Garant,,garieren,VVINF,2737,0,0,
Lieferant,,lieferieren,VVINF,7717,0,0,
Musikant,,musikieren,VVINF,918,0,0,
mutant,Mutant,mutieren,VVINF,315,455,1,1.0
Praktikant,,praktikieren,VVINF,2837,0,0,
Qualifikant,,qualifikieren,VVINF,95,0,0,
Adjutant,,adjutieren,VVINF,420,0,0,
Adoptant,,adoptieren,VVINF,11,598,1,1.0
Appellant,,appellieren,VVINF,14,398,1,1.0
Approximant,,approximieren,VVINF,5,0,0,
Arrestant,,arrestieren,VVINF,27,0,0,
Aspirant,,aspirieren,VVINF,238,0,0,
Assimilant,,assimilieren,VVINF,4,165,1,1.0
Asylant,,asylieren,VVINF,60,0,0,
Attendant,,attendieren,VVINF,22,0,0,
Bummelant,,bummelieren,VVINF,7,0,0,
Chemikant,,chemikieren,VVINF,58,0,0,
Consultant,,consultieren,VVINF,1405,0,0,
Delegant,,delegieren,VVINF,0,425,1,1.0
Demonstrant,,demonstrieren,VVINF,4833,2763,1,1.0
Denunziant,,denunziieren,VVINF,207,0,0,
Deodorant,,deodorieren,VVINF,102,0,0,
Determinant,,determinieren,VVINF,0,26,1,1.0
Dilettant,,dilettieren,VVINF,246,0,0,
Diskutant,,diskutieren,VVINF,443,14699,1,1.0
Disputant,,disputieren,VVINF,14,28,1,1.0
Diversant,,diversieren,VVINF,1,0,0,
Duellant,,duellieren,VVINF,63,141,1,1.0
Emigrant,,emigrieren,VVINF,733,198,1,1.0
Exekutant,,exekutieren,VVINF,1,80,1,1.0
Exfoliant,,exfoliieren,VVINF,1,0,0,
Exilant,,exilieren,VVINF,28,0,0,
Exponant,,exponieren,VVINF,6,48,1,1.0
Exulant,,exulieren,VVINF,30,0,0,
Famulant,,famulieren,VVINF,46,0,0,
Figurant,,figurieren,VVINF,50,15,1,1.0
Flagellant,,flagellieren,VVINF,46,0,0,
Foliant,,foliieren,VVINF,111,0,0,
Geomant,,geomieren,VVINF,26,0,0,
Gratulant,,gratulieren,VVINF,547,1840,1,1.0
Habilitant,,habilitieren,VVINF,2,43,1,1.0
Hierophant,,hierophieren,VVINF,37,0,0,
Hospitant,,hospitieren,VVINF,52,89,1,1.0
Hydrant,,hydrieren,VVINF,322,0,0,
