lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Administrateur,,administrieren,VVINF,4,183,1,1.0
Agitateur,,agitieren,VVINF,4,57,1,1.0
Akkumulateur,,akkumulieren,VVINF,0,63,1,1.0
Amateur,,amieren,VVINF,4683,0,0,
Animateur,,animieren,VVINF,332,1270,1,1.0
Applikateur,,applizieren,VVINF,3,73,1,1.0
Aspirateur,,aspirieren,VVINF,3,0,0,
Deflorateur,,deflorieren,VVINF,0,0,0,
Deklamateur,,deklamieren,VVINF,0,22,1,1.0
Dekontaminateur,,dekontaminieren,VVINF,0,18,1,1.0
Dekorateur,,dekorieren,VVINF,103,396,1,1.0
Dekurateur,,dekurieren,VVINF,0,0,0,
Deportateur,,deportieren,VVINF,0,0,0,
Designateur,,designieren,VVINF,0,5,1,1.0
Destabilisateur,,destabilisieren,VVINF,0,0,0,
Destillateur,,destillieren,VVINF,15,74,1,1.0
Diktateur,,diktieren,VVINF,0,514,1,1.0
Emanzipateur,,emanzipieren,VVINF,0,183,1,1.0
Evaluateur,,evaluieren,VVINF,0,470,1,1.0
Explorateur,,explorieren,VVINF,0,32,1,1.0
Exportateur,,exportieren,VVINF,0,1255,1,1.0
Fixateur,,fixieren,VVINF,42,1230,1,1.0
Formateur,,formieren,VVINF,4,358,1,1.0
Importateur,,importieren,VVINF,1,1755,1,1.0
Improvisateur,,improvisieren,VVINF,6,596,1,1.0
Indoktrinateur,,indoktrinieren,VVINF,0,52,1,1.0
Infiltrateur,,infiltrieren,VVINF,0,158,1,1.0
Informateur,,informieren,VVINF,29,24385,1,1.0
Inhalateur,,inhalieren,VVINF,0,186,1,1.0
Inspirateur,,inspirieren,VVINF,0,2833,1,1.0
Installateur,,installieren,VVINF,1121,13333,1,1.0
Integrateur,,integrieren,VVINF,0,7128,1,1.0
Intonateur,,intonieren,VVINF,10,62,1,1.0
Investigateur,,investigieren,VVINF,0,0,0,
Kalkulateur,,kalkulieren,VVINF,0,841,1,1.0
Kollaborateur,,kollaborieren,VVINF,252,31,1,1.0
Kombinateur,,kombinieren,VVINF,2,4141,1,1.0
Kommunikateur,,kommunizieren,VVINF,5,4530,1,1.0
Kompensateur,,kompensieren,VVINF,0,2540,1,1.0
Konspirateur,,konspirieren,VVINF,3,7,1,1.0
Kontemplateur,,kontemplieren,VVINF,0,0,0,
Konzentrateur,,konzentrieren,VVINF,0,8841,1,1.0
Kooperateur,,kooperieren,VVINF,1,996,1,1.0
Koordinateur,,koordinieren,VVINF,0,1400,1,1.0
Kopulateur,,kopulieren,VVINF,0,29,1,1.0
Kreateur,,kreieren,VVINF,13,1647,1,1.0
Liquidateur,,liquidieren,VVINF,0,197,1,1.0
Manipulateur,,manipulieren,VVINF,17,1757,1,1.0
Migrateur,,migrieren,VVINF,1,0,0,
Moderateur,,moderieren,VVINF,1,661,1,1.0
Motivateur,,motivieren,VVINF,0,3741,1,1.0
Multiplikateur,,multiplizieren,VVINF,0,276,1,1.0
Navigateur,,navigieren,VVINF,1,787,1,1.0
Observateur,,observieren,VVINF,23,58,1,1.0
Operateur,,operieren,VVINF,800,1592,1,1.0
Organisateur,,organisieren,VVINF,0,8070,1,1.0
Partizipateur,,partizipieren,VVINF,0,491,1,1.0
Penetrateur,,penetrieren,VVINF,0,66,1,1.0
Plastinateur,,plastinieren,VVINF,0,0,0,
Proklamateur,,proklamieren,VVINF,0,82,1,1.0
Provokateur,,provozieren,VVINF,350,2270,1,1.0
Publikateur,,publizieren,VVINF,0,1100,1,1.0
Pulverisateur,,pulverisieren,VVINF,0,40,1,1.0
Qualifikateur,,qualifizieren,VVINF,0,2801,1,1.0
Reanimateur,,reanimieren,VVINF,0,140,1,1.0
Reformateur,,reformieren,VVINF,0,558,1,1.0
Regulateur,,regulieren,VVINF,3,1485,1,1.0
Renovateur,,renovieren,VVINF,0,965,1,1.0
Reparateur,,reparieren,VVINF,33,3536,1,1.0
Replikateur,,replizieren,VVINF,0,129,1,1.0
Respirateur,,respirieren,VVINF,0,0,0,
Restaurateur,,restaurieren,VVINF,57,709,1,1.0
Simulateur,,simulieren,VVINF,0,1329,1,1.0
Spekulateur,,spekulieren,VVINF,0,1604,1,1.0
Stukkateur,,stukkieren,VVINF,124,0,0,
Synchronisateur,,synchronisieren,VVINF,0,899,1,1.0
Telekommunikateur,,telekommunizieren,VVINF,0,0,0,
Transformateur,,transformieren,VVINF,0,488,1,1.0
Transmutateur,,transmutieren,VVINF,0,0,0,
Transpirateur,,transpirieren,VVINF,0,10,1,1.0
Usurpateur,,usurpieren,VVINF,0,9,1,1.0
Ventilateur,,ventilieren,VVINF,0,8,1,1.0
Vibrateur,,vibrieren,VVINF,0,253,1,1.0
Visitateur,,visitieren,VVINF,0,0,0,
Zitateur,,zitieren,VVINF,0,2757,1,1.0
Applikateur,,applikieren,VVINF,3,0,0,
Eskalateur,,eskalieren,VVINF,0,497,1,1.0
Kommunikateur,,kommunikieren,VVINF,5,0,0,
Multiplikateur,,multiplikieren,VVINF,0,0,0,
Provokateur,,provokieren,VVINF,350,0,0,
Publikateur,,publikieren,VVINF,0,0,0,
Qualifikateur,,qualifikieren,VVINF,0,0,0,
Replikateur,,replikieren,VVINF,0,0,0,
Stukkateur,,stukzieren,VVINF,124,0,0,
Telekommunikateur,,telekommunikieren,VVINF,0,0,0,
