lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Advokatur,,advozieren,VVINF,30,0,0,
Applikatur,,applizieren,VVINF,5,73,1,1.0
Duplikatur,,duplizieren,VVINF,1,0,0,
Judikatur,,judizieren,VVINF,112,0,0,
Lineatur,,linieren,VVINF,22,0,0,
Advokatur,,advokieren,VVINF,30,0,0,
Applikatur,,applikieren,VVINF,5,0,0,
Duplikatur,,duplikieren,VVINF,1,0,0,
Judikatur,,judikieren,VVINF,112,0,0,
Lineatur,,lineieren,VVINF,22,0,0,
Abbreviatur,,abbreviieren,VVINF,20,0,0,
Administratur,,administrieren,VVINF,11,183,1,1.0
Apparatur,,apparieren,VVINF,680,0,0,
Armatur,,armieren,VVINF,1309,0,0,
Delegatur,,delegieren,VVINF,1,425,1,1.0
Demokratur,,demokrieren,VVINF,55,0,0,
Diktatur,,diktieren,VVINF,4861,514,1,1.0
Famulatur,,famulieren,VVINF,200,0,0,
Frankatur,,frankieren,VVINF,31,60,1,1.0
Hydratur,,hydrieren,VVINF,0,0,0,
Imprimatur,,imprimieren,VVINF,82,0,0,
Iteratur,,iterieren,VVINF,0,0,0,
Kandidatur,,kandidieren,VVINF,1457,755,1,1.0
Karikatur,,karikieren,VVINF,1887,32,1,1.0
Klaviatur,,klaviieren,VVINF,273,0,0,
Koloratur,,kolorieren,VVINF,12,17,1,1.0
Korrelatur,,korrelieren,VVINF,0,100,1,1.0
Kreatur,,kreieren,VVINF,3436,1647,1,1.0
Legislatur,,legislieren,VVINF,237,0,0,
Ligatur,,ligieren,VVINF,173,0,0,
Literatur,,literieren,VVINF,31332,0,0,
Makulatur,,makulieren,VVINF,392,0,0,
Miniatur,,miniieren,VVINF,1534,0,0,
Moderatur,,moderieren,VVINF,5,661,1,1.0
Muskulatur,,muskulieren,VVINF,4534,0,0,
Nachreparatur,,nachreparieren,VVINF,0,0,0,
Notreparatur,,notreparieren,VVINF,50,0,0,
Nuntiatur,,nuntiieren,VVINF,72,0,0,
Prälatur,,prälieren,VVINF,51,0,0,
Prokuratur,,prokurieren,VVINF,1,0,0,
Quadratur,,quadrieren,VVINF,291,0,0,
Registratur,,registrieren,VVINF,194,9818,1,1.0
Renovatur,,renovieren,VVINF,3,965,1,1.0
Reparatur,,reparieren,VVINF,10744,3536,1,1.0
Signatur,,signieren,VVINF,7934,427,1,1.0
Stukkatur,,stukkieren,VVINF,59,0,0,
Tabulatur,,tabulieren,VVINF,105,0,0,
Tastatur,,tastieren,VVINF,9509,0,0,
Temperatur,,temperieren,VVINF,38385,0,0,
Titulatur,,titulieren,VVINF,51,170,1,1.0
Visitatur,,visitieren,VVINF,3,0,0,
Ereparatur,,ereparieren,VVINF,0,0,0,
Euronatur,,euronieren,VVINF,62,0,0,
Kämpfernatur,,kämpfernieren,VVINF,110,0,0,
Natur,,nieren,VVINF,67190,0,0,
Purnatur,,purnieren,VVINF,3,0,0,
Stadtnatur,,stadtnieren,VVINF,41,0,0,
Unnatur,,unnieren,VVINF,9,0,0,
Urnatur,,urnieren,VVINF,15,0,0,
Widernatur,,widernieren,VVINF,5,0,0,
Matur,,mieren,VVINF,65,0,0,
Nomenklatura,,nomenklaieren,VVINF,0,0,0,
Nomenklatur,,nomenklieren,VVINF,455,0,0,
Statur,,stieren,VVINF,902,15,0,
