lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Breite,,breit,ADJ.,11877,64248,1,1.0
Dichte,,dicht,ADJ.,4109,26600,1,1.0
Dicke,,dick,ADJ.,4730,44919,1,1.0
Ebene,,eben,ADJ.,37868,3672,1,1.0
Enge,,eng,ADJ.,2177,62056,1,1.0
Ferne,,fern,ADJ.,7580,25674,1,1.0
Hitze,,heiß,ADJ.,10694,44777,1,1.0
Höhe,,hoch,ADJ.,79034,388652,1,1.0
Reife,,reif,ADJ.,2778,9936,1,1.0
Runde,,rund,ADJ.,48911,15305,1,1.0
Säure,,sauer,ADJ.,5529,9855,1,1.0
Stille,,still,ADJ.,9693,21279,1,1.0
Tiefe,,tief,ADJ.,16654,79650,1,1.0
Treue,,treu,ADJ.,5233,15854,1,1.0
Wehe,,weh,ADJ.,2805,13587,1,1.0
Breite,,Breit,ADJ.,11877,0,0,
Dichte,,Dicht,ADJ.,4109,0,0,
Dicke,,Dick,ADJ.,4730,0,0,
Ebene,,Eben,ADJ.,37868,0,0,
Enge,,Eng,ADJ.,2177,0,0,
Ferne,,Fern,ADJ.,7580,0,0,
Hitze,,Hitz,ADJ.,10694,0,0,
Höhe,,hoh,ADJ.,79034,0,0,
Reife,,Reif,ADJ.,2778,0,0,
Runde,,Rund,ADJ.,45417,0,0,
Säure,,saur,ADJ.,4322,0,0,
Stille,,Still,ADJ.,9693,0,0,
Tiefe,,Tief,ADJ.,16654,0,0,
Treue,,Treu,ADJ.,5233,0,0,
Wehe,,Weh,ADJ.,2805,0,0,
Fäule,,faul,ADJ.,73,9404,1,1.0
Fläche,,flach,ADJ.,55795,16298,1,1.0
Gänze,,ganz,ADJ.,930,295333,1,1.0
Größe,,groß,ADJ.,59343,826721,1,1.0
Güte,,gut,ADJ.,6437,1641101,1,1.0
Härte,,hart,ADJ.,4743,61212,1,1.0
Höhle,,hohl,ADJ.,9474,2994,1,1.0
Kälte,,kalt,ADJ.,8803,46440,1,1.0
Kürze,,kurz,ADJ.,9320,287511,1,1.0
Länge,,lang,ADJ.,28912,329084,1,1.0
Nähe,,nah,ADJ.,56065,314543,1,1.0
Nässe,,nass,ADJ.,1823,11312,1,1.0
Schärfe,,scharf,ADJ.,3661,25484,1,1.0
Schwäche,,schwach,ADJ.,15326,37460,1,1.0
Schwärze,,schwarz,ADJ.,313,77943,1,1.0
Stärke,,stark,ADJ.,27995,235599,1,1.0
Unschärfe,,unscharf,ADJ.,928,2465,1,1.0
Wärme,,warm,ADJ.,16160,48013,1,1.0
Länge,,Läng,ADJ.,26599,0,0,
Abfolge,,Abfolg,ADJ.,1892,0,0,
Abgabe,,Abgeb,ADJ.,9027,0,0,
Abgebildete,,Abgebildet,ADJ.,154,0,0,
abgeordnet,,Abgeordne,ADJ.,0,0,0,
Abgeordnete,,Abgeordnet,ADJ.,12494,0,0,
Abgesandte,,Abgesandt,ADJ.,400,0,0,
Ablöse,,Ablös,ADJ.,1374,0,0,
Ablöse,,ablos,ADJ.,1374,0,0,
Abnahme,,Abnahm,ADJ.,4587,0,0,
Aborigine,,Aborigin,ADJ.,629,0,0,
Abreise,,Abreis,ADJ.,3624,0,0,
Absprache,,Absprech,ADJ.,9297,0,0,
Accessoire,,Accessoir,ADJ.,4456,0,0,
Achse,,Achs,ADJ.,7540,0,0,
Adlige,,Adlig,ADJ.,951,0,0,
Adresse,,Adress,ADJ.,35383,0,0,
Affaire,,Affair,ADJ.,270,0,0,
Affäre,,Affär,ADJ.,3708,0,0,
Affäre,,affar,ADJ.,3708,0,0,
Affe,,Aff,ADJ.,5184,0,0,
Affektierte,,Affektiert,ADJ.,1,0,0,
Afghane,,Afghan,ADJ.,740,0,0,
Ägide,,ägid,ADJ.,299,0,0,
Ägide,,agid,ADJ.,299,0,0,
Ähnliche,,ähnlich,ADJ.,4249,109792,0,
Ähnliche,,ahnlich,ADJ.,4249,69,0,
Airline,,Airlin,ADJ.,4823,0,0,
Akquise,,Akquis,ADJ.,553,0,0,
Akt,,Ak,ADJ.,17128,0,0,
