lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Antielement,,antielieren,VVINF,2,0,0,
Bauelement,,bauelieren,VVINF,1217,0,0,
Deckenelement,,deckenelieren,VVINF,68,0,0,
Dichtelement,,dichtelieren,VVINF,146,0,0,
Einzelelement,,einzelelieren,VVINF,146,0,0,
Holzelement,,holzelieren,VVINF,85,0,0,
Spielelement,,spielelieren,VVINF,228,0,0,
Spurenelement,,spurenelieren,VVINF,1648,0,0,
Stilelement,,stilelieren,VVINF,495,0,0,
Subelement,,subelieren,VVINF,3,0,0,
Unterelement,,unterelieren,VVINF,54,0,0,
Urelement,,urelieren,VVINF,28,0,0,
Management,,managieren,VVINF,32241,0,0,
Metastatement,,metastatieren,VVINF,1,0,0,
Understatement,,understatieren,VVINF,413,0,0,
Abonnement,,abonnieren,VVINF,2349,3160,1,1.0
Agreement,,agreieren,VVINF,593,0,0,
Amüsement,,amüsieren,VVINF,286,655,1,1.0
Appartement,,appartieren,VVINF,3112,0,0,
Appeasement,,appeasieren,VVINF,88,0,0,
Arrangement,,arrangieren,VVINF,3436,1028,1,1.0
Arrondissement,,arrondissieren,VVINF,175,0,0,
Attachement,,attachieren,VVINF,41,0,0,
Avertissement,,avertissieren,VVINF,14,0,0,
Bombardement,,bombardieren,VVINF,543,296,1,1.0
Departement,,departieren,VVINF,1313,0,0,
Deplacement,,deplacieren,VVINF,0,0,0,
Element,,elieren,VVINF,39301,0,0,
Engagement,,engagieren,VVINF,33811,5237,1,1.0
Etablissement,,etablissieren,VVINF,424,0,0,
Exkrement,,exkrieren,VVINF,337,0,0,
Gouvernement,,gouvernieren,VVINF,98,0,0,
Inkrement,,inkrieren,VVINF,80,0,0,
Klassement,,klassieren,VVINF,122,0,0,
Komplement,,komplieren,VVINF,153,0,0,
Logement,,logieren,VVINF,11,46,1,1.0
Raffinement,,raffinieren,VVINF,63,15,1,1.0
Räsonnement,,räsonnieren,VVINF,30,0,0,
Reglement,,reglieren,VVINF,1159,0,0,
Renseignement,,renseignieren,VVINF,3,0,0,
Revirement,,revirieren,VVINF,13,0,0,
Settlement,,settlieren,VVINF,127,0,0,
Statement,,statieren,VVINF,6644,0,0,
Supplement,,supplieren,VVINF,756,0,0,
Zement,,zieren,VVINF,1100,301,0,
