lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Interessend,,interessieren,VVINF,4,17554,1,1.0
Produzend,,produzieren,VVINF,0,7237,1,1.0
Regend,,regieren,VVINF,0,1714,1,1.0
Blockend,,blockieren,VVINF,2,1605,1,1.0
Kurend,,kurieren,VVINF,1,236,1,1.0
Promovend,,promovieren,VVINF,112,213,1,1.0
Summend,,summieren,VVINF,1,117,1,1.0
Postend,,postieren,VVINF,17,114,1,1.0
Dividend,,dividieren,VVINF,31,110,1,1.0
Taktend,,taktieren,VVINF,1,77,1,1.0
Testend,,testieren,VVINF,0,24,1,1.0
passend,,passieren,VVINF,0,24548,0,
Polend,,polieren,VVINF,1,571,0,
spendend,,spendieren,VVINF,0,484,0,
formend,,formieren,VVINF,0,358,0,
betonend,,betonieren,VVINF,0,58,0,
planend,,planieren,VVINF,0,18,0,
legend,,legieren,VVINF,0,5,0,
Abend,,abieren,VVINF,82993,0,0,
Jahrtausend,,jahrtausieren,VVINF,5828,0,0,
ziehend,,ziehieren,VVINF,0,0,0,
studierend,,studierieren,VVINF,0,0,0,
Tausend,,tausieren,VVINF,12617,0,0,
Aufwärtstrend,,aufwärtstrieren,VVINF,1083,0,0,
Jugend,,jugieren,VVINF,32777,0,0,
Trend,,trieren,VVINF,25374,0,0,
Gegend,,gegieren,VVINF,24161,0,0,
Elend,,elieren,VVINF,4580,0,0,
Erziehend,,erziehieren,VVINF,17,0,0,
Voraussagend,,voraussagieren,VVINF,0,0,0,
suchend,,suchieren,VVINF,0,0,0,
Reverend,,reverieren,VVINF,317,0,0,
lebend,,lebieren,VVINF,0,0,0,
Darunterstehend,,darunterstehieren,VVINF,0,0,0,
eingreifend,,eingreifieren,VVINF,0,0,0,
bewohnend,,bewohnieren,VVINF,0,0,0,
Hervorzuhebend,,hervorzuhebieren,VVINF,8,0,0,
Auszubildend,,auszubildieren,VVINF,4,0,0,
Beinend,,beinieren,VVINF,28,0,0,
Weekend,,weekieren,VVINF,873,0,0,
Lende,,leieren,VVINF,320,0,0,
