lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Benz,,bieren,VVINF,0,0,0,
Krenz,,krieren,VVINF,282,0,0,
Lenz,,lieren,VVINF,440,0,0,
Polenz,,polieren,VVINF,36,571,0,
Rekonvaleszenz,,rekonvaleszieren,VVINF,126,0,0,
Absenz,,absieren,VVINF,116,0,0,
Abstinenz,,abstinieren,VVINF,1090,0,0,
Adoleszenz,,adoleszieren,VVINF,197,0,0,
Agenz,,agieren,VVINF,1,3321,1,1.0
Akzidenz,,akzidieren,VVINF,54,0,0,
Ambivalenz,,ambivalieren,VVINF,903,0,0,
Antivalenz,,antivalieren,VVINF,0,0,0,
Äquivalenz,,äquivalieren,VVINF,219,0,0,
Assistenz,,assistieren,VVINF,855,154,1,1.0
Audienz,,audiieren,VVINF,494,0,0,
Dekadenz,,dekadieren,VVINF,620,0,0,
Delinquenz,,delinquieren,VVINF,111,0,0,
Demenz,,demieren,VVINF,3452,0,0,
Dependenz,,dependieren,VVINF,21,0,0,
Deszendenz,,deszendieren,VVINF,17,0,0,
Differenz,,differieren,VVINF,9164,104,1,1.0
Dissidenz,,dissidieren,VVINF,55,0,0,
Divergenz,,divergieren,VVINF,407,0,0,
Effizenz,,effizieren,VVINF,14,0,0,
Effizienz,,effiziieren,VVINF,9896,0,0,
Eloquenz,,eloquieren,VVINF,121,0,0,
Emergenz,,emergieren,VVINF,165,0,0,
Eminenz,,eminieren,VVINF,286,0,0,
Essenz,,essieren,VVINF,1745,0,0,
Evidenz,,evidieren,VVINF,709,0,0,
Existenz,,existieren,VVINF,16046,3721,1,1.0
Exzellenz,,exzellieren,VVINF,770,0,0,
Fluoreszenz,,fluoreszieren,VVINF,229,16,1,1.0
Frequenz,,frequieren,VVINF,9914,0,0,
Immanenz,,immanieren,VVINF,102,0,0,
Impertinenz,,impertinieren,VVINF,27,0,0,
Impotenz,,impotieren,VVINF,482,0,0,
Indifferenz,,indifferieren,VVINF,175,0,0,
Indisponenz,,indisponieren,VVINF,1,0,0,
Indolenz,,indolieren,VVINF,27,0,0,
Ineffizienz,,ineffiziieren,VVINF,265,0,0,
Ingredienz,,ingrediieren,VVINF,118,0,0,
Inkohärenz,,inkohärieren,VVINF,24,0,0,
Inkompetenz,,inkompetieren,VVINF,787,0,0,
Inkongruenz,,inkongruieren,VVINF,55,0,0,
Inkonsequenz,,inkonsequieren,VVINF,194,0,0,
Inkonsistenz,,inkonsistieren,VVINF,220,0,0,
Inkontinenz,,inkontinieren,VVINF,789,0,0,
Insolvenz,,insolvieren,VVINF,5050,0,0,
Insuffizienz,,insuffiziieren,VVINF,452,0,0,
Intelligenz,,intelligieren,VVINF,7862,0,0,
Interdependenz,,interdependieren,VVINF,144,0,0,
Interferenz,,interferieren,VVINF,558,24,1,1.0
Intransparenz,,intransparieren,VVINF,247,0,0,
