lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Abgänger,,abgehen,VVINF,180,801,1,1.0
Abweichler,,abweichen,VVINF,308,1849,1,1.0
Anrufbeantworter,,beantworten,VVINF,1206,18612,1,1.0
Besatzer,,besetzen,VVINF,865,3120,1,1.0
Bildner,,Bild,NN,58,323591,1,1.0
Bürger,,Burg,NN,67704,17923,1,1.0
Durchlauferhitzer,,erhitzen,VVINF,344,1229,1,1.0
Einzelgänger,,einzelgehen,VVINF,1056,0,0,
Feinschmecker,,schmecken,VVINF,889,2992,1,1.0
Frühaufsteher,,aufstehen,VVINF,446,3254,1,1.0
Fußgänger,,gehen,VVINF,3729,135592,1,1.0
Glöckner,,Glocke,NN,355,5155,1,1.0
Grenzgänger,,gehen,VVINF,534,135592,1,1.0
Holzfäller,,fällen,VVINF,488,1757,1,1.0
Kinogänger,,gehen,VVINF,251,135592,1,1.0
Kreuzer,,Kreuz,NN,1085,20333,1,1.0
Läufer,,laufen,VVINF,7595,35067,1,1.0
Linkshänder,,Hand,NN,908,161495,1,1.0
Lügner,,lügen,VVINF,1548,1475,1,1.0
Pförtner,,Pforte,NN,465,3138,1,1.0
Rechtshänder,,Hand,NN,465,161495,1,1.0
Redner,,reden,VVINF,3374,26320,1,1.0
Rentner,,Rente,NN,5828,14345,1,1.0
Ritter,,reiten,VVINF,6752,4737,1,1.0
Sänger,,singen,VVINF,14654,8745,1,1.0
Schläger,,schlagen,VVINF,2905,11725,1,1.0
Schriftsteller,,stellen,VVINF,10759,66303,1,1.0
Schuldner,,schulden,VVINF,5864,528,1,1.0
Söldner,,Sold,NN,2516,499,1,1.0
Spaziergänger,,gehen,VVINF,1210,135592,1,1.0
Spielverderber,,verderben,VVINF,414,1559,1,1.0
Sprachler,,Sprache,NN,8,73735,1,1.0
Ständer,,stehen,VVINF,1416,62866,1,1.0
Sünder,,Sünde,NN,2192,9903,1,1.0
Tuer,,tun,VVINF,313,159727,1,1.0
Vorgänger,,vorgehen,VVINF,11596,4735,1,1.0
Vorredner,,vorreden,VVINF,2142,0,0,
Wächter,,wachen,VVINF,3253,444,1,1.0
Warnblinker,,blinken,VVINF,138,511,1,1.0
Wegbereiter,,bereiten,VVINF,1028,3785,1,1.0
Wiedertäufer,,taufen,VVINF,92,794,1,1.0
Zöllner,,Zoll,NN,1444,12192,1,1.0
1000er,,1000en,VVINF,890,0,0,
1000er,,1000,NN,890,0,0,
1000er,,1000e,NN,890,0,0,
100er,,100en,VVINF,738,0,0,
100er,,100,NN,738,0,0,
100er,,100e,NN,738,0,0,
10er,,10en,VVINF,1798,0,0,
10er,,10,NN,1798,0,0,
10er,,10e,NN,1798,0,0,
110er,,110en,VVINF,142,0,0,
110er,,110,NN,142,0,0,
110er,,110e,NN,142,0,0,
124er,,124en,VVINF,59,0,0,
124er,,124,NN,59,0,0,
124er,,124e,NN,59,0,0,
125er,,125en,VVINF,571,0,0,
125er,,125,NN,571,0,0,
125er,,125e,NN,571,0,0,
126er,,126en,VVINF,15,0,0,
126er,,126,NN,15,0,0,
126er,,126e,NN,15,0,0,
129er,,129en,VVINF,10,0,0,
129er,,129,NN,10,0,0,
129er,,129e,NN,10,0,0,
13er,,13en,VVINF,310,0,0,
13er,,13,NN,310,0,0,
13er,,13e,NN,310,0,0,
1400er,,1400en,VVINF,49,0,0,
1400er,,1400,NN,49,0,0,
1400er,,1400e,NN,49,0,0,
14er,,14en,VVINF,85,0,0,
14er,,14,NN,85,0,0,
14er,,14e,NN,85,0,0,
15er,,15en,VVINF,353,0,0,
15er,,15,NN,353,0,0,
15er,,15e,NN,353,0,0,
17er,,17en,VVINF,124,0,0,
17er,,17,NN,124,0,0,
17er,,17e,NN,124,0,0,
18500er,,18500en,VVINF,0,0,0,
18500er,,18500,NN,0,0,0,
18500er,,18500e,NN,0,0,0,
1880er,,1880en,VVINF,135,0,0,
1880er,,1880,NN,135,0,0,
1880er,,1880e,NN,135,0,0,
1890er,,1890en,VVINF,113,0,0,
1890er,,1890,NN,113,0,0,
1890er,,1890e,NN,113,0,0,
190er,,190en,VVINF,160,0,0,
190er,,190,NN,160,0,0,
190er,,190e,NN,160,0,0,
1920er,,1920en,VVINF,1061,0,0,
1920er,,1920,NN,1061,0,0,
1920er,,1920e,NN,1061,0,0,
1930er,,1930en,VVINF,1006,0,0,
1930er,,1930,NN,1006,0,0,
1930er,,1930e,NN,1006,0,0,
1950er,,1950en,VVINF,655,0,0,
1950er,,1950,NN,655,0,0,
1950er,,1950e,NN,655,0,0,
1960er,,1960en,VVINF,2217,0,0,
1960er,,1960,NN,2217,0,0,
1960er,,1960e,NN,2217,0,0,
1970er,,1970en,VVINF,2511,0,0,
1970er,,1970,NN,2511,0,0,
1970er,,1970e,NN,2511,0,0,
1980er,,1980en,VVINF,2480,0,0,
1980er,,1980,NN,2480,0,0,
1980er,,1980e,NN,2480,0,0,
1984er,,1984en,VVINF,21,0,0,
1984er,,1984,NN,21,0,0,
1984er,,1984e,NN,21,0,0,
1990er,,1990en,VVINF,2573,0,0,
1990er,,1990,NN,2573,0,0,
1990er,,1990e,NN,2573,0,0,
19er,,19en,VVINF,184,0,0,
19er,,19,NN,184,0,0,
19er,,19e,NN,184,0,0,
200er,,200en,VVINF,449,0,0,
200er,,200,NN,449,0,0,
200er,,200e,NN,449,0,0,
20er,,20en,VVINF,2347,0,0,
20er,,20,NN,2347,0,0,
20er,,20e,NN,2347,0,0,
24er,,24en,VVINF,204,0,0,
24er,,24,NN,204,0,0,
24er,,24e,NN,204,0,0,
25er,,25en,VVINF,6995,0,0,
25er,,25,NN,379,0,0,
25er,,25e,NN,379,0,0,
27er,,27en,VVINF,95,0,0,
27er,,27,NN,95,0,0,
27er,,27e,NN,95,0,0,
300er,,300en,VVINF,349,0,0,
300er,,300,NN,349,0,0,
300er,,300e,NN,349,0,0,
320er,,320en,VVINF,47,0,0,
320er,,320,NN,47,0,0,
320er,,320e,NN,47,0,0,
400er,,400en,VVINF,376,0,0,
400er,,400,NN,376,0,0,
400er,,400e,NN,376,0,0,
40er,,40en,VVINF,1429,0,0,
40er,,40,NN,1429,0,0,
40er,,40e,NN,1429,0,0,
45er,,45en,VVINF,267,0,0,
45er,,45,NN,267,0,0,
45er,,45e,NN,267,0,0,
500er,,500en,VVINF,606,0,0,
500er,,500,NN,606,0,0,
500er,,500e,NN,606,0,0,
50er,,50en,VVINF,397,0,0,
50er,,50,NN,397,0,0,
50er,,50e,NN,397,0,0,
51er,,51en,VVINF,37,0,0,
51er,,51,NN,37,0,0,
51er,,51e,NN,37,0,0,
600er,,600en,VVINF,548,0,0,
600er,,600,NN,548,0,0,
600er,,600e,NN,548,0,0,
64er,,64en,VVINF,215,0,0,
64er,,64,NN,215,0,0,
64er,,64e,NN,215,0,0,
68er,,68en,VVINF,836,0,0,
68er,,68,NN,836,0,0,
68er,,68e,NN,836,0,0,
700er,,700en,VVINF,239,0,0,
700er,,700,NN,239,0,0,
