lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Affineur,,affinieren,VVINF,9,0,0,
Akteur,,aktieren,VVINF,13316,0,0,
Ambassadeur,,ambassadieren,VVINF,21,0,0,
Arrangeur,,arrangieren,VVINF,326,1028,1,1.0
Bankrotteur,,bankrottieren,VVINF,40,0,0,
Billeteur,,billetieren,VVINF,3,0,0,
Boykotteur,,boykottieren,VVINF,0,440,1,1.0
Causeur,,causieren,VVINF,1,0,0,
Charmeur,,charmieren,VVINF,165,0,0,
Chauffeur,,chauffieren,VVINF,913,0,0,
Claqeur,,claqieren,VVINF,1,0,0,
Coiffeur,,coiffieren,VVINF,105,0,0,
Couleur,,coulieren,VVINF,683,0,0,
Deserteur,,desertieren,VVINF,357,37,1,1.0
Distributeur,,distributieren,VVINF,25,0,0,
Dompteur,,domptieren,VVINF,117,0,0,
Dresseur,,dressieren,VVINF,10,79,1,1.0
Emailleur,,emaillieren,VVINF,5,0,0,
Exporteur,,exportieren,VVINF,456,1255,1,1.0
Exterieur,,exteriieren,VVINF,269,0,0,
Flaneur,,flanieren,VVINF,185,213,1,1.0
Friseur,,frisieren,VVINF,3182,152,1,1.0
Galvaniseur,,galvanisieren,VVINF,24,0,0,
Gouverneur,,gouvernieren,VVINF,1789,0,0,
Graveur,,gravieren,VVINF,78,101,1,1.0
Hasardeur,,hasardieren,VVINF,61,0,0,
Honneur,,honnieren,VVINF,38,0,0,
Hypnotiseur,,hypnotisieren,VVINF,242,132,1,1.0
Importeur,,importieren,VVINF,1387,1755,1,1.0
Ingenieur,,ingeniieren,VVINF,15466,0,0,
Inspekteur,,inspektieren,VVINF,250,0,0,
Instrukteur,,instruktieren,VVINF,54,0,0,
Interakteur,,interaktieren,VVINF,5,0,0,
Jongleur,,jonglieren,VVINF,336,193,1,1.0
Kolporteur,,kolportieren,VVINF,18,15,1,1.0
Kommandeur,,kommandieren,VVINF,1492,105,1,1.0
Kondukteur,,konduktieren,VVINF,27,0,0,
Konstrukteur,,konstruktieren,VVINF,1317,0,0,
Kontrolleur,,kontrollieren,VVINF,803,8716,1,1.0
Korrekteur,,korrektieren,VVINF,3,0,0,
Magnetiseur,,magnetisieren,VVINF,28,0,0,
Marodeur,,marodieren,VVINF,91,4,1,1.0
Masseur,,massieren,VVINF,532,536,1,1.0
Medailleur,,medaillieren,VVINF,27,0,0,
Mineur,,minieren,VVINF,35,0,0,
Modelleur,,modellieren,VVINF,40,531,1,1.0
Monteur,,montieren,VVINF,971,2565,1,1.0
Nonvaleur,,nonvalieren,VVINF,8,0,0,
Poseur,,posieren,VVINF,4,117,1,1.0
Reakteur,,reaktieren,VVINF,0,0,0,
Rechercheur,,recherchieren,VVINF,35,2735,1,1.0
Redakteur,,redaktieren,VVINF,9246,0,0,
Regisseur,,regissieren,VVINF,14782,0,0,
Rekonstrukteur,,rekonstruktieren,VVINF,3,0,0,
Retuscheur,,retuschieren,VVINF,14,96,1,1.0
Saboteur,,sabotieren,VVINF,235,275,1,1.0
Seigneur,,seignieren,VVINF,118,0,0,
Souffleur,,soufflieren,VVINF,50,6,1,1.0
Transplanteur,,transplantieren,VVINF,14,72,1,1.0
Transporteur,,transportieren,VVINF,246,3977,1,1.0
Valeur,,valieren,VVINF,34,0,0,
Voyageur,,voyagieren,VVINF,17,0,0,
Voyeur,,voyieren,VVINF,247,0,0,
Vulkaniseur,,vulkanisieren,VVINF,8,0,0,
Ziseleur,,ziselieren,VVINF,14,2,1,1.0
Interieur,,interiieren,VVINF,1342,0,0,
Malheur,,malhieren,VVINF,335,0,0,
Monsieur,,monsiieren,VVINF,789,0,0,
Odeur,,odieren,VVINF,18,0,0,
