lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Angewohnheit,,angewöhnt,ADJ.,1115,6,1,1.0
Anstaendigkeit,Anständigkeit,anständig,ADJ.,75,6058,1,1.0
Bosheit,,böse,ADJ.,739,35426,1,1.0
Frömmigkeit,,fromm,ADJ.,1151,3943,1,1.0
Gerechtigkeit,,gerecht,ADJ.,13144,13073,1,1.0
Geschwindigkeit,,geschwind,ADJ.,23361,579,1,1.0
Gewohnheit,,gewohnt,ADJ.,5017,13100,1,1.0
Hoheit,,hoch,ADJ.,1350,388652,1,1.0
Kleinigkeit,,klein,ADJ.,7922,496900,1,1.0
Luftdichtigkeit,,luftdicht,ADJ.,47,819,1,1.0
Müdigkeit,,müde,ADJ.,3294,13570,1,1.0
Neuigkeit,,neu,ADJ.,9898,1048374,1,1.0
Nichtabgeschlossenheit,,abgeschlossen,ADJ.,1,8545,1,1.0
Nichtabstreitbarkeit,,abstreitbar,ADJ.,3,17,1,1.0
Nichterweislichkeit,,erweislich,ADJ.,5,19,1,1.0
Nichtzurechenbarkeit,,zurechenbar,ADJ.,0,184,1,1.0
Reinigkeit,,rein,ADJ.,7,44335,1,1.0
Undichtigkeit,,undicht,ADJ.,538,2137,1,1.0
Vielheit,,viel,ADV,288,246405,1,1.0
Wenigkeit,,wenig,ADV|PI.*,932,41698,1,1.0
Mehrheit,,mehr,ADV|PI.*,24776,1210367,1,1.0
Dreiheit,,drei,CARD,111,257680,1,1.0
Einheit,,eins,CARD,34410,48829,1,1.0
Christenheit,,Christ,NN,1038,19105,1,1.0
Einzelheit,,Einzel,NN,7101,6147,1,1.0
Gottheit,,Gott,NN,2733,165434,1,1.0
Kindheit,,Kind,NN,11711,420602,1,1.0
Menschheit,,Mensch,NN,15363,511805,1,1.0
Staatigkeit,,Staat,NN,0,87001,1,1.0
Torheit,,Tor,NN,404,66420,1,1.0
Urgottheit,,Gott,NN,10,165434,1,1.0
Zwistigkeit,,Zwist,NN,143,387,1,1.0
Angewohnheit,,angewohn,ADJ.,1115,0,0,
Anstaendigkeit,Anständigkeit,anstaendig,ADJ.,75,0,0,
Bosheit,,bose,ADJ.,739,0,0,
Frömmigkeit,,frömm,ADJ.,1151,0,0,
Gerechtigkeit,,gerechtig,ADJ.,13144,0,0,
Geschwindigkeit,,geschwindig,ADJ.,23142,0,0,
Gewohnheit,,gewohn,ADJ.,5017,0,0,
Hoheit,,ho,ADJ.,1142,0,0,
Kleinigkeit,,kleinig,ADJ.,7922,0,0,
Luftdichtigkeit,,luftdichtig,ADJ.,47,0,0,
Müdigkeit,,müdig,ADJ.,3294,0,0,
Neuigkeit,,neuig,ADJ.,9898,0,0,
Nichtabgeschlossenheit,,nichtabgeschlossen,ADJ.,1,3,1,
