lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Agentie,,agentisch,ADJ.,19,3,1,1.0
Agentie,,agent,ADJ.,19,29,1,
Agonie,,agon,ADJ.,205,0,0,
Agonie,,agonisch,ADJ.,205,0,0,
Akademie,,akademisch,ADJ.,12179,8935,1,1.0
Akademie,,akadem,ADJ.,12179,0,0,
Akazie,,akaz,ADJ.,358,0,0,
Akazie,,akazisch,ADJ.,358,0,0,
Akribie,,akribisch,ADJ.,285,1429,1,1.0
Akribie,,akrib,ADJ.,285,0,0,
Aktie,,akt,ADJ.,13814,0,0,
Aktie,,aktisch,ADJ.,13814,0,0,
Alchemie,,alchemisch,ADJ.,756,0,0,
Alchemie,,alchem,ADJ.,635,0,0,
Alchimie,,alchim,ADJ.,121,0,0,
Alien,,ali,ADJ.,3798,0,0,
Alien,,aliisch,ADJ.,3798,0,0,
Allegorie,,allegorisch,ADJ.,516,396,1,1.0
Allegorie,,allegor,ADJ.,516,0,0,
Allergie,,allergisch,ADJ.,8637,4076,1,1.0
Allergie,,allerg,ADJ.,8637,0,0,
Allergologie,,allergologisch,ADJ.,230,107,1,1.0
Allergologie,,allergolog,ADJ.,230,0,0,
Allopathie,,allopathisch,ADJ.,24,45,1,1.0
Allopathie,,allopath,ADJ.,24,0,0,
Amnesie,,amnesisch,ADJ.,364,0,0,
Amnesie,,amnes,ADJ.,364,0,0,
Amnestie,,amnest,ADJ.,416,0,0,
Amnestie,,amnestisch,ADJ.,416,0,0,
Amphibie,,amphibisch,ADJ.,15,117,1,1.0
Amphibie,,amphib,ADJ.,15,0,0,
Analogie,,analog,ADJ.,1754,14613,1,1.0
Analogie,,analogisch,ADJ.,1754,26,1,
Anämie,,anämisch,ADJ.,595,53,1,1.0
Anämie,,anäm,ADJ.,595,0,0,
Anarchie,,anarchisch,ADJ.,1233,330,1,1.0
Anarchie,,anarch,ADJ.,1233,0,0,
Anästhesie,,anästhes,ADJ.,836,0,0,
Anästhesie,,anästhesisch,ADJ.,836,0,0,
Anatomie,,anatomisch,ADJ.,2016,1793,1,1.0
Anatomie,,anatom,ADJ.,2016,0,0,
Angiographie,,angiographisch,ADJ.,115,30,1,1.0
Angiographie,,angiograph,ADJ.,115,0,0,
Anglie,,anglisch,ADJ.,0,2,1,1.0
Anglie,,angl,ADJ.,0,0,0,
Anomalie,,anomal,ADJ.,830,93,1,1.0
Anomalie,,anomalisch,ADJ.,830,0,0,
Anorexie,,anorexisch,ADJ.,244,0,0,
Anorexie,,anorex,ADJ.,244,0,0,
Anthologie,,anthologisch,ADJ.,1618,1,1,1.0
Anthologie,,antholog,ADJ.,1618,0,0,
Anthropologie,,anthropologisch,ADJ.,1502,1011,1,1.0
Anthropologie,,anthropolog,ADJ.,1502,0,0,
Anthroposophie,,anthroposophisch,ADJ.,627,1011,1,1.0
Anthroposophie,,anthroposoph,ADJ.,627,0,0,
Antimagie,,antimagisch,ADJ.,25,6,1,1.0
Antimagie,,antimag,ADJ.,25,0,0,
Antimaterie,,antimater,ADJ.,414,0,0,
Antimaterie,,antimaterisch,ADJ.,414,0,0,
Antipathie,,antipathisch,ADJ.,560,11,1,1.0
Antipathie,,antipath,ADJ.,560,0,0,
Antisemitie,,antisemitisch,ADJ.,0,2654,1,1.0
Antisemitie,,antisemit,ADJ.,0,0,0,
Antisympathie,,antisympath,ADJ.,7,0,0,
Apathie,,apathisch,ADJ.,342,441,1,1.0
Apathie,,apath,ADJ.,342,0,0,
Aphasie,,aphas,ADJ.,152,0,0,
Aphasie,,aphasisch,ADJ.,152,0,0,
Apologie,,apolog,ADJ.,172,0,0,
Apologie,,apologisch,ADJ.,172,0,0,
Aporie,,apor,ADJ.,136,0,0,
Aporie,,aporisch,ADJ.,136,0,0,
Apostasie,,apostas,ADJ.,57,0,0,
Apostasie,,apostasisch,ADJ.,57,0,0,
Archäologie,,archäologisch,ADJ.,2563,4514,1,1.0
Archäologie,,archäolog,ADJ.,2563,0,0,
Arie,,arisch,ADJ.,1222,476,1,1.0
Arie,,ar,ADJ.,1222,0,0,
Aristokratie,,aristokratisch,ADJ.,302,372,1,1.0
Aristokratie,,aristokrat,ADJ.,302,0,0,
Arterie,,arter,ADJ.,822,0,0,
Arterie,,arterisch,ADJ.,822,0,0,
Arthroskopie,,arthroskop,ADJ.,192,0,0,
Arthroskopie,,arthroskopisch,ADJ.,192,0,0,
Artillerie,,artiller,ADJ.,1152,0,0,
Artillerie,,artillerisch,ADJ.,1152,0,0,
Astrologie,,astrologisch,ADJ.,2449,1329,1,1.0
Astrologie,,astrolog,ADJ.,2449,0,0,
Astronomie,,astronomisch,ADJ.,2144,2423,1,1.0
Astronomie,,astronom,ADJ.,2144,0,0,
Asymmetrie,,asymmetrisch,ADJ.,431,1253,1,1.0
Asymmetrie,,asymmetr,ADJ.,431,0,0,
Ätiologie,,ätiologisch,ADJ.,244,0,0,
Ätiologie,,ätiolog,ADJ.,244,0,0,
Atrophie,,atrophisch,ADJ.,138,0,0,
Atrophie,,atroph,ADJ.,138,0,0,
Audiologie,,audiologisch,ADJ.,30,23,1,1.0
Audiologie,,audiolog,ADJ.,30,0,0,
Audiometrie,,audiometrisch,ADJ.,29,27,1,1.0
Audiometrie,,audiometr,ADJ.,29,0,0,
Auslinie,,auslin,ADJ.,29,0,0,
Auslinie,,auslinisch,ADJ.,29,0,0,
Auswärtspartie,,auswärtspart,ADJ.,156,0,0,
Auswärtspartie,,auswärtspartisch,ADJ.,156,0,0,
Autarkie,,autark,ADJ.,141,821,1,1.0
Autarkie,,autarkisch,ADJ.,141,0,0,
Autobiografie,,autobiografisch,ADJ.,602,564,1,1.0
Autobiografie,,autobiograf,ADJ.,602,0,0,
Autobiographie,,autobiographisch,ADJ.,932,844,1,1.0
Autobiographie,,autobiograph,ADJ.,932,0,0,
Autokratie,,autokratisch,ADJ.,72,215,1,1.0
Autokratie,,autokrat,ADJ.,72,0,0,
Autonomie,,autonom,ADJ.,3092,4830,1,1.0
