lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Antiallergik,,antiallergisch,ADJ.,27,100,1,1.0
Mechanik,,mechanisch,ADJ.,2870,10703,1,1.0
Didaktik,,didaktisch,ADJ.,1775,3655,1,1.0
Praktik,,praktisch,ADJ.,3270,67261,1,1.0
Taktik,,taktisch,ADJ.,6327,7399,1,1.0
Heraldik,,heraldisch,ADJ.,256,306,1,1.0
Atlantik,,atlantisch,ADJ.,3428,1795,1,1.0
Semantik,,semantisch,ADJ.,892,2036,1,1.0
Romantik,,romantisch,ADJ.,3361,11062,1,1.0
Graphik,,graphisch,ADJ.,1832,4240,1,1.0
Klassik,,klassisch,ADJ.,3785,48320,1,1.0
Stochastik,,stochastisch,ADJ.,249,280,1,1.0
Scholastik,,scholastisch,ADJ.,140,143,1,1.0
Plastik,,plastisch,ADJ.,5143,3484,1,1.0
Gymnastik,,gymnastisch,ADJ.,1737,168,1,1.0
Spastik,,spastisch,ADJ.,215,205,1,1.0
Phantastik,,phantastisch,ADJ.,351,4617,1,1.0
Isopathik,,isopathisch,ADJ.,2,21,1,1.0
Hydraulik,,hydraulisch,ADJ.,729,2181,1,1.0
Nautik,,nautisch,ADJ.,52,397,1,1.0
Akrobatik,,akrobatisch,ADJ.,668,587,1,1.0
Diabolik,,diabolisch,ADJ.,27,374,1,1.0
Symbolik,,symbolisch,ADJ.,1562,6364,1,1.0
Robotik,,robotisch,ADJ.,422,35,1,1.0
Autotechnik,,autotechnisch,ADJ.,68,7,1,1.0
Technik,,technisch,ADJ.,67425,90576,1,1.0
Hektik,,hektisch,ADJ.,2780,4512,1,1.0
Dialektik,,dialektisch,ADJ.,1344,986,1,1.0
Forensik,,forensisch,ADJ.,159,659,1,1.0
Ornamentik,,ornamentisch,ADJ.,182,0,0,
Epik,,episch,ADJ.,131,2316,1,1.0
Skeptik,,skeptisch,ADJ.,9,7469,1,1.0
Thermik,,thermisch,ADJ.,2567,4091,1,1.0
Gestik,,gestisch,ADJ.,1362,185,1,1.0
Domestik,,domestisch,ADJ.,20,4,1,1.0
Ethik,,ethisch,ADJ.,7003,7800,1,1.0
