lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Allergikum,,allergisch,ADJ.,1,4076,1,1.0
Anabolikum,,anabolisch,ADJ.,434,0,0,
Analgetikum,,analgetisch,ADJ.,196,0,0,
Anästhetikum,,anästhetisch,ADJ.,42,0,0,
Anthropologikum,,anthropologisch,ADJ.,0,1011,1,1.0
Antiallergikum,,antiallergisch,ADJ.,17,100,1,1.0
Antibiotikum,,antibiotisch,ADJ.,5129,416,1,1.0
Antidiabetikum,,antidiabetisch,ADJ.,42,22,1,1.0
Antiepileptikum,,antiepileptisch,ADJ.,193,27,1,1.0
Antihistaminikum,,antihistaminisch,ADJ.,203,2,1,1.0
Antiparasitikum,,antiparasitisch,ADJ.,7,1,1,1.0
Antirheumatikum,,antirheumatisch,ADJ.,178,26,1,1.0
Antiseptikum,,antiseptisch,ADJ.,40,209,1,1.0
Antistatikum,,antistatisch,ADJ.,5,185,1,1.0
Archaikum,,archaisch,ADJ.,7,1385,1,1.0
Athletikum,,athletisch,ADJ.,0,784,1,1.0
Authentikum,,authentisch,ADJ.,0,8490,1,1.0
Biologikum,,biologisch,ADJ.,6,15009,1,1.0
Biotikum,,biotisch,ADJ.,0,138,1,1.0
Botanikum,,botanisch,ADJ.,2,3329,1,1.0
Charakteristikum,,charakteristisch,ADJ.,1257,6066,1,1.0
Chemikum,,chemisch,ADJ.,2,14177,1,1.0
Dermatologikum,,dermatologisch,ADJ.,5,321,1,1.0
Diabetikum,,diabetisch,ADJ.,1,557,1,1.0
Diabetologikum,,diabetologisch,ADJ.,0,72,1,1.0
Diagnostikum,,diagnostisch,ADJ.,90,2606,1,1.0
Dielektrikum,,dielektrisch,ADJ.,86,103,1,1.0
Diuretikum,,diuretisch,ADJ.,239,0,0,
Dynamikum,,dynamisch,ADJ.,20,14754,1,1.0
Elektrikum,,elektrisch,ADJ.,0,20508,1,1.0
Emetikum,,emetisch,ADJ.,0,0,0,
Endokrinologikum,,endokrinologisch,ADJ.,8,59,1,1.0
Energetikum,,energetisch,ADJ.,2,6251,1,1.0
Ethikum,,ethisch,ADJ.,1,7747,1,1.0
Ethnikum,,ethnisch,ADJ.,1,4271,1,1.0
Exotikum,,exotisch,ADJ.,9,6123,1,1.0
Galenikum,,galenisch,ADJ.,2,0,0,
Generikum,,generisch,ADJ.,640,747,1,1.0
Graphikum,,graphisch,ADJ.,5,4240,1,1.0
Gummiarabikum,,gummiarabisch,ADJ.,2,0,0,
Holikum,,holisch,ADJ.,0,3,1,1.0
Humoristikum,,humoristisch,ADJ.,0,738,1,1.0
Hypnotikum,,hypnotisch,ADJ.,24,576,1,1.0
Informatikum,,informatisch,ADJ.,9,176,1,1.0
Intergenerikum,,intergenerisch,ADJ.,2,0,0,
Klinikum,,klinisch,ADJ.,4317,10256,1,1.0
Koanalgetikum,,koanalgetisch,ADJ.,1,0,0,
Kosmetikum,,kosmetisch,ADJ.,19,1852,1,1.0
Kryptologikum,,kryptologisch,ADJ.,0,24,1,1.0
Mathematikum,,mathematisch,ADJ.,52,7792,1,1.0
Metaphysikum,,metaphysisch,ADJ.,1,1089,1,1.0
Narkotikum,,narkotisch,ADJ.,85,39,1,1.0
Neolithikum,,neolithisch,ADJ.,189,207,1,1.0
Neuroleptikum,,neuroleptisch,ADJ.,427,0,0,
Onkologikum,,onkologisch,ADJ.,0,608,1,1.0
Panoptikum,,panoptisch,ADJ.,223,15,1,1.0
Periodikum,,periodisch,ADJ.,58,1778,1,1.0
Pharmazeutikum,,pharmazeutisch,ADJ.,117,1974,1,1.0
Physikum,,physisch,ADJ.,186,10458,1,1.0
Politikum,,politisch,ADJ.,328,115251,1,1.0
Polytechnikum,,polytechnisch,ADJ.,99,280,1,1.0
Praktikum,,praktisch,ADJ.,12534,67261,1,1.0
Probiotikum,,probiotisch,ADJ.,29,217,1,1.0
Psychedelikum,,psychedelisch,ADJ.,0,637,1,1.0
Publikum,,publisch,ADJ.,39617,0,0,
Spezifikum,,spezifisch,ADJ.,321,17121,1,1.0
Symptomatikum,,symptomatisch,ADJ.,0,1114,1,1.0
Technikum,,technisch,ADJ.,255,86663,1,1.0
Theologikum,,theologisch,ADJ.,2,6653,1,1.0
Therapeutikum,,therapeutisch,ADJ.,133,7825,1,1.0
Tonikum,,tonisch,ADJ.,35,53,1,1.0
Virostatikum,,virostatisch,ADJ.,6,5,1,1.0
Vorphysikum,,vorphysisch,ADJ.,16,0,0,
Zytostatikum,,zytostatisch,ADJ.,28,25,1,1.0
Basilikum,,basilisch,ADJ.,1025,0,0,
Polikum,,polisch,ADJ.,1,16,0,
Unikum,,unisch,ADJ.,214,0,0,
