lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Antitheist,,Theismus,NN,1,119,1,1.0
Akademist,,Akademie,NN,3,12179,1,1.0
Aktivist,,Aktivismus,NN,3301,267,1,1.0
Alchemist,,Alchemie,NN,697,635,1,1.0
Altruist,,Altruismus,NN,34,260,1,1.0
Amerikanist,,Amerikanismus,NN,18,60,1,1.0
Anabaptist,,Anabaptismus,NN,4,0,0,
Anästhesist,,Anästhesie,NN,509,836,1,1.0
Anglist,,Anglismus,NN,55,0,0,
Antagonist,,Antagonismus,NN,437,240,1,1.0
Aorist,,Aorismus,NN,29,0,0,
Artillerist,,Artillerie,NN,82,1152,1,1.0
Atheist,,Atheismus,NN,2680,1065,1,1.0
Autist,,Autismus,NN,351,896,1,1.0
Avantgardist,,Avantgarde,NN,106,1432,1,1.0
Ballist,,Ballismus,NN,14,0,0,
Baptist,,Baptismus,NN,810,9,1,1.0
Batist,,Batismus,NN,20,0,0,
Bellizist,,Bellizismus,NN,23,8,1,1.0
Bigamist,,Bigamie,NN,26,32,1,1.0
Biist,,Biismus,NN,1,0,0,
Biologist,,Biologie,NN,3,5229,1,1.0
Bolschewist,,Bolschewismus,NN,99,315,1,1.0
Bratschist,,Bratsche,NN,58,360,1,1.0
Brigadist,,Brigade,NN,31,1237,1,1.0
Buddhist,,Buddhismus,NN,961,3151,1,1.0
Calvinist,,Calvinismus,NN,102,132,1,1.0
Cellist,,Cello,NN,307,1028,1,1.0
Chartist,,Chartismus,NN,48,26,1,1.0
Chauvinist,,Chauvinismus,NN,56,224,1,1.0
Chemist,,Chemie,NN,17,11699,1,1.0
Dadaist,,Dadaismus,NN,85,138,1,1.0
Darwinist,,Darwinismus,NN,47,207,1,1.0
Defaitist,,Defaitismus,NN,2,8,1,1.0
Determinist,,Determinismus,NN,30,418,1,1.0
Drogist,,Droge,NN,99,12035,1,1.0
Eklektizist,,Eklektizismus,NN,0,63,1,1.0
Elektrologist,,Elektrologismus,NN,1,0,0,
Empirist,,Empirie,NN,25,430,1,1.0
Experimentalist,,Experiment,NN,9,14797,1,1.0
Faschist,,Faschismus,NN,2436,3349,1,1.0
Faunist,,Faunismus,NN,1,0,0,
Fauvist,,Fauvismus,NN,5,17,1,1.0
Feminist,,Feminismus,NN,202,1255,1,1.0
Filialist,,Filiale,NN,125,6711,1,1.0
Flötist,,Flöte,NN,169,2627,1,1.0
Folklorist,,Folklore,NN,3,1029,1,1.0
Galerist,,Galerie,NN,382,13842,1,1.0
Gambist,,Gambismus,NN,13,0,0,
Gardist,,Garde,NN,459,3343,1,1.0
Generalist,,Generalismus,NN,221,2,1,1.0
Girondist,,Girondismus,NN,23,0,0,
Grossist,,Grossismus,NN,88,0,0,
Harmonist,,Harmonie,NN,14,6372,1,1.0
Havarist,,Havarismus,NN,50,0,0,
Hedonist,,Hedonismus,NN,69,152,1,1.0
Immoralist,,Immoralismus,NN,13,4,1,1.0
Infanterist,,Infanterie,NN,274,1481,1,1.0
Infantrist,,Infanterie,NN,16,1481,1,1.0
Instrumentalist,,Instrument,NN,650,28782,1,1.0
Ionalist,,Ionalismus,NN,0,0,0,
Jansenist,,Jansenismus,NN,12,0,0,
Judaist,,Judaismus,NN,21,71,1,1.0
Jurist,,Jura,NN,6126,706,1,1.0
Kabbalist,,Kabbalismus,NN,106,0,0,
Kalvinist,,Kalvinismus,NN,18,27,1,1.0
Karrierist,,Karriere,NN,141,18728,1,1.0
Kavallerist,,Kavallerie,NN,71,809,1,1.0
Kemalist,,Kemalismus,NN,44,32,1,1.0
Klarinettist,,Klarinette,NN,180,1104,1,1.0
Klassist,,Klasse,NN,1,77425,1,1.0
Klimatist,,Klima,NN,13,16322,1,1.0
Kolonialist,,Kolonialismus,NN,106,607,1,1.0
Kolonist,,Kolonie,NN,693,4348,1,1.0
Kolumnist,,Kolumne,NN,506,2910,1,1.0
Kommanditist,,Kommanditismus,NN,274,0,0,
Kommunist,,Kommune,NN,4401,18907,1,1.0
Konfessionalist,,Konfession,NN,1,2244,1,1.0
Kopist,,Kopismus,NN,100,0,0,
Kulturalist,,Kultur,NN,3,61321,1,1.0
Laizist,,Laizismus,NN,44,154,1,1.0
Leninist,,Leninismus,NN,14,126,1,1.0
Librettist,,Libretto,NN,121,426,1,1.0
Ligist,,Liga,NN,2312,23309,1,1.0
Linguist,,Linguismus,NN,369,0,0,
