lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Ambiguität,,ambig,ADJ.,71,17,1,1.0
Amoralität,,amoralisch,ADJ.,18,115,1,1.0
Diskontinuität,,diskontinuierlich,ADJ.,203,167,1,1.0
Familiarität,,familiär,ADJ.,8,7302,1,1.0
Generosität,,generös,ADJ.,16,196,1,1.0
Identität,,identisch,ADJ.,14517,12402,1,1.0
Irregularität,,irregulär,ADJ.,17,439,1,1.0
Kontinuität,,kontinuierlich,ADJ.,3398,16505,1,1.0
Monstrosität,,monströs,ADJ.,82,865,1,1.0
Moralität,,moralisch,ADJ.,230,12912,1,1.0
Musikalität,,musikalisch,ADJ.,457,32725,1,1.0
Nervosität,,nervös,ADJ.,1957,6800,1,1.0
Religiosität,,religiös,ADJ.,1035,24547,1,1.0
Reziprozität,,reziprok,ADJ.,116,298,1,1.0
Seriosität,,seriös,ADJ.,788,10525,1,1.0
Solidarität,,solidarisch,ADJ.,8229,3615,1,1.0
Spezifität,,spezifisch,ADJ.,290,17120,1,1.0
Spontaneität,,spontan,ADJ.,652,17831,1,1.0
Subsidiarität,,subsidiär,ADJ.,378,294,1,1.0
Vulgarität,,vulgär,ADJ.,25,723,1,1.0
Abnormität,,abnorm,ADJ.,87,442,1,1.0
Absurdität,,absurd,ADJ.,783,6309,1,1.0
Admiralität,,admiral,ADJ.,134,0,0,
Admiralität,,admirell,ADJ.,134,0,0,
Affektivität,,affektiv,ADJ.,69,546,1,1.0
Affinität,,affin,ADJ.,1076,186,1,1.0
Aggressivität,,aggressiv,ADJ.,1504,11626,1,1.0
Agilität,,agil,ADJ.,388,2290,1,1.0
Aktivität,,aktiv,ADJ.,35542,82437,1,1.0
Aktualität,,aktuell,ADJ.,5757,198957,1,1.0
Aktualität,,aktual,ADJ.,5757,64,1,
Ambiguität,,ambigu,ADJ.,71,0,0,
Amoralität,,amoral,ADJ.,18,0,0,
Amoralität,,amorell,ADJ.,18,0,0,
Animosität,,animos,ADJ.,199,6,1,1.0
Annuität,,annu,ADJ.,84,0,0,
Anonymität,,anonym,ADJ.,2176,10912,1,1.0
Antiquität,,antiqu,ADJ.,848,0,0,
Attraktivität,,attraktiv,ADJ.,3802,29674,1,1.0
Authentizität,,authentisch,ADJ.,2045,8490,1,1.0
Authentizität,,authentiz,ADJ.,2045,0,0,
Automobilität,,automobil,ADJ.,30,1034,1,1.0
Automobilität,,automobel,ADJ.,30,0,0,
Autorität,,autor,ADJ.,4747,0,0,
Banalität,,banal,ADJ.,555,3128,1,1.0
Banalität,,banell,ADJ.,555,0,0,
Bestialität,,bestial,ADJ.,70,0,0,
Bestialität,,bestiell,ADJ.,70,0,0,
Bildqualität,,bildqual,ADJ.,3901,0,0,
Bildqualität,,bildquell,ADJ.,3901,0,0,
Bonität,,bon,ADJ.,1506,0,0,
Brutalität,,brutal,ADJ.,1515,10167,1,1.0
Brutalität,,brutell,ADJ.,1515,0,0,
Diskontinuität,,diskontinu,ADJ.,203,0,0,
Diversität,,divers,ADJ.,2,40230,1,1.0
Effektivität,,effektiv,ADJ.,2301,25471,1,1.0
Egalität,,egal,ADJ.,34,91827,1,1.0
Egalität,,egell,ADJ.,34,0,0,
Elastizität,,elastisch,ADJ.,943,2934,1,1.0
Elastizität,,elastiz,ADJ.,943,0,0,
Elektrizität,,elektrisch,ADJ.,1609,20508,1,1.0
Elektrizität,,elektriz,ADJ.,1609,0,0,
Entität,,ent,ADJ.,617,0,0,
Eventualität,,eventuell,ADJ.,522,49105,1,1.0
Eventualität,,eventual,ADJ.,522,11,1,
Exklusivität,,exklusiv,ADJ.,827,16743,1,1.0
Expressivität,,expressiv,ADJ.,161,726,1,1.0
Extremität,,extrem,ADJ.,905,54876,1,1.0
Exzentrizität,,exzentrisch,ADJ.,64,943,1,1.0
Exzentrizität,,exzentriz,ADJ.,64,0,0,
Familiarität,,familiar,ADJ.,8,0,0,
Fatalität,,fatal,ADJ.,32,5158,1,1.0
Fatalität,,fatell,ADJ.,32,0,0,
Fernuniversität,,fernunivers,ADJ.,580,0,0,
Fertilität,,fertil,ADJ.,139,74,1,1.0
Festivität,,festiv,ADJ.,298,0,0,
Flexibilität,,flexibel,ADJ.,7817,20178,1,1.0
Flexibilität,,flexibil,ADJ.,7817,0,0,
Formalität,,formal,ADJ.,1160,8322,1,1.0
Formalität,,formell,ADJ.,1160,3101,1,
Fragilität,,fragil,ADJ.,108,1064,1,1.0
Frivolität,,frivol,ADJ.,72,373,1,1.0
Funktionalität,,funktional,ADJ.,7941,5449,1,1.0
Funktionalität,,funktionell,ADJ.,7848,3769,1,
