lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Position,,posieren,VVINF,51175,117,1,1.0
Akquisition,,akquisieren,VVINF,901,0,0,
Apposition,,apponieren,VVINF,26,0,0,
Deposition,,deponieren,VVINF,89,316,1,1.0
Disposition,,disponieren,VVINF,2342,108,1,1.0
Exposition,,exponieren,VVINF,1337,48,1,1.0
Indisposition,,indisponieren,VVINF,16,0,0,
Inquisition,,inquisieren,VVINF,1103,0,0,
Juxtaposition,,juxtaponieren,VVINF,9,0,0,
Komposition,,komponieren,VVINF,7072,608,1,1.0
Opposition,,opponieren,VVINF,7984,44,1,1.0
Präposition,,präponieren,VVINF,554,0,0,
Proposition,,proponieren,VVINF,192,0,0,
Transposition,,transponieren,VVINF,85,64,1,1.0
Abolition,,abolieren,VVINF,16,0,0,
Addition,,addieren,VVINF,876,450,1,1.0
Ambition,,ambieren,VVINF,2221,0,0,
Apparition,,apparieren,VVINF,11,0,0,
Audition,,audieren,VVINF,126,0,0,
Definition,,definieren,VVINF,15257,5980,1,1.0
Demolition,,demolieren,VVINF,75,89,1,1.0
Edition,,edieren,VVINF,13640,42,1,1.0
Exhibition,,exhibieren,VVINF,291,0,0,
Expedition,,expedieren,VVINF,3286,7,1,1.0
Inhibition,,inhibieren,VVINF,93,0,0,
Intuition,,intuieren,VVINF,2507,0,0,
Investition,,investieren,VVINF,18931,9088,1,1.0
Koalition,,koalieren,VVINF,10129,147,1,1.0
Kognition,,kognieren,VVINF,481,0,0,
Kondition,,kondieren,VVINF,9821,0,0,
Munition,,munieren,VVINF,3536,0,0,
Nutrition,,nutrieren,VVINF,414,0,0,
Partition,,partieren,VVINF,3573,0,0,
Petition,,petieren,VVINF,3926,0,0,
Prohibition,,prohibieren,VVINF,223,0,0,
Redefinition,,redefinieren,VVINF,15,0,0,
Repetition,,repetieren,VVINF,97,28,1,1.0
Spedition,,spedieren,VVINF,1890,0,0,
Tradition,,tradieren,VVINF,29740,23,1,1.0
Nachdisposition,,nachdisposieren,VVINF,1,0,0,
Bildkomposition,,bildkomposieren,VVINF,267,0,0,
Gegenposition,,gegenponieren,VVINF,259,0,0,
Metaposition,,metaponieren,VVINF,6,0,0,
Schlüsselposition,,schlüsselponieren,VVINF,400,0,0,
Sitzposition,,sitzponieren,VVINF,1127,0,0,
Startposition,,startponieren,VVINF,360,0,0,
Superposition,,superponieren,VVINF,63,0,0,
Unterposition,,unterponieren,VVINF,20,0,0,
Akquisition,,akquinieren,VVINF,901,0,0,
Apposition,,apposieren,VVINF,26,0,0,
Dekomposition,,dekomposieren,VVINF,26,0,0,
Deposition,,deposieren,VVINF,89,0,0,
Disposition,,disposieren,VVINF,2204,0,0,
Exposition,,exposieren,VVINF,1337,0,0,
Indisposition,,indisposieren,VVINF,16,0,0,
Inquisition,,inquinieren,VVINF,1103,0,0,
Juxtaposition,,juxtaposieren,VVINF,9,0,0,
Komposition,,komposieren,VVINF,6779,0,0,
Kontraposition,,kontraponieren,VVINF,10,0,0,
Opposition,,opposieren,VVINF,7984,0,0,
Position,,ponieren,VVINF,48856,0,0,
Prädisposition,,prädisposieren,VVINF,137,0,0,
Präposition,,präposieren,VVINF,554,0,0,
Proposition,,proposieren,VVINF,192,0,0,
Reposition,,reponieren,VVINF,74,0,0,
Transposition,,transposieren,VVINF,85,0,0,
