lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Garnitur,,garnieren,VVINF,1179,163,1,1.0
Politur,,polieren,VVINF,840,571,1,1.0
Positur,,posieren,VVINF,60,117,1,1.0
Investitur,,investieren,VVINF,40,9088,1,1.0
Expositur,,exposieren,VVINF,37,0,0,
Abitur,,abieren,VVINF,7319,0,0,
Zentralabitur,,zentralabieren,VVINF,229,0,0,
Auditur,,audieren,VVINF,0,0,0,
Fachabitur,,fachabieren,VVINF,269,0,0,
Fioritur,,fiorieren,VVINF,2,0,0,
Puddingabitur,,puddingabieren,VVINF,1,0,0,
Vorabitur,,vorabieren,VVINF,1,0,0,
Lachpartitur,,lachpartieren,VVINF,0,0,0,
Partitur,,partieren,VVINF,1208,0,0,
Studienpartitur,,studienpartieren,VVINF,7,0,0,
