lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Begängnis,,begangen,ADJ.,6,1373,1,1.0
Bündnis,,Bund,NN,12573,32705,1,1.0
Erlebnis,,erleben,VVINF,28693,24689,1,1.0
Adonis,,ado,ADJ.,312,0,0,
Adonis,,adoen,VVINF,312,0,0,
Agrarbündnis,,agrarbünden,VVINF,20,0,0,
Anerkenntnis,,anerkennen,VVINF,243,2276,1,1.0
Anerkenntnis,,anerkenn,ADJ.,243,0,0,
Arbeitsverhältnis,,arbeitsverhalt,ADJ.,7836,0,0,
Ärgernis,,ärgern,VVINF,1500,3315,1,1.0
Ärgernis,,ärger,ADJ.,1500,0,0,
Ärgernis,,ärgeren,VVINF,1500,0,0,
Armanis,,arma,ADJ.,7,0,0,
Armanis,,armaen,VVINF,7,0,0,
Bedrängnis,,bedrängen,VVINF,1513,250,1,1.0
Bedrängnis,,bedräng,ADJ.,1513,0,0,
Bedrängnis,,bedrängnen,VVINF,1513,0,0,
Beduerfnis,,beduerf,ADJ.,0,0,0,
Bedürfnis,,bedürfen,VVINF,31794,485,1,1.0
Bedürfnis,,bedürf,ADJ.,31794,0,0,
Befugnis,,befugen,VVINF,2884,0,0,
Befugnis,,befug,ADJ.,2639,0,0,
Befugnis,,befugnen,VVINF,2639,0,0,
Begängnis,,begang,ADJ.,6,0,0,
Begängnis,,begangen,VVINF,6,0,0,
Begängnis,,begangnen,VVINF,6,0,0,
Begräbnis,,begraben,VVINF,809,548,1,1.0
Begräbnis,,begrab,ADJ.,809,0,0,
Behältnis,,behalten,VVINF,775,17614,1,1.0
Behältnis,,behalt,ADJ.,775,0,0,
Bekenntnis,,bekennen,VVINF,4653,1702,1,1.0
Bekenntnis,,bekenn,ADJ.,4653,0,0,
Beschwernis,,beschweren,VVINF,63,3111,1,1.0
Beschwernis,,beschwer,ADJ.,63,0,0,
Beschwernis,,beschwern,VVINF,63,0,0,
Besorgnis,,besorgen,VVINF,1627,7302,1,1.0
Besorgnis,,besorg,ADJ.,1627,0,0,
Besorgnis,,besorgnen,VVINF,1627,0,0,
Betrübnis,,betrüben,VVINF,86,67,1,1.0
Betrübnis,,betrüb,ADJ.,86,0,0,
Bewandtnis,,bewandt,ADJ.,127,26,1,1.0
Bewandtnis,,bewandten,VVINF,127,0,0,
Bildnis,,bilden,VVINF,1448,9791,1,1.0
Bildnis,,bild,ADJ.,1448,0,0,
Binnenverhältnis,,binnenverhalt,ADJ.,13,0,0,
Bitternis,,bitter,ADJ.,69,10840,1,1.0
Bitternis,,bittern,VVINF,69,0,0,
Bitternis,,bitteren,VVINF,69,0,0,
Bündnis,,bünden,VVINF,12314,0,0,
Bündnis,,bünd,ADJ.,12314,0,0,
Eigentumsverhältnis,,eigentumsverhalt,ADJ.,394,0,0,
Eingeständnis,,eingestehen,VVINF,640,1584,1,1.0
Eingeständnis,,eingesteh,ADJ.,640,0,0,
Einverständnis,,einversteh,ADJ.,3095,0,0,
Empfängnis,,empfangen,VVINF,570,3369,1,1.0
Empfängnis,,empfang,ADJ.,570,0,0,
Empfängnis,,empfangnen,VVINF,570,0,0,
Entscheidungsbefugnis,,entscheidungsbefug,ADJ.,245,0,0,
Entscheidungsbefugnis,,entscheidungsbefugnen,VVINF,245,0,0,
Ereignis,,ereignen,VVINF,35634,278,1,1.0
Ereignis,,ereig,ADJ.,35497,0,0,
Ereignis,,ereigen,VVINF,35497,0,0,
Erfordernis,,erfordern,VVINF,3851,1069,1,1.0
Erfordernis,,erforder,ADJ.,3851,0,0,
Erfordernis,,erforderen,VVINF,3851,0,0,
Ergebnis,,ergeb,ADJ.,72201,0,0,
Ergebnis,,ergeben,VVINF,83129,1424,1,1.0
Erkenntnis,,erkennen,VVINF,36320,58270,1,1.0
Erkenntnis,,erkenn,ADJ.,36320,0,0,
Erlaubnis,,erlauben,VVINF,7293,4993,1,1.0
Erlaubnis,,erlaub,ADJ.,7293,0,0,
Erlebnis,,erleb,ADJ.,26709,0,0,
Erschwernis,,erschweren,VVINF,330,1208,1,1.0
Erschwernis,,erschwer,ADJ.,330,0,0,
Erschwernis,,erschwern,VVINF,330,0,0,
Ersparnis,,ersparen,VVINF,3243,2942,1,1.0
Ersparnis,,erspar,ADJ.,2586,0,0,
Erzeugnis,,erzeugen,VVINF,3192,8944,1,1.0
Erzeugnis,,erzeug,ADJ.,3192,0,0,
Erzeugnis,,erzeugnen,VVINF,3192,0,0,
Fäulnis,,faul,ADJ.,341,9404,1,1.0
Fäulnis,,faulen,VVINF,341,121,1,
Finis,,fi,ADJ.,58,0,0,
Finis,,fien,VVINF,58,0,0,
Finsternis,,finster,ADJ.,3257,3906,1,1.0
Finsternis,,finstern,VVINF,3257,0,0,
Finsternis,,finsteren,VVINF,3257,0,0,
Firnis,,fir,ADJ.,122,0,0,
Firnis,,firen,VVINF,122,0,0,
Forschungsergebnis,,forschungsergeb,ADJ.,3395,0,0,
Gedächtnis,,gedenken,VVINF,8752,910,1,1.0
Gedächtnis,,gedenk,ADJ.,8752,0,0,
Gedächtnis,,gedenken,ADJ.,8752,0,0,
Gefängnis,,gefangen,ADJ.,10326,1516,1,1.0
Gefängnis,,gefang,ADJ.,10326,0,0,
Gefängnis,,gefangen,VVINF,10326,0,0,
Gefängnis,,gefangnen,VVINF,10326,0,0,
Geheimnis,,geheim,ADJ.,18397,12441,1,1.0
Geheimnis,,geheimen,ADJ.,18397,0,0,
Geheimnis,,geheimen,VVINF,18397,0,0,
Gelöbnis,,gelöb,ADJ.,282,0,0,
Gelöbnis,,gelöben,ADJ.,282,0,0,
Gelöbnis,,gelöben,VVINF,282,0,0,
Geschehnis,,geschehen,ADJ.,3690,560,1,1.0
Geschehnis,,gescheh,ADJ.,3690,0,0,
Geschehnis,,geschehen,VVINF,3690,9556,1,
Geständnis,,gestehen,VVINF,1547,2852,1,1.0
Geständnis,,gesteh,ADJ.,1547,0,0,
Geständnis,,gestehen,ADJ.,1547,0,0,
Gleichnis,,gleich,ADJ.,1762,315777,1,1.0
Gleichnis,,gleichen,VVINF,1762,406,1,
Gleichnis,,gleichnen,VVINF,1762,0,0,
Grundverständnis,,grundversteh,ADJ.,359,0,0,
Gruppenerlebnis,,gruppenerleb,ADJ.,61,0,0,
Hemmnis,,hemmen,VVINF,711,484,1,1.0
Hemmnis,,hemm,ADJ.,711,0,0,
Hindernis,,hindern,VVINF,8670,1930,1,1.0
Hindernis,,hinder,ADJ.,8670,0,0,
Hindernis,,hinderen,VVINF,8670,0,0,
Hörerlebnis,,hörerleb,ADJ.,283,0,0,
Inhaltsverzeichnis,,inhaltsverzeich,ADJ.,2756,0,0,
Inhaltsverzeichnis,,inhaltsverzeichen,VVINF,2756,0,0,
Islamverständnis,,islamversteh,ADJ.,6,0,0,
Kenntnis,,kennen,VVINF,37840,39629,1,1.0
Kenntnis,,kenn,ADJ.,32825,0,0,
Kümmernis,,kümmern,VVINF,61,13132,1,1.0
Kümmernis,,kümmer,ADJ.,61,0,0,
Kümmernis,,kümmeren,VVINF,61,0,0,
Leinölfirnis,,leinölfir,ADJ.,31,0,0,
Leinölfirnis,,leinölfiren,VVINF,31,0,0,
Lichtverhältnis,,lichtverhalt,ADJ.,1243,0,0,
Linksbündnis,,linksbünden,VVINF,98,0,0,
Lohnverhältnis,,lohnverhalt,ADJ.,32,0,0,
Medienereignis,,medienereig,ADJ.,127,0,0,
Medienereignis,,medienereigen,VVINF,127,0,0,
Militärbündnis,,militarbünden,VVINF,141,0,0,
Missverhältnis,,missverhalt,ADJ.,704,0,0,
Missverständnis,,missverstehen,VVINF,6276,244,1,1.0
Missverständnis,,missversteh,ADJ.,6276,0,0,
Musikerlebnis,,musikerleb,ADJ.,110,0,0,
Naturerlebnis,,naturerleb,ADJ.,874,0,0,
Nebenergebnis,,nebenergeb,ADJ.,8,0,0,
Ornis,,or,ADJ.,25,0,0,
Ornis,,oren,VVINF,25,0,0,
Sachkenntnis,,sachkenn,ADJ.,866,0,0,
Säumnis,,saumen,VVINF,62,0,0,
Säumnis,,saum,ADJ.,62,0,0,
Schlüsselerlebnis,,schlüsselerleb,ADJ.,255,0,0,
Spielerlebnis,,spielerleb,ADJ.,401,0,0,
Spielverständnis,,spielversteh,ADJ.,177,0,0,
Suchergebnis,,suchergeb,ADJ.,3210,0,0,
Testergebnis,,testergeb,ADJ.,1691,0,0,
Tischtennis,,tischten,ADJ.,2311,0,0,
Tischtennis,,tischtenen,VVINF,2311,0,0,
Tyrannis,,tyran,ADJ.,84,0,0,
Tyrannis,,tyranen,VVINF,84,0,0,
Unkenntnis,,unkenn,ADJ.,1585,0,0,
Unterverzeichnis,,unterverzeich,ADJ.,776,0,0,
Unterverzeichnis,,unterverzeichen,VVINF,776,0,0,
Unverständnis,,unversteh,ADJ.,2055,0,0,
Urereignis,,urereig,ADJ.,10,0,0,
Urereignis,,urereigen,VVINF,10,0,0,
Verdammnis,,verdammen,VVINF,512,650,1,1.0
Verdammnis,,verdamm,ADJ.,512,0,0,
Verderbnis,,verderben,VVINF,164,1559,1,1.0
Verderbnis,,verderb,ADJ.,164,0,0,
Verhältnis,,verhalten,VVINF,59481,2620,1,1.0
Verhältnis,,verhalt,ADJ.,49259,0,0,
Verhängnis,,verhängen,VVINF,1337,606,1,1.0
Verhängnis,,verhäng,ADJ.,1337,0,0,
Verhängnis,,verhängnen,VVINF,1337,0,0,
Vermächtnis,,vermacht,ADJ.,1433,16,1,1.0
Vermächtnis,,vermachten,VVINF,1433,0,0,
Versäumnis,,versäumen,VVINF,1300,729,1,1.0
Versäumnis,,versäum,ADJ.,1300,0,0,
Verständnis,,verstehen,VVINF,37558,54670,1,1.0
Verständnis,,versteh,ADJ.,31866,0,0,
Verzeichnis,,verzeichnen,VVINF,16827,5607,1,1.0
Verzeichnis,,verzeich,ADJ.,13295,0,0,
Verzeichnis,,verzeichen,VVINF,13295,0,0,
Vorkenntnis,,vorkenn,ADJ.,2564,0,0,
Vorkommnis,,vorkommen,VVINF,1923,7565,1,1.0
Vorkommnis,,vorkomm,ADJ.,1923,0,0,
Wagnis,,wagen,VVINF,926,5353,1,1.0
Wagnis,,wag,ADJ.,926,0,0,
Wagnis,,wagnen,VVINF,926,0,0,
