sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-e,Blindschleiche,Schleiche,schleichen,VVINF,http://www.thomas-goelzer.de/chassezac/Tiere/reptilien-am-Chassezac.htm,c9bf869b3b370266aaad87cab4addb027808,125
-e,Heuschrecken,Schrecke,schrecken,VVINF,http://archiv2.randzone-online.de/rand/rand070900.htm,71d973be0c4de0ffabb88cc71a96b2fccd7b,80
-e,Sternwarte,Warte,warten,VVINF,http://www.astronomie-rw.de/inhalt/termine.html,f07d52d22b47ec5251fdf16a9c2006b84dd8,16
-e,Interwetten,Wette,wetten,VVINF,http://www.alle-bonusprogramme.de/page/54,82a10c0c3a44c3c4859a7b4506c412c2fcde,141
-e,Abnahme,Abnahme,abnehmen,VVINF,"http://www.motorvision.de/artikel/einer-fuer-stallones-fuhrpark-bat-lp-640-von-jb-car-design,4999.html",11173f289c3d66aac95b7c6639ffd4ab1b96,16
-e,Abnahme,Abnahme,abnehmen,VVINF,http://www.hamm-chemie.de/j12/j12lh/Methodiuk%20der%20Versuchsanalyse.htm,00f2b11a4fa4b1c0c99ed17095661a2d3f73,12
-e,Abnahme,Abnahme,abnehmen,VVINF,http://www.diplomarbeiten24.de/vorschau/85100.html,da3e936899883eaa5fb870900c8dc90847d3,13
-e,TÜV-Abnahme,Abnahme,abnehmen,VVINF,http://www.vtr1000.de/forum/archive/index.php/t-462.html,4439f2f891f74116263eb40c56475299862b,50
-e,Blutabnahme,Abnahme,abnehmen,VVINF,http://mein-erfahrungsbericht.de/brustvergroesserung/html/die_zeit_bis_zur_brustvergross.html,aeb0e1ecd5140de530acd12c6ed4581de472,3
-e,Blutabnahme,Abnahme,abnehmen,VVINF,http://www.palverlag.de/Burnout.html,8bab530a27f3ef4faf7bf632f5586960bd7f,170
-e,Abnahme,Abnahme,abnehmen,VVINF,http://www.deutsche-apotheker-zeitung.de/politik/news/2011/08/20/graue-hauptverantwortung-tragen-betapharm-und-aok/offset/10.html,29da8cb9e9636b267493fada70a20855b37f,83
-e,Abnahme,Abnahme,abnehmen,VVINF,http://www.gesetze.ch/sr/741.013/741.013_006.htm,2cd8e7deb0474f7309863e2d5877cf8dca88,12
-e,Einzelabnahme,Abnahme,abnehmen,VVINF,http://www.vahrenwalder.de/reparaturen-tuning/t%C3%BCv-dekra-co/8133-lexmaulf%C3%A4cher-bastuck-gr-a-zusammen-nicht-eintragbar,f88cf2fdd0897a953cdd9f2551463c1642ac,20
-e,Annahme,Annahme,annehmen,VVINF,http://hurtigforum.de/wbb/14/2940-hauptkatalog-2012-online,a09c92945e0fdbb06de2bf1e281e9a7c218a,31
-e,Annahme,Annahme,annehmen,VVINF,http://kanzlei-mkr.de/27.html,b21b5383c0b44eb8cd8ebe89b60dd740f26d,515
-e,Annahme,Annahme,annehmen,VVINF,http://openjur.de/u/156260.html,162916eb708c0bf9abdfe188296c04ee74a9,186
-e,Grundannahmen,Annahme,annehmen,VVINF,http://www.vgt.ch/news2007/070707-sterbehilfe.htm,999dc061b3e7daaee755ffd4b1ca25f27351,192
-e,Annahme,Annahme,annehmen,VVINF,http://www.admin.ch/opc/de/classified-compilation/20032500/index.html,149ae5bb10da85187d4efaddb47d2611ee99,40
-e,Annahme,Annahme,annehmen,VVINF,http://www.stangl-taller.at/ARBEITSBLAETTER/MORALISCHEENTWICKLUNG/Kohlbergmodell.shtml,484deee0efcdd5806055582b9f9d54315738,75
-e,Annahme,Annahme,annehmen,VVINF,http://www.textlog.de/25174.html,c6c8f668d5ef2798dea76e989bfa055ba5f3,7
-e,Annahme,Annahme,annehmen,VVINF,http://openjur.de/u/156260.html,162916eb708c0bf9abdfe188296c04ee74a9,149
-e,Annahme,Annahme,annehmen,VVINF,http://bvi-verwalter.de/hp52502/BVI-Newsletter-April-2011.htm,fae98037008de30d76a69f9cecc84e2d9ceb,238
-e,Annahme,Annahme,annehmen,VVINF,http://www.kanzlei-m-kuehn.de/merkur.html,1ce4ebdd782f3d1bbdc755cc49544e4b69d8,1185
-e,Annahmen,Annahme,annehmen,VVINF,http://www.telelino.de/nachrichten/nachrichten/wirtschaft/energie-und-rohstoffe/D/dcber-300-euro-stromkosten-sparen-mit-effizi.php,9b45b3feeafdaf6d574e9ff631d13492f26d,21
-e,Grundannahme,Annahme,annehmen,VVINF,http://www.stangl-taller.at/ARBEITSBLAETTER/EMOTION/Aggression1.shtml,b133323351e7aa5caaf0b52418f0b90159b4,3
-e,Annahme,Annahme,annehmen,VVINF,http://kanzlei-mkr.de/27.html,b21b5383c0b44eb8cd8ebe89b60dd740f26d,307
-e,Annahme,Annahme,annehmen,VVINF,http://www.lovetalk.de/grundsatzdiskussionen/95605-sind-viren-lebewesen-oder-nicht-print.html,4fd38a7a86634b5cd636174057304b4689c7,40
-e,Annahme,Annahme,annehmen,VVINF,http://www.stangl-taller.at/ARBEITSBLAETTER/EMOTION/Aggression1.shtml,b133323351e7aa5caaf0b52418f0b90159b4,104
-e,Annahme,Annahme,annehmen,VVINF,http://www.admin.ch/opc/de/classified-compilation/20032500/index.html,149ae5bb10da85187d4efaddb47d2611ee99,49
-e,Annahme,Annahme,annehmen,VVINF,http://www.socialnet.de/rezensionen/6436.php,48b92d737df459a5a8df80fa87c60bc9a47d,26
-e,Annahme,Annahme,annehmen,VVINF,http://www.hausarbeiten.de/faecher/vorschau/96340.html,4dad6e986988ee0d62ce999d3e6304a05fdd,55
-e,Annahme,Annahme,annehmen,VVINF,http://portal.hsb.hs-wismar.de/pub/lbmv/mjb/jb096/343813637.html,211b47af5c854480b238b675bd054c9ec3f3,165
-e,Annahmen,Annahme,annehmen,VVINF,http://www.stangl-taller.at/ARBEITSBLAETTER/EMOTION/Aggression1.shtml,b133323351e7aa5caaf0b52418f0b90159b4,13
-e,Annahme,Annahme,annehmen,VVINF,http://www.issgesund.at/ernaehrungs-news/milchgeschmack-durch-verarbeitung-beeintraechtigt-036.html,bbbd6bc9c58e19a344745afa02f595695eff,14
-e,Annahme,Annahme,annehmen,VVINF,http://www.text-manufaktur.de/silke-peters.html,148e9742b160aab3937464cb69ad80ecd230,115
-e,Annahme,Annahme,annehmen,VVINF,http://www.hamm-chemie.de/j12/j12ue/ueb_I_Anwdg_Nernst.htm,bacaa3562f0bb4a31a6ac1131c4f8d391e3c,34
