sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.telefon-treff.de/archiv/topic/14755-4.html,69ec57cbf688529116602a7c5ffe7a9ecd6d,233
-ement,Abonnements,Abonnement,abonnieren,VVINF,http://www.staatsoper-berlin.de/de_DE/abonnements-2014-2015,51add77b9181738cb26b248b78432cb9c21a,28
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.pc-forum.de/software/software-spiele/16664-steam-account,5d7234ff53797dacad54f68fa931f0f6cce1,89
-ement,Abonnements,Abonnement,abonnieren,VVINF,http://www.golem.de/specials/barnes-and-noble,f9c3901db373d6cdc29907e8d242d5b0ace5,31
-ement,Premieren-Abonnements,Abonnement,abonnieren,VVINF,http://www.theater-kr-mg.de/vorschau/karten/karteninfo/agb.htm,8578c90f9d313c3566e0a83d2df2b5ed6d01,77
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.peinemarketing.de/kulturring/abo/reihen.php,de2c60b0c35020426c5fbc232e3e079b9f1b,1
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.staatstheater-hannover.de/schauspiel/index.php?m=218%26f=07_seiten%26ID_Seite=83,763da5ef2ed88f8c5119313ff8c34b187c36,15
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.kulturgemeinschaft-oberallgaeu.de/karten-und-abonnements/theater,486bfd15e0419ce56ca62740d0932cd97d65,18
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.hls-dhs-dss.ch/textes/d/D24845.php,6c8961328cd78c2f370cc7c2a9ea20ce45d2,10
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.andreas-unterberger.at/Fragen-und-Antworten,36911add271b140437aa30da7c5bc23b42c8,106
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.abenteuermedien.de/nautilus/naut_seiten/n79_cover.html,7000b99aa4dbebb3600bf9a249756b408343,25
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.system22.de/agb.html,cce516a0084c46a7aa3f3c20075ce4bf6964,43
-ement,Kombi-Abonnement,Abonnement,abonnieren,VVINF,http://www.localnet.ch/home.html,c8109a9efca40a82f392c1d8feb049340211,16
-ement,Abonnement,Abonnement,abonnieren,VVINF,http://www.kreis-neuwied.de/aktuelles/archiv/pressemitteilungen_2009/4_quartal/attraktive_fahrkartenangebote/index.html,7c653d221b2184df9f7d829a078c31cbb7ea,13
-ement,Jahresabonnement,Abonnement,abonnieren,VVINF,http://erzieherinonline.de/medien/literatur/fachzeitschriften.php,8ea9b327f6df47f14da92122dead0d648b2d,25
-ement,Abonnements,Abonnement,abonnieren,VVINF,http://www.swissfriends.ch/de/allgemeine-nutzungsbedingungen,5694b0fb184f720865d777d021eeb86f7442,34
