sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-er,Linksabbieger,Abbieger,abbiegen,VVINF,http://openjur.de/u/30999.html,69d7d2effe100b0980753f699a13348b8c7d,3
-er,Abenteurer,Abenteurer,Abenteuer,NN,http://www.h1701.de/weekend.htm,cbe72cc14b2eca8b56f62cb490195d6d7ad9,437
-er,Abenteurer,Abenteurer,Abenteuer,NN,http://www.guzyman.de/book-tor.htm,0e4ea4c010704d85bdcab1946abb4838c74b,27
-er,Abenteurer,Abenteurer,Abenteuer,NN,http://www.leibnizgesamtschule.de/projekte///index.php,6d5a6039d6b3436bac2f9e54a7c708d22e33,186
-er,Abenteurer,Abenteurer,Abenteuer,NN,http://www.goruma.de/Staedte/index_list.html?fromto=A-E,13a3c32a89f95240f7ce7b042ab94640ca16,258
-er,Abenteurer,Abenteurer,Abenteuer,NN,http://www.gottwissen.de/goetter/nibiru.htm,69570f6c8a543d4b59c7f509fe5f59aae954,44
-er,Abgänger,Abgänger,abgehen,VVINF,http://www.hausarbeiten.de/faecher/vorschau/106780.html,89e2431e63efc8649270d7a9b8b351681f4d,16
-er,Schulabgänger,Abgänger,abgehen,VVINF,http://www.landtag.nrw.de/portal/WWW/GB_II/II.1/Jugend/Schulbesuche/2013/Delbrueck.jsp,6ca917abaff9c52b2c5171311c017dd39541,52
-er,Schulabgänger,Abgänger,abgehen,VVINF,http://www.yourpr.de/2010/08/12/pflegedienst-online-baut-leistungsangebot-fuer-pflegedienste-und-pflegebeduerftige-zum-online-magazin-aus-62143416.html,9def028deaa03b9f38f0574905b82acd1e34,32
-er,Schulabgänger,Abgänger,abgehen,VVINF,http://www.studsem-nhw.bildung-rp.de/ghs/aufsschna.htm,82b34e62e5b6f07091dbd753f0263d7bca0f,14
-er,Schulabgänger,Abgänger,abgehen,VVINF,"http://www.uebergangschuleberuf.de/3224,Das+%C3%9Cbergangssystem.html",c209d385552511c63d34dc008b5574f47b92,6
-er,Selbstabholer,Abholer,abholen,VVINF,http://www.manusabis-kinderpartys.de/Preise.html,d61cc6acb5aa01e5eb8895d7ecbef4e1781a,4
-er,Selbstabholer,Abholer,abholen,VVINF,http://www.drummerforum.de/forum/61834-mein-e-drum-diy-projekt-checkliste-vor-dem-start-tipps-und-anregungen-erw%C3%BCnscht.html,4d7342700a535591154d8a21e79d3bf5c7bb,30
-er,Ableger,Ableger,ablegen,VVINF,http://www.diskusportal.de/bluete-oder-ableger-t27094.html,a59cf151bb3bd7308994ff81a0023901f001,11
-er,Ableger,Ableger,ablegen,VVINF,http://www.kugler-reisen.de/Wein-_und_Gourmetreisen/Chile_Weinreisen/body_chile_weinreisen.html,7be86c19d61f752c9edd5ada7ab630270c70,17
-er,Ableger,Ableger,ablegen,VVINF,http://www.diskusportal.de/bluete-oder-ableger-t27094.html,a59cf151bb3bd7308994ff81a0023901f001,7
-er,TV-Ableger,Ableger,ablegen,VVINF,http://www.textintern.de/index.php?pageNum_Alles=2%26totalRows_Alles=6096,ec2128ad6e49c2e8a6ff758217784dc1eee4,29
-er,Ablegern,Ableger,ablegen,VVINF,http://medialdigital.de/2009/06/30/dann-boykottiert-doch-google,5fdf288470a34c73f0aab0488d3b28427eeb,156
-er,Ablehner,Ablehner,ablehnen,VVINF,http://psverlag.de/artikel/wo_kinder_kriegen.html,5ad5c24e29989c53d565a31c72a3ffe34197,23
-er,Blitzstromableiter,Ableiter,ableiten,VVINF,http://www.etz.de/200-0-Blitz-+und+Ueberspannungsschutz-Konzept+fuer+PV-Anlagen.html,4a877ed908fd084a7f498cbf089a34ce1a4e,30
-er,Tonabnehmer,Abnehmer,abnehmen,VVINF,http://www.rockprojekt.de/Projekte/heimstudio.htm,d1390b086cf0b98749a5f1db33ea7ce5d866,89
-er,Abnehmer,Abnehmer,abnehmen,VVINF,http://www.ckatec.de/verkaufsbedingungen.html,42571a63065a8a1ece62727e69a7e3e993f0,34
