sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ikum,Anti-Allergikum,Allergikum,allergisch,ADJ.,http://www.apotheken-umschau.de/print/article/12796,d7e6cef8e4e26575a5321fadfb260541d986,941
-ikum,Anthropologikum,Anthropologikum,anthropologisch,ADJ.,http://homepage.ruhr-uni-bochum.de/rudolf.behrens/Equipe/Joern%20Steigerwald/Schriftenverzeichnis.html,579cf3df481a928fa07f69b266b570915e40,199
-ikum,Antiallergikum,Antiallergikum,antiallergisch,ADJ.,http://www.leukaemie-hilfe.de/foren.html?%26tx_mmforum_pi1%5Baction%5D=list_post%26tx_mmforum_pi1%5Btid%5D=136,4983fd7b74b3fe7118e8ae7135788e740f72,104
-ikum,Antiallergikums,Antiallergikum,antiallergisch,ADJ.,http://www.migrosmagazin.ch/leben/gesundheit/artikel/wundheilung-jeder-sein-eigener-doktor,3b907511e93102d52e261211f9e93f16fe82,62
-ikum,Antiallergikums,Antiallergikum,antiallergisch,ADJ.,http://www.dvmb-forum.de/archive/index.php/t-6735.html,07052a60c5ba88abe112446dc5bab904787b,52
-ikum,Antiallergikum,Antiallergikum,antiallergisch,ADJ.,http://www.outdoor-teamtraining.de/Joze-Kink.879.0.html,63c42da24e2d04d6311a5a27aa57ce2956a7,405
-ikum,Antiallergikum,Antiallergikum,antiallergisch,ADJ.,http://www.insektenschutz-infos.de/Ausland-Insektenschutz-Impfung.html,c585bfe63ad902ef80f624cecb1deb95533f,6
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.habichtswaldklinik.de/Onkologie/Chemotherapie_Hochdosis_und_Transplantation.html,dc7cb39c1da7d6b10715f418cc85ca13108f,7
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.vergleich-versandapotheke.de/umckaloabo,70bd4738d1c423bdf92787cae77184e80454,6
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.chemgapedia.de/vsengine/glossary/de/bacitracin.glos.html,6dad4b0b2cf69106fcda52270a2382f7933c,8
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.nexave.de/forum/10694-palm-medizin-thread-zum-austausch_9.html,0172dc3bcb762f938e053fd10086796c95cc,42
-ikum,antibiotika,Antibiotikum,antibiotisch,ADJ.,http://forum.deine-tierwelt.de/archive/index.php/t-2486.html,24f3f75b4d51dcd9691de7980b082ad2c9da,103
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.akneforum.de/archive/index.php/t-2949.html,cefce9da8381b75714d8fcecde7daa9bb7e3,164
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.arznei-telegramm.de/html/2003_01/0301013_02.html,74e4dc139e7aabfcc4a6e04a62ce5038cb21,10
-ikum,antibiotikum,Antibiotikum,antibiotisch,ADJ.,http://www.hallo-pferd.de/pferde-forum/foto-box-f16/unser-zweiter-wachhund--t797.html,2c4f34714765da239132f7ac9a2ccb188c4a,62
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.dashaustierforum.de/katzen-gesundheit/pilz-auf-der-pfote-t38496.html,fe04a9f15d94424f16410031ade528ff0fff,38
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.max-wissen.de/Aktuell/archiv.html,b3985482b8eb61064ec47a13ea877defa0b5,52
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.albanien.ch/nla/Art136.html,11df3f7644f150ef579b6925d2a87538ca4e,14
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.apotheken-umschau.de/Geschlechtskrankheiten/Ausfluss-bei-der-Frau--Ursachen-Scheidenentzuendungen--52500_2.html,c21a56eb24360c7b73f9247d02c593069b27,66
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.bleib-gesund-service.de/-nase-ohren/mandelentzuendung-tonsillitis,0d078ee66196fa747c7852dadc03456bfee3,29
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.croehnchen-klub.de/wbb2/archive/126752/thread.html,de24142c72e01a8de83ca12767953fadf1eb,19
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.meine-lebensfreude.de/60701/104401.html,bdd934aa21c1ea91d3b81dc5709fda6957cf,59
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.100-gesundheitstipps.de/7-umstrittene-therapien-mehr-schaden-als-nutzen.html,2ae4e1b4d89fe187f7e9a3ea3d9ceed55a80,82
-ikum,Antibiotika,Antibiotikum,antibiotisch,ADJ.,http://www.juppidu.de/juppidu/love/spirale.html,301e17b41282d9c01ea33b940534cffdf71e,34
