sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-iment,Regiment,Regiment,regieren,VVINF,http://www.preussenweb.de/regiment3.htm,29bc232a3c437870413332a771e6122a14b2,184
-iment,Infanterie-Regiments,Regiment,regieren,VVINF,http://www.lexikon-der-wehrmacht.de/Gliederungen/Grenadieregimenter/GRReithinger-R.htm,a1751984816e5b276d342548aa33bd03a464,1
-iment,Regiment,Regiment,regieren,VVINF,http://www.tabletopwelt.de/forum/archive/index.php/t-33007.html,620f2e56720559bb31bcbcc5081694257b98,39
-iment,Regiment,Regiment,regieren,VVINF,http://www.seniorentreff.de/diskussion/threads6/thread3163.php,0b483cdf2aec9702aa12f2a45da246bc99fa,182
-iment,Regiment,Regiment,regieren,VVINF,http://www.mechforce.de/forum/viewtopic.php?f=1%26t=2137%26sid=bd65a9cd953b19104404ea19d6dfe4b4,261bca6efb905c0c91b0b49e3a7cec864452,21
-iment,Regiment,Regiment,regieren,VVINF,http://ftp.gwdg.de/pub/misc/Gutenberg-DE/gutenberg.spiegel.de/fontane/5schloes/5sch313.htm,1ca54ac5f9ce91d9babe3009864bcdf91e39,24
-iment,Flak-Regiments,Regiment,regieren,VVINF,http://www.deutsche-kriegsmarine.de/Personenregister/C/ChaulinGv-R.htm,3a287807ebb536b1f93eedabc09c38d99971,8
-iment,Regimenter,Regiment,regieren,VVINF,http://www.tabletopwelt.de/forum/archive/index.php/t-11503.html,7ba36b9635bd54a6296c5e7e128a792164d2,60
-iment,Kavallerie-Regiments,Regiment,regieren,VVINF,http://www.alemannia-judaica.de/bergheim_synagogue.htm,5f0603cf537f18e7c2c4a72b2202d45bd91a,22
-iment,Regiment,Regiment,regieren,VVINF,http://forumarchiv.balsi.de/einheiten/43394.html,8fb3bb2aa62643bc75cc2cc79df9bd98e27b,7
-iment,Regimenter,Regiment,regieren,VVINF,http://www.civforum.de/archive/index.php/t-9945-p-2.html,1f263938cf7cfed8ca6534a467b03bf42b38,73
-iment,Regimentern,Regiment,regieren,VVINF,http://www.tabletopwelt.de/forum/archive/index.php/t-76251.html,cb2441b54c1806e75c4ca2f5a7f3c8be7c76,226
-iment,Regimenter,Regiment,regieren,VVINF,http://www.klittich-pfankuch.de/inter%2015.htm,3480a78b2366b9982b7faaf2ad28bf4500c2,244
-iment,Grenzregiment,Regiment,regieren,VVINF,http://www.mlwerke.de//me/me10/me10_583.htm,3f1dd28e178f8d0b6bbde2c6791f196efc12,24
-iment,Regiments,Regiment,regieren,VVINF,http://www.zwickau.de/de/tourismus/stadtgeschichte/persoenlichkeiten/KarlvonBose.php,872498014f6094e383854287036451f5e437,18
-iment,Regiment,Regiment,regieren,VVINF,http://www.panzer-archiv.de/content/personen.php?id=3,a8a6e9f87c6028db65295f211a7be5b6b564,51
-iment,Garderegiments,Regiment,regieren,VVINF,http://test.tabularasa-jena.de/rubriken/Kunst_und_Kuenstler,51b2823bcf376429e52e2eaa0c6dfcd493a1,55
-iment,Regiment,Regiment,regieren,VVINF,http://www.tabletopwelt.de/forum/archive/index.php/t-3449.html,6dec524faab8e81f9d86750eabe35c7ec0f2,240
-iment,Regiment,Regiment,regieren,VVINF,http://www.bruderschaft.gillbach.de/index.html,01aba0509e17f7dca8ebe54397b67ec81e34,131
-iment,Panzergrenadier-Regimenter,Regiment,regieren,VVINF,http://www.wehrmachtslexikon.de/Waffen/pz38-R.htm,73d5a76a45170675f2c270c94496cffa0d22,74
-iment,Feld-Artillerie-Regiments,Regiment,regieren,VVINF,http://www.alemannia-judaica.de/frankenberg_synagoge.htm,706e09c2ba6279a9db010baf1f54825cf258,86
-iment,Regiments,Regiment,regieren,VVINF,http://www.erstes-garderegiment.de/Geschichte/Geschichte9.htm,4a4c6c018cae3c48a497bc58d43fa7385054,216
-iment,Regiments,Regiment,regieren,VVINF,http://www.paderborn.de/microsite/museum_im_marstall/ausstellungen/8teHusaren.php,bf717b007ef5162bd62e062818576aed7783,11
-iment,Regiments,Regiment,regieren,VVINF,http://www.preussenweb.de/kriege5.htm,64621013cedf1b2c8085702dd08b70816824,136
