sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ling,Däumling,Däumling,Daumen,NN,http://www.erding-life.de/xed/br-rock.html,fc8500965538bac841f8390b5138870b2cd3,4
-ling,Däumling,Däumling,Daumen,NN,http://www.hausarbeiten.de/faecher/vorschau/2033.html,906ca212e7368b5a008cf49da05b9c2d543e,19
-ling,Däumling,Däumling,Daumen,NN,http://www.die-kinderschuhseite.de,b89ed3c168f07d5f65d5f77223673af50908,2
-ling,Däumling,Däumling,Daumen,NN,http://www.schischoc.de/der-kleine-nick-rezessionen,6558a44b74ff4989e00a8cac8678f8de3380,35
-ling,Däumling,Däumling,Daumen,NN,http://www.bosch-stiftung.de/content/language1/html/14772.asp,da1531da2346dd00d1046c12f699ae9b700a,19
-ling,Däumling,Däumling,Daumen,NN,http://www.ge-li.de/breitscheid/ortschronik/seite-164.htm,f895f80416d013787e88f163aa0f077a997f,16
-ling,Däumling,Däumling,Daumen,NN,http://www.greenpeace-stuttgart.de/themen/meere/augenauf-pe.html,0c3f649c079d6d301c7ff2c6f966eb6b8a85,11
-ling,Däumling,Däumling,Daumen,NN,http://laghaim-europa.de/archive/index.php/t-1260.html,72fe460fb31c56fa858d2586d43c91d1f317,6
-ling,Däumling,Däumling,Daumen,NN,http://forum.rundschau-online.de/archive/index.php/t-1180.html,55eb15c3087641c7f6fd2ab110ff220ffd28,130
-ling,Däumlings,Däumling,Daumen,NN,http://www.literadur.de/unsere-tipps/kinder-jugendbuch/klassiker-kinderliteratur.html,840bcfb24afe50d0522ee374ed38780d096b,85
-ling,Däumling,Däumling,Daumen,NN,http://percanta.de/2013/09/10/aus-dem-reich-der-bakterien,c45305fe0ce7122625e430f4d91c6683d442,4
-ling,Däumling,Däumling,Daumen,NN,http://www.antbo.de/kataloge/a0411/seite-10.html,79b566c0e8a0a4b350607256842f560d7b19,512
-ling,Däumling,Däumling,Daumen,NN,http://www.e-stories.de/view-kurzgeschichten.phtml?18453,122c7f834269e407de1008e7f8adb372659d,19
-ling,Ehrgeizlings,Ehrgeizling,Ehrgeiz,NN,http://www.hacktory.de/bierce.html,2f5449bbe8bdf22db476e3466619b7eeff45,3
-ling,Ehrgeizlinge,Ehrgeizling,Ehrgeiz,NN,http://www.kellertheater-frankfurt.de/presse.html,52eb0e9cc27c43221778bec11a01272a4777,206
-ling,Ehrgeizling,Ehrgeizling,Ehrgeiz,NN,"http://www.tus-forum.de/vfl-wolfsburg-t933,start,135.html",edd849d137f8a2e46ed5a8c988bbd0783146,21
-ling,Ehrgeizling,Ehrgeizling,Ehrgeiz,NN,http://www.wortwarte.de/Archiv/Datum/d130106.html,6fb632446cb6e9967ff47ad6d7d07662aec4,41
-ling,Erdling,Erdling,Erde,NN,http://www.gottwissen.de/bibel/wissensw/rebell.htm,9672ab55559b4f049d4e886c111c147d0885,198
-ling,Erdling,Erdling,Erde,NN,http://www.seizewell.de/forum/viewtopic.php?f=44%26t=9420%26sid=8958defeb860eac8f5ea9436467d5622%26start=15,108075237d05444fff46e0c66a441bf0d471,168
-ling,Kleinerdlingen,Erdling,Erde,NN,http://www.alemannia-judaica.de/noerdlingen_synagoge.htm,550b0041a7f2e8d4d415d95cb490268a2f01,305
-ling,Kleinerdlingen,Erdling,Erde,NN,http://www.alemannia-judaica.de/noerdlingen_synagoge.htm,550b0041a7f2e8d4d415d95cb490268a2f01,369
-ling,Erdling,Erdling,Erde,NN,http://www.artist-area.de/rueckschau/2009/10,f5925aa82c475019ce8da321993e3a29f4b9,112
-ling,Erdling,Erdling,Erde,NN,http://www.quentintarantino.de/dvd-neuerscheinungen-t1952.html,1d544212ccab8b3d137f83c12343b75d01a6,13
-ling,Erdlingen,Erdling,Erde,NN,http://www.familie-im-web.de/familie/cybermusik/komponisten/john_williams_greatest_hits.html,c67fef47c373853b6b5f251e2aadf13ee195,22
-ling,Erdlinge,Erdling,Erde,NN,http://www.sankt-jakob-friedberg.de/magazin/artikel.php?artikel=258%26type=2%26menuid=67%26topmenu=67,aa29edd8a497a189c6f14d45cffe37f7944e,30
-ling,Erdling,Erdling,Erde,NN,http://www.ureda.de/php/lexikon/265.html,2cde4e6382bf167c6382565f6fc8aad9f472,18
-ling,Erdlinge,Erdling,Erde,NN,http://www.natur-wildnis-schule.de/3angebot/reisen/masuren-czarnahanzca.html,b6a1660a61c3725c52b184eb39a0d0851e05,8
-ling,Erdling,Erdling,Erde,NN,http://www.joerg-sieger.de/einleit/zentral/01men/zent02.htm,6b7bf60274a87cf112a94da5d9441d8e1cc3,40
-ling,Erdlinge,Erdling,Erde,NN,http://www.ciao.de/Mitglied__hochsauerlaender_1743548,1d8f83be04e7bb1284b2bf37c7f3f4a08b03,114
-ling,Erdling,Erdling,Erde,NN,http://www.forum-alkoholiker.de/ftopic14861.html,d7c71d80a4ffe2de919696b8392fd996e915,142
-ling,Erdlinge,Erdling,Erde,NN,http://www.viatoura.de/voca-people.html,a5cfe3910d0283a7f14027fecbaeef035cd5,11
-ling,Erdling,Erdling,Erde,NN,http://www.ultimo-muenster.de/kr-buch/b-hitchh.htm,39efb5b6d1d9ec6b32759fcb7f8359e2fe0c,4
