sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-age,Endmontage,Montage,montieren,VVINF,http://www.rc-network.de/forum/archive/index.php/t-63879.html,a573455944d7a8632141af14b257d9befa8c,1107
-age,Endmontage,Montage,montieren,VVINF,http://www.groswerkstatt.de/Werkstaetten/saarland.htm,88e15a19fa80784545c07649e0f653b2115a,115
-age,Endmontage,Montage,montieren,VVINF,http://www.railtec-systems.ch/pages_de/index.php?id=5%26L=2%20order%20by%201000%20-%20,05b1c6e4dd5d3b11835074b795d899aed3bd,23
-age,Fotomontage,Montage,montieren,VVINF,http://www.tt-board.de/forum/archive/index.php/t-4963.html,6f4ac5bd5e177e3b73f41ad8bbce5be79cbe,33
-age,Fotomontagen,Montage,montieren,VVINF,http://www.digiklix.de/2012/12/10/franzis-cutout-4-0-exaktes-freistellen-und-kreative-fotomontagen,6728d5156af3763b3dfe217ae26fc73ba704,9
-age,Bildmontage,Montage,montieren,VVINF,http://www.feel-good-factory.de/2009,3fd9c55ebc825a588f15bc6abbe661c4ae9d,37
-age,Motorenmontage,Montage,montieren,VVINF,http://www.bmw-werk-berlin.de/de/dialog/werkfuehrung.html,da16460ce61bc97f6d435d1715ecddbdcfb0,29
-age,Bildmontage,Montage,montieren,VVINF,http://www.blja.bayern.de/textoffice/fachbeitraege/Mythen_2001.html,25ddf3decc8ce464e0e49ff156453cf22eb3,203
-age,Selbstmontage,Montage,montieren,VVINF,http://www.heinkel-club.de/forum/viewtopic.php?f=2%26t=1253%26sid=9363d2083bc6bfe3be12a6735acd82ff%26start=10,47ca9736036e7db7415373a3862fefdb1154,6
-age,Endmontage,Montage,montieren,VVINF,http://www.ernst-wiechert-hauptschule.de/schulfirma.html,b411a1c96d00578f374c18f747f7869bf053,47
-age,Fotomontage,Montage,montieren,VVINF,http://www.vierundzwanzig.de/szenenbild/interview_mit_christian_m_goldbeck,9dff31fc199d548b5ff005641498f693331c,98
-age,Selbstmontage,Montage,montieren,VVINF,http://www.blockhaus-finnholz.de/blockhaus_technik/lexikon,93b0569314211dc2c8d6095e82dece2382d3,1
-age,Endmontage,Montage,montieren,VVINF,http://www.alexander-schleicher.de/Neuigkeiten/aktuell_019.htm,f27485b851d67e285dd5dee0fd46e56a9bc8,8
-age,Endmontage,Montage,montieren,VVINF,http://www.aufwaerts-treppen.de,db4cec03673b183d6cbb2edc569aaf031ddf,9
-age,Fotomontage,Montage,montieren,VVINF,http://www.woerthsee-info.de/gewerbegebiet/infoblatt_03_heimat.htm,73bf63ff491e3d6cdead2674b40648471bf9,7
-age,Endmontage,Montage,montieren,VVINF,http://www.rc-network.de/forum/archive/index.php/t-119439-p-3.html,683c5cf3134c77dd55a21ce33da0580602cd,655
-age,Fotomontage,Montage,montieren,VVINF,http://www.bi-b213.de//index.php,48f9ec0ac1522973eaee7fc968a5aa069747,18
-age,Elektromontagen,Montage,montieren,VVINF,http://www.emde.de/informationen/startseite,9cac19b771d4144978a202e91d78a2e0a767,7
-age,Selbstmontage,Montage,montieren,VVINF,http://www.green-line.de/Pavillon-Trend-5000.502.0.html,061d27bab04e6a5f8a07391e7045286fb4d0,8
-age,Fotomontage,Montage,montieren,VVINF,http://oireszene.blogsport.de/category/sonstiges,6e1b2b156cdf7d7c74cd88dba2cdb27a8aa7,84
-age,Endmontage,Montage,montieren,VVINF,http://www.iabg.de/nachrichten-termine/details/news/iabg-fuehrt,9aa29f2aa7172155504894ed47e666567fd0,6
-age,Fotomontage,Montage,montieren,VVINF,http://www.frankies-diskothek.de/565-1-grafik.php,fb4f880aa2f72d59c511e6062aa59f1e5576,5
-age,Endmontage,Montage,montieren,VVINF,http://ww2.autoscout24.at/bericht/40-jahre-fiat-x1-9/volks-ferrari/44536/297305,ad7edd14757783aa51458950153e8f902d46,47
-age,Fotomontage,Montage,montieren,VVINF,http://www.rhetorik.ch/Aktuell/14/01_01/index.html,37cf6aad7fedde5f5bb946adf1be78449be4,3
