sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.rpi-loccum.de/schhaf.html,237534fe6d68f6038a110b4526ed949112f9,54
-and,Konfirmand,Konfirmand,konfirmieren,VVINF,http://www.bibelwelt.de/html/body_sieben-siegel.html,712128e3e4b26da221b18da41516b7ddadc3,75
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.auftanken.de/bl_andachten/2011-06-27,80bc04474037b6bff8ed873ed3a648e76c43,29
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.leb-grossenkneten.de/Blockhausbriefe/1978/Kurzbeitraege_1977.html,3d267f1e90e4a3813399381135c938858f53,338
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.thomas-scharnowski.de/mall/konfirmation.htm,d0b54def94688961f7a4e0a6d3c3892d2443,20
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://amtlandschaftsylt.de/protlastchance/239-gemeindevertretung.html,a2a08bf1b43fd03e24d2e9d7939010c58002,152
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,"http://www.kirche-altensittenbach.de/predigtarchiv/Hebr%2012,01-03(H%2B).htm",db1d8051bab2b0fa104844c3614ce1904c88,75
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.stuede.de/kirche/presse/20050317a.htm,750785eff6fd300197a23a3ded9d8affa1c7,8
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.momox.de/statistik/buchankauf/buecher/?mit=G,a004230f8f18742e3959fcb7b38e99beccfa,19
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.lippische-landeskirche.de/side.php?pageNum_part_news=6%26totalRows_part_news=178%26news_id=860%26part_id=60%26navi=1,1b4d088beabdd640a848ac39f81bdce5fa54,32
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://aktuell.evangelisch.de/artikel/92922/erosion-der-tradition-die-kirche-und-ihre-mitglieder,7e76577f5384dbbc268125d4d4b3aa93b4d3,82
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.kirchenbezirk-geislingen.de/cms/startseite/einrichtungen-und-werke/gustav-adolf-werk/gustav-adolf-werk,8eda6143116fea990d672611c76cce823e64,38
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.fpi-publikation.de/artikel/graduierungsarbeiten/steffen-volker-kirchliche-begleitung-jugendlicher-10-2004.html,a3a9840ec1519acc4a932cdc8b63e88eadb5,4
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.glaube-und-heimat.de/tag/kirchentag,100ca94ccefc6d21693ee271e1d0bce43eed,241
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.ekhn.de/inhalt/kirche/aktuell/newsletter/newsletter110519.htm,daa0f4ba67c408b8fe57370d37cd55406710,9
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.passion-film.de/65.html,a78c837307eae460ba385991fb2f5d2c95e3,41
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.w-kr.de/Mombach/aktuell/nachrichten/110603.htm,4ce2b8d16eab822317418a4e9683fcacc9e0,1
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.glaube-und-heimat.de/tag/kirchentag,100ca94ccefc6d21693ee271e1d0bce43eed,230
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.evlka.de/extern/stolzenau-loccum/kk/andacht/2004/19-so-n-trin04.htm,2696772e9e871d2e96d86ee409567d8123c5,13
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://sehrhner.de/page/4,72abd9e8145508f099124894d6abe7334ae1,22
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.young-tours.de,5152147c17d1f7952aa615f62807a1785b9d,4
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.evkirchebischofsheim.de/info/13/infos13.php,04c5fb032d639ae7e4b5a6059c04ba60f1b5,18
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://alt-bramstedt.de/Inhalt/Buchtexte_Broschueren/02bcherg/02bcherg.htm,a62eb60594f642190c0a8617e38034af2109,47
-and,Konfirmanden,Konfirmand,konfirmieren,VVINF,http://www.nak-mitteldeutschland.de/bezirk/halberstadt/berichte/beitrag/konfirmationsgottesdienst-in-halberstadt,93180b0af9ee916b0706926b465f06b01a83,11
-and,Rehabilitanden,Rehabilitand,rehabilitieren,VVINF,http://www.sophien-klinik.de/sophienklinik/index.php,18a4f9ad702e7218c7a10979430e531a518c,16
