sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.ulilauff.de/geschichten.htm,55e8c3814686d289e785ebd5b0696e32ffa1,2060
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.kongo-kinshasa.de/geschichte/geschichte2.php,1bcb05dd4bd61ee9efb8158b49940afeb230,10
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.ulilauff.de/geschichten.htm,55e8c3814686d289e785ebd5b0696e32ffa1,770
-ateur,Administrateurs,Administrateur,administrieren,VVINF,http://histinst.phil-fak.uni-koeln.de/6369.html,d673db5dee51969f7d8cf60988ac5a0c8480,35
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.madep-ace.ch/was-hat-jesus-damit-zu-tun-?tmpl=component%26print=1%26layout=default%26page=,543e29138fb6482b124850527cf8d2a610c0,3
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.sportwissenschaft.uni-hamburg.de/tiedemann/documents/alliierterechtsdokumente44-50.html,45a67a0c26546ace47e4beca480b65f383dd,260
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.coffra.de/site006/de/c_diagnews/archiv/dn47/07.htm,9e063a17c68d20cd0d8d4c80e49c0ca83e77,10
-ateur,Administrateurs,Administrateur,administrieren,VVINF,http://www.schubra.de/de/newsletter/SBII-ragwp/Newsletter_20120126dt.html,f8480fdff73298cacaff9e96177e368d502a,40
-ateur,Administrateur,Administrateur,administrieren,VVINF,http://www.ulilauff.de/geschichten.htm,55e8c3814686d289e785ebd5b0696e32ffa1,650
-ateur,Agitateure,Agitateur,agitieren,VVINF,http://www.blogfrei.de/metalust/2006/10/metapher_und_buchstabliche_red.html,e050bf0bb648a5862e46a3389bb266f8b405,124
-ateur,Agitateure,Agitateur,agitieren,VVINF,http://www.asa.de/magazine/iss6/11doppleranarchie.html,af1b7892dd86c67d7c1001b2fc52dcce941e,59
-ateur,Haupt-Agitateur,Agitateur,agitieren,VVINF,http://www.schoenen-dunk.de/forum_t78542_BG-Karlsruhe-2013-2014_86.htm,e8e189cb75773878a3ee5217497699ec3b89,96
-ateur,Agitateurs,Agitateur,agitieren,VVINF,http://www.staatsarchiv.lu.ch/index/schaufenster/quellenbeispiele/migration/akt_34_102b.htm,19a8395e070a4c16bd5125ab0df2bbbbf2b7,10
-ateur,Akkumulateuren,Akkumulateur,akkumulieren,VVINF,http://www.anarchismus.at/gegen-den-kapitalismus/kapitalismuskritik/460-ludwig-unruh-das-moderne-weltsystem,c7ffccdb3faec48e63cafa5128e176fdb431,40
-ateur,Akkumulateure,Akkumulateur,akkumulieren,VVINF,http://www.chart4u.de/boersenforum/archive/index.php/t-2358.html,ce060235ed3b69e30585664afaba7ac62c22,42
-ateur,Kinderanimateure,Animateur,animieren,VVINF,http://www.kairofamiliennetz.de/markt-jobs.htm,9dc7c191800dbcca71572236bb18e50bfd29,212
-ateur,Animateure,Animateur,animieren,VVINF,http://www.crossover-agm.de/rezibuchkotte070128.htm,4a250afb05e9942d2396005f487e8562551b,186
-ateur,Animateur,Animateur,animieren,VVINF,http://fmcorner.4players.de/forum/archive/index.php/t-16818.html,ad29b3576487fa894e7b12d9e933e3114ae8,987
-ateur,Animateure,Animateur,animieren,VVINF,http://www.kreuzfahrt-sonne.de/Schiffsbewertungen_Reiseberichte/aida_cara.php,59facf42db1138c8c177d9a17772c59da669,344
-ateur,Animateure,Animateur,animieren,VVINF,http://www.lothars-reiseberichte.de/Reisen/mallorca/Mallorca.html,c97be1a37fce176abee75224f4477b049e6b,113
-ateur,Animateure,Animateur,animieren,VVINF,http://www.eurosun.de/travel/hotel_kemer.php,e07fb9996d332e1be0cefaafd4a989e1d86f,46
-ateur,Partyanimateur,Animateur,animieren,VVINF,http://www.home-of-rock.de/CD-Reviews/T_Rex/Born_To_Boogie.html,a7d47f68c6ce23f20ebcba2f03a7190bc439,34
-ateur,Animateur,Animateur,animieren,VVINF,http://www.tierheim-huerth.de/Erfolge/Ehemalige/M-R/Robby__jetzt_Rocky_/body_robby__jetzt_rocky_1.html,6815ac96cbcf8e978e1241591ca680e124f4,7
-ateur,Animateuren,Animateur,animieren,VVINF,http://www.dkp-online.de/vorOrt/docs/neueelem.htm,0b99c16e89a8a1b3f9600a20118347d09d00,13
-ateur,Animateure,Animateur,animieren,VVINF,http://www.packie.de/home/fotos-und-malerei/laender-und-reisen/sofitel-hurghada.html,d2ffd589319d6dabc0eebdd6ba4534bf0559,71
-ateur,Animateur,Animateur,animieren,VVINF,http://www.kulturwest.de/buehne/detailseite/artikel/von-unten,100500434148295cd979dc386f218e42e2af,38
-ateur,Animateuren,Animateur,animieren,VVINF,http://faaanblogg.blog.de/2007/03/01/bezness-analyse-teil-5-fazit-5836919,b7ed46ccc55048edd058714545df35cbfc07,64
-ateur,Animateuren,Animateur,animieren,VVINF,http://meinonlinetagebuch.over-blog.de/categorie-10907081.html,d41064978abb87b6251edfa04f944ddbd5df,211
-ateur,Animateuren,Animateur,animieren,VVINF,"http://www.arcor.de/content/finanzen_job/karriere/wie_werde_ich/86607345,1,artikel,Wie+werde+ich+...+Animateur.html",5d20a0ed35c1be62c923a67d3c276b38d0dd,40
-ateur,Animateur,Animateur,animieren,VVINF,http://methodenpool.uni-koeln.de/szenisch/szenisch_darstellung.html,9d7e476a6b3cff93058b51f1150501e62122,45
-ateur,Animateure,Animateur,animieren,VVINF,http://reisewelt.ferienwelt.de/airport_airline_infos/fragen_zum_fliegen/fluege_flug.html,52687080baabfa6fd9da9213c48695b0959c,47
-ateur,Team-Animateur,Animateur,animieren,VVINF,http://www.bboard.de/tags/usa/14,3c8fa8d1e694dde7f0cdf361127f0c68c11d,11
-ateur,Animateure,Animateur,animieren,VVINF,http://www.urlaubsreklamation.de/URLAUBSREKLAMATIONEN/blacklist_komplettlist_aldea_country_menorca.htm,679899130b651fa8672da3129d7b27fa4620,10
-ateur,Animateure,Animateur,animieren,VVINF,http://www.kindergartenexperte.de/infos-fuer-erzieherinnen/ausbildung/berufsfelder,acb3c065f58c7d77e284e44f4871457256c1,19
-ateur,Animateur,Animateur,animieren,VVINF,http://www.tennislutz.de/team,7ea29eccd83a3b00e250db60ddafccf8f36e,8
-ateur,Animateure,Animateur,animieren,VVINF,http://www.trailerseite.de/filmkritiken/2007/next-filmkritik.html,85a6da7c78d18334c63326c3dfa2cc88105a,48
-ateur,Animateur,Animateur,animieren,VVINF,http://www.tus-haltern.de/site/index.php/nachrichten/feed/rss/Page-17.htm,34c138b2173553d4fa8a8dfac5206ba87f80,36
-ateur,Telefonquiz-Animateure,Animateur,animieren,VVINF,http://www.mediencity.de/Das-Geschaeft-mit-dem-Anruf-Bisher-waren-Call-In.4856.0.2.html,46520e86d4339d56720548d4652f9205a564,15
-ateur,Animateur,Animateur,animieren,VVINF,http://www.info-tunesien.de/thread-5994.html,112a8abd17a71ac997fd00f249c58f5e719e,42
-ateur,Animateur,Animateur,animieren,VVINF,http://frame.misterspex.de/2011/01/19/fashion-week-berlin-2011-flashmob-mit-pappbrille,5bbb410d3d3ee4721378c7dffe81e63be82a,20
-ateur,Animateure,Animateur,animieren,VVINF,http://www.reisenmitfamilie.de/category/clubreisen,7016b166280ea41020be044be8af69bf4598,6
-ateur,Animateur,Animateur,animieren,VVINF,http://jagdhund-ad.de/41_spaziergang.htm,5bd1e3180978bcfc35ee9e4eac60e9cb90ba,1
-ateur,Animateure,Animateur,animieren,VVINF,http://etikett-en.de/tag/urlaub/24,8c2fdc1cdb4bfd88fa8b6d68f4be6f512ea4,17
-ateur,Animateure,Animateur,animieren,VVINF,http://carlheinzhollmann.de/pages/medsp.htm,1307be55c9a14bd5c9e20d466cdbb7620828,80
-ateur,Disney-Animateur,Animateur,animieren,VVINF,http://www.37freizeit.de/video/alt002.htm,d45a5d1d59d559bd1557aa8d388bcf57f4e1,79
-ateur,Animateuren,Animateur,animieren,VVINF,http://www.holidaycheck.de/hotelbewertung-Hotel+Sotavento+Beach+Club+Veraenderungen+seit+2005+erkennbar-ch_hb-id_817329.html,6ad07b645dd5bc068a6366fc502875867186,64
-ateur,animateur,Animateur,animieren,VVINF,http://travel-and-guide.de/forum/board1-europa/board4-t%C3%BCrkei/420-f%C3%BCr-die-die-aus-dem-g%C3%A4stebuch-rausgeworfen-worden-sind/index13.html,424bab187ae96a67262f8e879f3d0bc9e8b0,28
-ateur,Animateure,Animateur,animieren,VVINF,http://www.singleboersen-anbieter.de/pauschalreisen.htm,f6dfc05502cc801bd236b23bcc775b593f77,21
-ateur,Animateure,Animateur,animieren,VVINF,"http://www.ab-in-den-urlaub.de/hotelbewertungen/Hotel,Asteria+Side,hot_27350.html",66088597c5a4bf09315b5902ca8e9ea58b43,16
-ateur,Animateure,Animateur,animieren,VVINF,http://www.bewertungen.opodo.de/hotel/aegypten/marsa-alam-queseir/el-quseir-ras-alas-sad-bay/pensee-royal-garden.htm,b84a559fb9e5bd3f6d1d9d5adbe5c04c3e83,282
-ateur,Chefanimateure,Animateur,animieren,VVINF,http://www.vsspanien.de/_job/job_angeb_show_1.php?pageNum_rsJOBan1=79%26totalRows_rsJOBan1=462,aeee99d2dfea353c2f65b12ecd55e7b7ab81,3
-ateur,Animateur,Animateur,animieren,VVINF,http://www.linkheim.de/2091-1-webkatalog.html,c4e25d7b9a200ea804c71612fab6e4a7939b,3
-ateur,Animateure,Animateur,animieren,VVINF,http://www.asgsg-marl.de/Albert/schule/berufe/berufe13.htm,e2a93649ff4228400891b17b8ca2906b12a2,5
-ateur,Animateure,Animateur,animieren,VVINF,http://www.ageh.de/infothek/publikationen/contacts/2001/1/die-natuerlichste-sache-der-welt.html,a03187f4f22cdcd8e1a453313306cd91aae9,42
-ateur,Animateure,Animateur,animieren,VVINF,http://forum.musikexpress.de/archive/index.php/t-13302-p-15.html,4fc5d4fb8bf15aab526bed60bec2c32e6bb4,31
-ateur,Animateur,Animateur,animieren,VVINF,http://www.kinoweb.de/film2002/MonstersInc/film05.php3,faee5150c1142f3fbc13fc9ab8ff9399f07c,44
-ateur,Verkaufsanimateur,Animateur,animieren,VVINF,http://stadt-bremerhaven.de/motorola-moto-g-verkaufsstopp-bei-media-markt-und-saturn-wegen-netzteil-defekt,96cf55ef8e04c3e4edab03c16f54af958ebd,115
-ateur,Heizdeckenverkaufsanimateur,Animateur,animieren,VVINF,http://www.festivalhopper.de/news/2010/12/23/rock-the-nation-festivals-2011,e736cc18f2f5c68c7e158ee19f397d26944c,59
-ateur,Animateur,Animateur,animieren,VVINF,http://www.neon.de/artikel/-/-/wie-licht-schmeckt/654558,8e2391eb1c2b6a0a0ce5be9f3ff3b166ff94,40
-ateur,Animateur,Animateur,animieren,VVINF,http://www.party-for-all.de/hochzeit-feiern.php,d3988f2fcb2081c1fcf485ad8ddd24cf0ed4,15
-ateur,Animateuren,Animateur,animieren,VVINF,http://www.x3-treff.de/archive/index.php/t-759.html,d5cc7a36dbe5bb2735197e22b8beadd58d0c,8
-ateur,Animateure,Animateur,animieren,VVINF,http://www.branchen-baer.de/redaktion/so-wird-der-kindergeburtstag-ein-voller-erfolg.html,ff3234df71eb7f58a39f77dbe4b93f94080a,10
-ateur,Animateurs,Animateur,animieren,VVINF,http://www.aktueller-info-service.de/Reiseleiter-Animateur.htm,c20e559281aeecb986f6868bdfb9a0c21c6b,10
-ateur,Animateur,Animateur,animieren,VVINF,http://secondhand-coverband.de/band/index.html,109e462cdee4af6d18d5db0210d1851d2f23,14
-ateur,Animateur,Animateur,animieren,VVINF,http://www.5-freunde-im-abseits.de/2007/11/08/what-happened-to-stagediving-die-verburgerlichung-der-konzertkultur-des-neuen-jahrtausend-am-beispiel-des-kaiser-chiefs-konzerts,409f7b65bc7be16108dd71179bcc1bff721b,36
-ateur,Animateur,Animateur,animieren,VVINF,http://hermann54.blog.de/2013/08/19,24f1a6f3b5f3de144a90c5dc3650e6234b7d,189
-ateur,Animateur,Animateur,animieren,VVINF,http://blog.lovelybooks.de/2010/02/22/lovelybooks-aktion-10x-hummeldumm-ergattern,4b45ca6752dd50f8ff9b983c3f857a8d9dfd,571
-ateur,Disney-Filmanimateur,Animateur,animieren,VVINF,http://iasl.uni-muenchen.de/links/NARS.html,56e20f4effe08f86f9351fe128bbe3c41946,73
-ateur,Kinderanimateure,Animateur,animieren,VVINF,http://www.hihawai.de/TravelMag/1033/Hotel+Vespera+Auszeichnung.htm,c1111c18c68fc4ea441e4352ac11c5a5767e,14
-ateur,Animateure,Animateur,animieren,VVINF,http://www.reisen-bausteine.de,b4ec33f240db07ef905741ef93cfd5dc5154,21
-ateur,Animateuren,Animateur,animieren,VVINF,http://www.kindergartenpaedagogik.de/1228.html,71f00e6d9cea096664b5697efa25cf9b0cc9,255
-ateur,Animateur,Animateur,animieren,VVINF,http://www.holidaycheck.de/hotelbewertung-Hotel+Atlantis+The+Palm+Traumhaft+perfekt+immer+wieder+Dubai-ch_hb-id_1788371.html,d06d879e3a2a3b1ba5def7f6c9bcc9dd7f57,66
-ateur,Animateur,Animateur,animieren,VVINF,http://forum.werder.de/archive/index.php?t-1189-p-3.html,2ae2bf79e383bb5e29a5df001fe70ee138c2,536
-ateur,Animateur,Animateur,animieren,VVINF,http://www.cambomare.de/01_Badewelt/Familie-Kids.php,43149946a75c8c6a3f6fc8412d190db29a7f,14
-ateur,Animateur,Animateur,animieren,VVINF,http://www.angriff1945.de/pages/pforzheim_sturm_19450223_page_002.htm,c618fcf799789b6a762396e8ba5bef88937e,15
-ateur,Animateur,Animateur,animieren,VVINF,http://aphorismen-archiv.de/F276.html,8fcde53ebe442c332c9bfbbf6c9cbf31606b,17
-ateur,Animateure,Animateur,animieren,VVINF,http://www.urlaub-spass.de/urlaub-spass/schoener-urlaub-mit-kindern,0d33a9b05b48c70b95a17b2c0dd25536c0c3,22
-ateur,Animateur,Animateur,animieren,VVINF,http://www.gaesteliste.de/konzerte/show.html?id=99004809%26_nr=1441,1d59ecca5bdcf0bfc0e78ae93ce9bf4e672f,44
-ateur,Animateure,Animateur,animieren,VVINF,http://travel-and-guide.de/forum/board8-afrika/board10-tunesien/34-hotel-garden-parc,6624a42ab761c0ea451e0424681ab517740c,36
-ateur,Animateur,Animateur,animieren,VVINF,http://facto24.de/2010/06/14/urlaub-in-der-turkei-lohnt-sich-das-noch-kritischer-reisebericht-zu-turkeiurlaub,93a3ac9d89655b83becfb3c80425369a4362,43
-ateur,Animateur,Animateur,animieren,VVINF,http://www.musiker-und-kuenstler.de/search.cfm?q=musik%26page=2,2641e3a2d25ecef5174c7b66e38423dcd31c,21
-ateur,Animateure,Animateur,animieren,VVINF,http://www.fernwehforum.de/archive/index.php/t-4906.html,abb18b863122bd9b554d3680d4d562dd2c99,28
-ateur,Animateure,Animateur,animieren,VVINF,http://www.dooyoo.de/archiv-reisen-cityguide/weitere-hotels-in-kenia/1068010,1acb6c708dc57f2b7ff1c93f2bc29c1d830b,244
-ateur,Animateuren,Animateur,animieren,VVINF,http://holidaytrends.de/category/allgemein,c2a61cf04c9b87c602bbe74dd6c97d37fa4b,34
-ateur,Animateure,Animateur,animieren,VVINF,http://www.kreditori.de/arbeit-bildung/beruf-/ots-frog-touristik-service-urlaubs-macher-animateur-jobs-liegen-voll.html,8e9bd396f081cf87a2b48024565353026b6a,2
