sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ation,Applikationen,Applikation,applizieren,VVINF,http://www.webmaster-seo.de/webmaster-seo/webmaster-tipps/page/3,19247cda07eb41e979186a062a161b567fab,7
-ation,Applikationen,Applikation,applizieren,VVINF,http://www.umtslink.de/GSM/SIM_Karte.htm,9faa6cb8de649aad0a4751d09fad4d4ff2e2,8
-ation,Applikationen,Applikation,applizieren,VVINF,http://brainhack.de/tag/symbian/page/2,86d7201ea88fc4085790127add9947bdd0f1,15
-ation,Applikationen,Applikation,applizieren,VVINF,http://www.boreus.de/allgemeines.php,e2da0a9f575785026c0ff7465a16a4360ad6,8
-ation,Facebook-Applikation,Applikation,applizieren,VVINF,http://t3n.de/news/showcase-swarovski-optik-produkteinfuhrung-315874,c8374a2c7f9da5b0b30630fa9bc7477f2f66,9
-ation,Kontrastmittelapplikation,Applikation,applizieren,VVINF,http://edoc.hu-berlin.de/dissertationen/chopra-sascha-santosh-2005-03-18/HTML/chapter3.html,75f5f696cc8213afec809c01cb8deb425cd8,73
-ation,applikationen,Applikation,applizieren,VVINF,http://www.slashcam.de/info/Arbeitsvorgaenge--Trickfilm-fuer-PC-und-DVD-mit-Adobe-60941.html,b8c7cd5f6e3eb7ee4e4b59d77ffff30b85e8,14
-ation,Holzapplikationen,Applikation,applizieren,VVINF,http://www.nordsee-haus-sonnenstrahl.de/holzarbeiten_heike.html,73c5484854e3cb0d1a0ffbdcdc730ecb7bcf,1
-ation,Applikationen,Applikation,applizieren,VVINF,http://www.acam.de/de/produkte/picostrain/ps08/vorteile,ebfb70334fe939a4e9fd4daadb17e7b4965b,11
-ation,Web-Applikation,Applikation,applizieren,VVINF,http://www.iphone-ticker.de/det-danske-sprog-iphone-tipps-zum-danisch-training-9350,c8e38563979ae42e27312a525c0cd3fa0ad5,23
-ation,Applikation,Applikation,applizieren,VVINF,http://www.slashcam.de/info/Arbeitsvorgaenge--Trickfilm-fuer-PC-und-DVD-mit-Adobe-60941.html,b8c7cd5f6e3eb7ee4e4b59d77ffff30b85e8,24
-ation,Applikation,Applikation,applizieren,VVINF,http://www.cyber-junk.de/notiert/tag-1-mit-dem-nokia-e71,fe97f6e22c312d87bd915035c6cdb6f031b9,46
-ation,Logo-Applikation,Applikation,applizieren,VVINF,http://www.guter-name-online.de/Oberteile%20von%20Enyce.html,36a747fe8170401710853da597e8f9ddf5d5,14
-ation,Applikation,Applikation,applizieren,VVINF,http://www.affilinator.de/affiliate-software/affilinator-cookplanet-edition-kostenlos,a4d9c0d3ef9a5074dfa583f48bf1948c2950,7
-ation,E-Business-Applikationen,Applikation,applizieren,VVINF,http://www.drhellberg.de/FHDW/BetrieblicheInformationssysteme/XML/Html-Dateien/kap20.html,384026cae48677145960358c904bdf534f92,244
