sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-atur,Applikatur,Applikatur,applizieren,VVINF,http://beautyjunkies.inbeauty.de/forum/archive/index.php/t-52019-p-13.html,eae890fee0dffd114fbf9bd09d52375396ce,409
-atur,Administratur,Administratur,administrieren,VVINF,http://www.aeiou.at/aeiou.encyclop.b/b944915.htm,044bf3f2a441f50271924f46c4d5867ae55f,5
-atur,Delegatur,Delegatur,delegieren,VVINF,http://www.preussenweb.de/pommern.htm,3b10a238b121b32275a2750ac22b1287df8c,423
-atur,Delegatur,Delegatur,delegieren,VVINF,http://www.ku-eichstaett.de/forschungseinr/zimos/publikationen/zeitschrift_forum/zeitgeschichte/kochanowski_polen_weltmacht,6c7e121067bcb66ab06b73b82875f1022b42,222
-atur,Delegatur,Delegatur,delegieren,VVINF,http://www.preussenweb.de/pommern.htm,3b10a238b121b32275a2750ac22b1287df8c,421
-atur,NS-Diktatur,Diktatur,diktieren,VVINF,http://www.gdw-berlin.de/nc/de/vertiefung/biographien/biografie/view-bio/arendt/druckversion.html,9f691b10da1e0bcce6a8250d29dc4b202b28,12
-atur,Diktatur,Diktatur,diktieren,VVINF,"http://maybritillner.zdf.de/ZDFde/inhalt/11/0,1872,8357483,00.html",b9d1e0a484bd4ede5271c8ce9ab33c47e591,9
-atur,NS-Diktatur,Diktatur,diktieren,VVINF,"http://technocom.foren-city.de/topic,5255,-mutma-l-betreiber-von-rechten-internet-radios-festgenommem.html",04036cf1c673b5961cba4cb5809ade158c54,15
-atur,EU-Diktatur,Diktatur,diktieren,VVINF,http://www.geolitico.de/2013/04/02/die-10-wichtigsten-fragen-und-antworten-zur-afd/?replytocom=24056,77d87225508053d0240fb6ebd793bf94ac14,84
-atur,Nazidiktatur,Diktatur,diktieren,VVINF,http://www.luise-berlin.de/bms/bmstxt00/0009proh.htm,ce757968c4a02a92fd00f8bd4c280cd2ded4,14
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.grosse-literatur.de/Feuerbote-David-Clement-Davies/bd/419,faf4f7198e4cc891f069b1631199daf6a827,1
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.bertramkoehler.de/Verhaltensmodell.htm,c6987f33d1c55b7f392de32e65e5640d18d1,52
-atur,Hitlerdiktatur,Diktatur,diktieren,VVINF,http://sascha313.blog.de/tags/marxistisch-leninistische-partei/fullposts/page/4,8f9071657d3c8334943d1b3c07a6dd35d2e5,158
-atur,Militärdiktatur,Diktatur,diktieren,VVINF,http://juedischesmuseum.de/61.html,e5a54ee72d8f88a8d68826db2c72c4b8b607,63
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.linksfraktion-hamburg.de/politik/fachbereiche/fachbereiche_detail/kategorie/dora-heyenn/zurueck/themen-1/artikel/occupy-hamburg-endlich,1f791ebc99a870ba7f644aa9e2bc08bc6161,34
-atur,Militärdiktaturen,Diktatur,diktieren,VVINF,http://wiki.diealternativen.de/Bodenreform.html,e6522c9b1ee0a261b2ebb6f1770e85e32d60,217
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.suedamerika-web.de/sueda7,7b156bf510f86d415abaa26698b75abb1d72,50
-atur,Diktatur,Diktatur,diktieren,VVINF,http://gplanost.x-berg.de/empfehlungen3.html,4fec4326763cf290981d0c2968173eee4b64,594
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.npla.de/de/poonal/archiv/491,b15dec4c6115e66bfff20e7d499172e3d65f,154
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.das-parlament.de/2011/27/EuropaWelt/34994323.html,1b9ba6092da5460bf4d223fd8d3c75733a12,50
-atur,Diktaturen,Diktatur,diktieren,VVINF,http://www.andreas-unterberger.at/categorie/international/page/5/content/impressum,b49291e03c03b3b96bcebe4e41582c32603c,129
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.nachrichtenspiegel-online.de/category/leben/page/3,8ab418ba94ca357d4d0c8d55ca5c34a64072,56
-atur,SED-Diktatur,Diktatur,diktieren,VVINF,http://www.moz.de/heimat/ort/neuenhagen-658/plz/16259/rnc/RegionItem/hu/1,d90b7fd4041bcc44090af2cb42f92f479ca1,17
-atur,Diktaturen,Diktatur,diktieren,VVINF,http://www.pnn.de/potsdam/571377,e3267feab76c2899a6ae9087b019e84877ca,43
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.stolpersteine-gelsenkirchen.de/stolperstein_friederich_poburski.htm,21580ffd7dcb2bdcec3ef4ca2736b02b7350,10
-atur,Diktatur,Diktatur,diktieren,VVINF,http://alter-maulwurf.de/prometeo/124-1956-03-03-dialog-mit-den-toten-2.html,a01cdf9af4e0fc90f1b5765815ddb3db15df,205
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.wissen-digital.de/index.php?title=Nordkorea%26oldid=171977,2fb0f07f2da4d3981db80a072c41bab47498,34
-atur,Diktatur,Diktatur,diktieren,VVINF,http://sehepunkte.de/2011/11/20127.html,4292d60d74fcf6f22953b33c79e609b061ac,8
-atur,diktatur,Diktatur,diktieren,VVINF,http://forum.dragonballz.de/archive/index.php/t-35316.html,0e023a34c7d65e14cf54b5e7f98e87538f9d,83
-atur,SED-Diktatur,Diktatur,diktieren,VVINF,http://www2.uni-erfurt.de/tiefensee/feiereis.htm,2aa9176b88a17cefe4f3fb5b201a47e0105c,82
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.esoterikforum.at/forum/showthread.php?s=3f000d1cf58291db540cf77a8e7eeb44%26t=191139%26page=5,90f495780787eae11ee4d30f283b1f634085,41
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.b-republik.de/aktuelle-ausgabe/warum-putins-russland-keine-angst-mehr-vor-dem-westen-hat,1f4af7670568690f8f456e0264de386ffe7c,53
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.globkult.de/kultur/l-iteratur/727-glanz-und-elend-der-demokratie-rede-zum-internationalen-tag-der-demokratie,d5058f2a8a23b72ccf7446a6ab01a4a66150,147
-atur,Selbstnutzendiktatur,Diktatur,diktieren,VVINF,http://www.webdieb.de/Texte_HTML/Anschauung_unserer_Welt_006.htm,9732534740857b23cfa5c47973024c09562a,118
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.referate-max.de/facharbeiten/die-r-a-f.htm,8215a4ace304401af6f575c319b9691ba779,140
-atur,Diktatur,Diktatur,diktieren,VVINF,http://info.kopp-verlag.de/hintergruende/wirtschaft-und-finanzen/ellen-brown/der-grosse-bruder-in-basel-financial-stability-.html,5cfd4c37a71408baa854ace0bb7f9e1c6bf8,87
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.conne-island.de/nf/47/11.html,62e69983874bf67208652a0330a2e649b697,19
-atur,Diktatur,Diktatur,diktieren,VVINF,http://scripta.npage.de/die-silberruecken-demokratie_89253254.html,7c33ec03e2b9dcecbc72df653cbd51172d98,70
-atur,SED-Diktatur,Diktatur,diktieren,VVINF,http://www.sonntag-sachsen.de/category/titelseite/page/7,d6887f8859a201fcdbc31d39c8268c41ced7,163
-atur,Militärdiktatur,Diktatur,diktieren,VVINF,http://www.ag-friedensforschung.de/regionen/Argentinien/prozesse2.html,cbef89e8f9b80f6ac918f98be4c98d732fb9,1
-atur,Diktatur,Diktatur,diktieren,VVINF,http://ln-berlin.de/index.php?/artikel/1130.html,f0c11a516fcda268be7454dbc856bb83451d,3
-atur,Diktatur,Diktatur,diktieren,VVINF,http://www.ipa-cologne.de/pro9tc3.htm,87fd2b67ff2a60f8ee3ce5351abce02b9e8d,132
