sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-e,Bandbreite,Breite,breit,ADJ.,http://www.franziskaner.at/nachrichtenarchiv/588-im-gespraech-mit-alfred-trendl.html,6eddad40332a2c77543d4be49505bb7e84aa,3
-e,Bandbreite,Breite,breit,ADJ.,http://www.stadtkind-hannover.de/tag/2008-11/page/2,915c3e562722d74119d916517ff28837ed1a,111
-e,Breite,Breite,breit,ADJ.,http://bvi-verwalter.de/hp51469/BVI-Newsletter-Februar-2011.htm,83d300fee7a3d333c5cc0586c7a8f371376e,8
-e,Wehrbreite,Breite,breit,ADJ.,http://www.wsa-b.de/wir_ueber_uns/aussenbereich/abz_fuewa/anlagen/wehr_fuewa.html,0458776aa0f6679dc05690a4fa6fb175841f,10
-e,Bandbreite,Breite,breit,ADJ.,http://www.allesaussersport.de/archiv/2011/01/01/das-sportjahr-2011,cd138ab776c12aae08f0e5bda2dacccc07a1,78
-e,Bandbreite,Breite,breit,ADJ.,http://www.radioberlin.de/themen/mein_tagebuch.html,7e008b206b6268491af3b7cb1c72763de111,14
-e,Breite,Breite,breit,ADJ.,http://mschoettler.de/HTML,e977adebcff6ab5b070b4f8bdc98d9ee3137,162
-e,Streubreite,Breite,breit,ADJ.,http://www.minianzeigen.de/Ben%C3%B6tigten.html,208d2a8f2b56730ada48d9e8c609909b7b3d,49
-e,Angebotsbreite,Breite,breit,ADJ.,http://www.spd-chemnitz.de/meldungen-details/items/auswirkungen-der-mittelkuerzungen-fuer-arbeitsfoerdermassnahmen-im-jugendhilfe--sozial--kultur--und-sportbereich.html,e917d2d36269fd9b010006ef9d6a08b0d2bd,9
-e,Bandbreite,Breite,breit,ADJ.,http://blog.chaosradio.ccc.de/index.php/2010/02/27/cre146-javascript,2297671db395889a63846901107cfe86e224,11
-e,Breite,Breite,breit,ADJ.,http://www.yontown.de/Texte/Dronte_Theaterfassung.htm,f1870c3362d33ad38d5b5e89fb1f594451c5,367
-e,Breite,Breite,breit,ADJ.,http://www.moz.ac.at/user/rwolff/LVAs/LiveCode/LiveCodeText.html,7e1917f10a483fbba55f434880cfc8f82774,61
-e,Breiten,Breite,breit,ADJ.,http://www.yachtsportmuseum.de/themen/reviere/fontane_und_der_jolly.htm,d6debe88e2c6c3f5f242b043983757474cb5,21
-e,Breite,Breite,breit,ADJ.,http://www.yachtsportmuseum.de/dokumente/filme.htm,8498068a81279f5df222b55c81fb58783ffc,9
-e,Bandbreite,Breite,breit,ADJ.,http://www.meintrendyhandy.de/shop/cms-19.html,fa895c083838c5f7bed1ce7559ba442f77d4,8
-e,Breite,Breite,breit,ADJ.,http://www.bwl-bote.de/20081227.htm,fe590abd621656f91c3b16bad53806b3545b,22
-e,Bandbreite,Breite,breit,ADJ.,http://www.telefontarif-wechseln.de/telekom_tarife_uebersicht.html,f4d4daccf539e77c01d2f2b0bf06233aa271,8
-e,Breite,Breite,breit,ADJ.,http://www.aurich.de/wirtschaft/unternehmen-des-monats/jahr-2006/maerz-2006.html,54c2faafd6f7d8be22237aceb01f74fd2c12,5
-e,Breite,Breite,breit,ADJ.,http://www.besser-wohnen-tv.de/sendungen/2005_07_05.htm,a558ae069141dd6a50b1bd3af4fd684a23e1,28
-e,Bandbreiten,Breite,breit,ADJ.,http://www.telefon-treff.de/archiv/topic/445806-1.html,12416642788d2865878ceb27ad37743c5157,70
-e,Bandbreite,Breite,breit,ADJ.,http://www.scope-online.de/Interviews/Wortwechsel---MES---Vernetztes-Denken.htm,10870e6af0a4df01a68324fde5d61caf0d5d,60
-e,Bandbreite,Breite,breit,ADJ.,http://energiebrief.dr-ramadani.de,a17a0c4d6bc0d0472f8b672e33451c295ed8,13
-e,Breite,Breite,breit,ADJ.,http://www.sauerlandfussball.de/Forum/3-Bezirksligen/2465-Die-Sauerland-Bundesliga-Bezirksliga-5-2011-2012/Seite_8,de6c23496c160398c435536fcbb6b786598f,10
-e,Breite,Breite,breit,ADJ.,http://www.seemotive.de/html/dpanama.htm,66ed12f3160fe9dc676d25f0722af5f0f795,41
-e,Dichte,Dichte,dicht,ADJ.,http://www.kirche-online.de/EKD-Texte/christen_juden_2000_c-j2.html,0dd7754b4dd24c00b22b517e8cfd30276ac3,143
-e,Speicherdichte,Dichte,dicht,ADJ.,http://www.dpma.de/ponline/erfindergalerie/rasterkraftmikroskopie.html,9cb8d68f62bf282c3fc85d52adfa40901396,29
-e,Punktedichte,Dichte,dicht,ADJ.,"http://www.computerwoche.de/a/apple-ipad-air-128-gb-wifi-cellular-im-test,2549837",7500f976b462346930b79993dbab8f3f00d9,25
-e,Dichte,Dichte,dicht,ADJ.,http://www.kreidefelsen.de/wetter-news/news/juli/06_news_01.html,85395f14871530c15af97a019f7bbc3e1ac4,8
-e,Felldichte,Dichte,dicht,ADJ.,http://www.schaefchen-vom-haemelerwald.de/solidagouti.html,3bc14f8af5807ea96bf297700e22097550fc,15
-e,Besatzdichte,Dichte,dicht,ADJ.,http://gruenland-online.de.dedi335.your-server.de/html/gruenland/unkraeuter/sumpfschachtelhalm/sumpfschachtelhalm.html,f761ba69e17a0ba51c4ff8cf39c3fbd1c9c6,7
-e,Narbendichte,Dichte,dicht,ADJ.,http://www.brandmair-hof.de/inhalt/pflanzenbau/ackerfutter/ackerfutter.html,c61285563df23e574491c07e3bcdc9e66438,46
-e,Dichte,Dichte,dicht,ADJ.,http://www.tempolimit-lichtgeschwindigkeit.de/~zahn/papers/rel/dipl/diplHTML/node33.html,948734d8f3b92e6a402ccc84a259322af190,7
-e,Dichte,Dichte,dicht,ADJ.,http://www.hausarbeiten.de/faecher/vorschau/104501.html,1d635c366a9ca4df951ca9fe254c01a7f21b,72
-e,Taktdichte,Dichte,dicht,ADJ.,http://www.strassenbahn-muenchen.de/aktuelles_2008_m.htm,52255618302b88aaeb76585f8fe55e40355f,82
