sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-el,Achseln,Achsel,Achse,NN,http://www.dalmatiner-treff.de/Dalmatiner/Ausbildg.htm,76e0fbf4eec9eed2c0754d16437396a2b70a,76
-el,Achseln,Achsel,Achse,NN,http://www.rockundliebe.de/liebesgeschichten/liebesgeschichten_1074_zf.php,7e8465511a6d15d753f37bbbf90028ab685f,187
-el,Achseln,Achsel,Achse,NN,http://www.realschule-rheinmuenster.de/saekularisation/5.htm,dd97f3c4f9921a16eff1bf1217fe06cd32c4,47
-el,Achsel,Achsel,Achse,NN,http://www.karl-may-stiftung.de/wald/roeschen84.html,219517a516a1538c5f63cbf3b62dd7250e6b,180
-el,Achseln,Achsel,Achse,NN,http://www.schoeffling.de/content/buecher/leseprobe-369.html,9b201317aca7189931cc982ed94fb4e9afca,38
-el,Achseln,Achsel,Achse,NN,http://www.fantasyguide.de/465,e6664b1ad6dae4d147c114762766da5f63fa,66
-el,Glimmstängel,Stängel,Stange,NN,http://www.lambertus-apotheke.de/html/ohne_zigaretten.html,1490bf618b106386bd0836cfc41732384314,17
-el,Glimmstängel,Stängel,Stange,NN,http://bielefeld-blog.de/2008/07,78526c46f27921b4de4444ba8a0545bd46e7,34
-el,Glimmstängel,Stängel,Stange,NN,http://www.rauchfrei.de/nichtraucher-241.htm,425d81e5b48cb6e47e5b5c94fce65685f55d,6
-el,Glimmstängel,Stängel,Stange,NN,http://www.heilpraxisnet.de/naturheilpraxis/krebs-zeitpunkt-der-ersten-zigarette-entscheidend-12387.php,b8e2efb0200b0dc0b52371d5999114e896f5,22
-el,Glimmstängel,Stängel,Stange,NN,http://www.wengen-apotheke.de/gesundheit/artikel/682,9c76292384a55aa47d157aaf81e32b981569,3
-el,Flügel,Flügel,Flug,NN,http://www.wolf-herrmann.de/fenster_holz_alu_system_ahf100.asp,42114f330d358423d6d77b2b6e041ddbcf22,2
-el,Insektenflügeln,Flügel,Flug,NN,http://www.angler-online.de/angellexikon/angelbegriffe-nach-s_4672.html,ed643ecce97fa161cdf9a0ef0201b65948ae,205
-el,Flügeln,Flügel,Flug,NN,http://www.baerbelmohr.de/forum/allgemeines-f3/visionen-t5492.html,3143c7aa77ee51a08d143a417fc2bcad1406,71
-el,Kotflügel,Flügel,Flug,NN,http://www.lappenkeuler.de-n.de/autotest_2.html,d1794ffcca595812026c1ec9d388ac82f702,399
-el,Kotflügel,Flügel,Flug,NN,http://www.kadett-forum.de/archive/78077/thread.html,ebbf32b431fc6f81e8b15dcc846e0ec6a404,29
-el,Mühlenflügel,Flügel,Flug,NN,http://54146.dynamicboard.de/t741f38-Ruegenwalder-Muehle-bekommt-neues-Outfit.html,5ddaa0b6a230b4570b489bd14a2fe79f85fa,7
-el,Flügeln,Flügel,Flug,NN,http://mobile.chefkoch.de/rezepte/m1912541311689942/Ente.html,7c34e1ce7d6092b6061608982aba857b0631,3
-el,Flügel,Flügel,Flug,NN,http://www.henkelhaus.de/basteln_und_kreativitaet/basteln_zu_feiertagen/karneval_fasching/engelskostuem_basteln/index.html,1d584b7c45ce6d6843e172cf963afbb087e5,17
-el,Westflügel,Flügel,Flug,NN,http://www.kirche-neuengamme.de/index.php/kirchenmusik.html,84d3bfad863d7704de61b33b8b50b3373667,5
-el,Flügel,Flügel,Flug,NN,http://www.frettchen-community.de/archive/1529/thread.html,1f946f7d3ef03e48f7da5ef8e6d9d513665c,5
-el,Flügel,Flügel,Flug,NN,http://www.fc-altdorf.de/News/spielberichte_old_damen1_ber.htm,75e325639d2cd3f2ddc7bdff56dcabc2059d,114
-el,Flügel,Flügel,Flug,NN,http://www.schnullerfamilie.de/babyschwimmen/13687-welche-schwimmfluegel.html,6a25d09455366ac5b9c352aa5154b5b09c1e,12
-el,Flügels,Flügel,Flug,NN,http://www.ipmsdeutschland.de/FirstLook/Eduard/Kits/Fokker_E_V/Fokker_E_V.html,4910019f9ae6a7dc8d98d03273cb9362cbcd,2
-el,Seitenflügel,Flügel,Flug,NN,http://www.ghwrs-lauda.de/Glasdach%20Oberlauda%2005.htm,f8d84eff7da077aae189dff01ac8b43c2a3b,3
-el,Flügeln,Flügel,Flug,NN,http://dichterschwanke.di.funpic.de/christms.htm,41dd9d205b6be6f2a37291c146e74b15186c,389
-el,Seitenflügeln,Flügel,Flug,NN,http://www.fair-hotels.de/Reisef%FChrer/Bauwerk_nach_Stil/Klassizistisches_Bauwerk/Behnhaus.html,986bee700bdfc5b713237f18de16287f16b7,5
-el,Flügeln,Flügel,Flug,NN,http://lebensfreude.phpbb8.de/archive/t490.html,0376615b57698adfc09098c8d8da2e675805,59
-el,Flügel,Flügel,Flug,NN,http://www.omis-tips.de/braten/ente.html,3adbdb5123b79b14209c43406118f7f3ef97,6
-el,Kotflügel,Flügel,Flug,NN,http://www.celica-community.de/archive/index.php/t-6852.html,80e89c7f5ae78e1bf72c76c67a1c53690e3c,72
-el,Kotflügel,Flügel,Flug,NN,http://www.xmods-forum.de/der-boehse-rennstall--t3685.html,1b8a96fa32235e201815380eb1b2df70ca5c,7
-el,Flügel,Flügel,Flug,NN,http://www-imk.fzk.de/~kouker/flugphysik,241f7c1556138089fa2e92b67a6fa8cf38ba,22
-el,Kotflügel,Flügel,Flug,NN,http://www.aero-naut.de/produkte/flugmodellbau/flugmodelle/motormodelle/fournier-rf-4d.html,fd69981fa68879f056d5bae459c9964a1797,22
-el,Flügel,Flügel,Flug,NN,http://www.rhenania-buchversand.de/appDE/nav_subcategory--category--DEKO--skim--376.htm,007e6f9b19dc82b553e28114a6151dfbcb7f,32
-el,Flügel,Flügel,Flug,NN,http://www.bernd-leitenberger.de/buran.shtml,e76a7e56c973d7157b0059eb6e9b6c31471c,506
-el,Flügel,Flügel,Flug,NN,http://www.ennepetal.de/Wildbienenschutz.1869.0.html,d5d59cc62387a9685eb18fc9dd8687bfee9d,28
-el,Flügel,Flügel,Flug,NN,http://www.hydro-kosmos.de/libellen/lib01.htm,0a57d489d5ec96979fdf15e6226ccb0bb1a5,11
-el,Flügel,Flügel,Flug,NN,"http://linksohnezensur-bremen.foren-city.de/topic,104,ce12bbdcb99fa36a3d3fbdee0648f273,-keine-sozialistische-alternative.html",14635ff4e519ecd21b4bab114e23d5492e45,130
-el,Kotflügel,Flügel,Flug,NN,http://dotasource.de/dota/spielmechanik/dota-spielmechanik/14772-was-wirkt-auf-haunt-mantaimages/?s=d9567f2a3ed8071244999af55c9899facaff18d1,5a8187ca48b055ee275b682bbf7a9bd325d9,47
-el,Flügel,Flügel,Flug,NN,http://www.schmuck-anhaenger.de/Schmuck-und-Anhaenger-Uebersichtsseiten-01/Schmuck-und-Anhaenger-Himmlische-Objekte-0001.html,3d54bd797abd86582e4cdfbe3c7a1fe250c5,2
-el,Flügel,Flügel,Flug,NN,"http://linksohnezensur-bremen.foren-city.de/topic,104,ce12bbdcb99fa36a3d3fbdee0648f273,-keine-sozialistische-alternative.html",14635ff4e519ecd21b4bab114e23d5492e45,40
-el,Flügeln,Flügel,Flug,NN,http://www.oai.de/de/publikationen/oai-blog/61-ostasienlexikon/ppp/1828-praefekturen.html,0d4435ab796803aade7d31a87cd4a32d8420,110
-el,Flügel,Flügel,Flug,NN,http://www.koelnklavier.de/kuriosa/moszkowski.html,9f247ca7deda7d40c5543242f95ac53f4c27,5
-el,Fluegel,Flügel,Flug,NN,http://fotowelt.chip.de/k/community/interessengemeinschaften/naturfotografie/hoeckergans/635139,f3f1629af076e4a6432ac66868dd82983596,1
-el,Fensterflügel,Flügel,Flug,NN,http://www.gabler-bayreuth.de/content/produkte_verdunklungsrollo.htm,0fd4954134094a356ee97aaef98e201650d5,43
-el,Schwimmflügeln,Flügel,Flug,NN,http://www.tsv-altenwalde-basketball.de/startseite/ueber-uns/tsv-report/tsv-report-01-2011/schwimmen.php,b3516640bef20c72d57aaa690a09942650a1,19
-el,Mühlenflügel,Flügel,Flug,NN,http://www.hallo-wippingen.de/_news/2006/09/heimatverein/index.html,1146a023f77bc791b65fe246ed6b66b7904f,15
-el,Tragflügel,Flügel,Flug,NN,http://www-imk.fzk.de/~kouker/flugphysik,241f7c1556138089fa2e92b67a6fa8cf38ba,29
-el,Flügel,Flügel,Flug,NN,http://www.friedhelm-doehl.de/pages/texte_04.html,bbcc3c9c61e09d326911d1a92cf6e327e041,81
-el,Konzertflügel,Flügel,Flug,NN,http://www.tidal-audio.de/deutsch/faq.htm,6109baed471ae62935806bf70d027f58771d,60
-el,Flügel,Flügel,Flug,NN,http://www.rc-network.de/forum/archive/index.php/t-72100.html,002753294bffaa51a4220975620ebc962b1e,358
-el,Seitenflügel,Flügel,Flug,NN,http://www.architektinnen-fuer-k21.de/aktuelles/news-detailanzeige/eintrag/81,554f93a4320936577a274005be17e556f0f3,10
-el,Flügel,Flügel,Flug,NN,http://www.guitarmaniacs.de/cgi-bin/gallery.pl?sort=all%26%26id_category=1%26id_brand=82%26id_type=8,998e4775fca63cf80c0e4e98f817a4b25c5f,6
-el,Fensterflügel,Flügel,Flug,NN,http://www.baunet.de/news001/index1780.html,ddefad0247a21ea70bf189f6aff77685cc37,14
-el,Flügel,Flügel,Flug,NN,http://mitglied.multimania.de/horstweyrich/anastasia.html,e823f655d8f21d6791edc7aed46d196332a3,672
-el,Flügel,Flügel,Flug,NN,http://sportforen.de/archive/index.php/t-35494.html,b9101b7c14bb4d768a658465f43bf13678ac,23
-el,Flügel,Flügel,Flug,NN,http://www.bbcoach.de/wp/transition-defense-unterzahl-1-2-2-3-3,fd31caa9319db7ccde4540c868865189575d,7
-el,Flügel,Flügel,Flug,NN,http://www.ralfgroeseldesign.de/parasailor.html,934c0c68c5c0e3beeef1a3a7463e0fa6f437,29
-el,Flügels,Flügel,Flug,NN,http://www.alexander-schleicher.de/Neuigkeiten/aktuell_105.htm,7d51ba06c2ea63fd43c092ddadac45aafd40,8
-el,Flügel,Flügel,Flug,NN,http://www.koelnklavier.de/texte/komponisten/gottschalk.html,a5c6cf5f293a6233f69cebafd36e9a7ef3d0,27
-el,Flügel,Flügel,Flug,NN,http://www.werbeblogger.de/2008/04/24/dove-im-fadenkreuz,e0fe8746d4a374663f97879f421b647f89ee,62
-el,Türflügel,Flügel,Flug,NN,http://www.david.juden.at/kulturzeitschrift/76-80/80-gamliel.htm,01c8d985d48918633fadfbef851d9e81f6b2,120
-el,Flügel,Flügel,Flug,NN,http://www.friedhelm-doehl.de/pages/texte_04.html,bbcc3c9c61e09d326911d1a92cf6e327e041,39
-el,Flügel,Flügel,Flug,NN,"http://linksohnezensur-bremen.foren-city.de/topic,104,ce12bbdcb99fa36a3d3fbdee0648f273,-keine-sozialistische-alternative.html",14635ff4e519ecd21b4bab114e23d5492e45,128
-el,Flügel,Flügel,Flug,NN,http://www.brieftaube.de/web/index.php?view=article%26id=180%3Ajungtauben-ks%26option=com_content%26Itemid=81%26lang=en,24b0ade9327a8364b6574880fffb36b0a3af,27
-el,Nasenflügel,Flügel,Flug,NN,http://www.bodfeld-apotheke.de/produktkategorien/medikamente/mund/nisita.html,21abcf1edef42397b4226feeaccea9ca70b6,26
-el,Flügel,Flügel,Flug,NN,http://www.leo-spik.de/aa/porz.html,f1b3518b0ec8bba22fe5a4dbd12e8f1e129d,223
-el,Kotflügel,Flügel,Flug,NN,http://www.celica-community.de/archive/index.php/t-6852.html,80e89c7f5ae78e1bf72c76c67a1c53690e3c,91
-el,Flügel,Flügel,Flug,NN,http://f1-game.de/forum/allgemeines/1508-der-verstellbare-heckfl%C3%BCgel-%C3%BCberholhilfe-oder-gefahr-f%C3%BCr-die-fahrer,1cb416408ccf3a5f3cc8354a11e974039736,36
-el,Türflügel,Flügel,Flug,NN,http://www.david.juden.at/kulturzeitschrift/76-80/80-gamliel.htm,01c8d985d48918633fadfbef851d9e81f6b2,102
-el,Flügel,Flügel,Flug,NN,http://www.llbbgd.de/Juni07/Seite7.html,fa34541586add493ec43fa1f9cad78b5a4c6,4
-el,Flügel,Flügel,Flug,NN,http://www.glastroesch.de/newsmedien/mitteilungen-detail/news/Pressemappe%20BAU%202003-528/4734.html,35a6523c55d7faee578cc3383e4e77695b05,43
-el,Mühlenflügel,Flügel,Flug,NN,http://54146.dynamicboard.de/t741f38-Ruegenwalder-Muehle-bekommt-neues-Outfit.html,5ddaa0b6a230b4570b489bd14a2fe79f85fa,11
-el,Flügel,Flügel,Flug,NN,http://www.u-s-f.de/ol_gegner_zerg.htm,c95517dc89d11f053615c1715e36279f9d1e,49
-el,Schwimmflügel,Flügel,Flug,NN,http://www.schnullerfamilie.de/babyschwimmen/13687-welche-schwimmfluegel.html,6a25d09455366ac5b9c352aa5154b5b09c1e,8
-el,Flügel,Flügel,Flug,NN,http://www.umbruch-bildarchiv.de/bildarchiv/foto1/indien93b/pages/1203s.htm,0672f5be2681be04ba22e2210d727137c9c3,4
-el,Flügel,Flügel,Flug,NN,http://taz.de/!88607,447c5ce72a2deee0565c9b834703b4e7472e,274
-el,Flügel,Flügel,Flug,NN,http://www.fluxfm.de/aktion/bermuda-die-berlin-music-days,2b8d15ff314656088f49f0a273a64d33d24a,85
-el,Flügel,Flügel,Flug,NN,http://www.h1701.de/kalifsto.htm,e9332622f408c3b6329282bd3dc9dd05ca12,131
-el,Flügel,Flügel,Flug,NN,http://forum.gofeminin.de/forum/f582/__f93_f582-Echte-Manner-tragen-Rocke.html,2c4013c8400cd813001f7d939887f028fd35,29
-el,Flügel,Flügel,Flug,NN,http://www.deutsches-architektur-forum.de/forum/archive/index.php/t-7465.html,f8a08d2e46c314fcd323c9657ce0ac7e12ec,810
-el,Seitenflügel,Flügel,Flug,NN,http://www.architektinnen-fuer-k21.de/bausteine-zu-k21/bonatz-bahnhof/denkmal-ohne-schutz,11ccd0d84cbb5d4bf2f5e900c58e1d67f92b,30
-el,Flügeln,Flügel,Flug,NN,http://www.museen-esslingen.de/papier_in_bewegung.htm,9a3b44586934d916bd0fbb593bdbddc7f29e,3
-el,Königsflügel,Flügel,Flug,NN,http://www.godesbergersk.de/mannschaften/saison10-11/gsk4/bericht_R4.html,991c9d982362ee81817c8c3a2ce3450cec82,33
-el,Flügel,Flügel,Flug,NN,http://forum.deine-tierwelt.de/archive/index.php/t-23328.html,9d9a60138237c82fd081812a1150f453ae44,2
-el,Flügel,Flügel,Flug,NN,http://www.joapet.de/44.html,49605b3105a4f40dc3a0f51d637f2f9ff681,178
-el,flügel,Flügel,Flug,NN,http://www.brainstormboard.de/board/archive/index.php/t-69372.html,fdfd1dc742a4869eac7989b4aba7f0064b25,15
-el,Südflügel,Flügel,Flug,NN,http://www.architektinnen-fuer-k21.de/print/fotos/fotos-vom-882011,28e3bd284778f94155f5843d963a1376c46b,92
-el,Flügels,Flügel,Flug,NN,http://181209.homepagemodules.de/t535f6-USA-ein-Vorbild-fuer-Europa-9.html,6dc847cf84ced21e5184c0aa6c72d4bca66b,120
-el,Kotflügel,Flügel,Flug,NN,http://www.veni-vidi-vici-vespa.de,ce97d40ab073e1590ce507de60dd9d7d131b,57
-el,Bechstein-Flügel,Flügel,Flug,NN,http://www.schloesserland-sachsen.de/de/schloesser_burgen_gaerten/schloesser/schloss_klippenstein,724f41768fd19288a132ade792222f39d9ad,12
-el,Flügels,Flügel,Flug,NN,http://www.inprekorr.de/372-spd.htm,1dc52b36ad9c25aca4e2af2989a61db6f2a5,172
