sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-end,Interessender,Interessend,interessieren,VVINF,http://asta.uni-paderborn.de/themen,d6955fc94466b2753dcfbdc40a7d081d9763,7
-end,Produzenden,Produzend,produzieren,VVINF,http://www.rc-heli.de/board/archive/index.php/t-6369.html,8981d85961bbd90c6e7e4f9d8c8b316605b8,72
-end,Regendes,Regend,regieren,VVINF,http://www.bibelkreis.ch/forum/frage40.htm,4018f5fedcc7d3108711e6793c3a80c30074,35
-end,Blockenden,Blockend,blockieren,VVINF,http://zk.mtg-forum.de/archive/index.php/t-6971.html,58faf1c00a0c82549bd120a032dea50f5994,5
-end,Kurenden,Kurend,kurieren,VVINF,http://www.hihawai.de/TravelMag/815/Kalari+Kovilakom.htm,3e83750aa56cf2699a880acfc452c7cea9ec,28
-end,Promovenden,Promovend,promovieren,VVINF,http://uni.uni-hamburg.de/Wissenschaftler/faelske-preis.html,9ec487bcd23dbe4def7c819c4811cae03efc,4
-end,Promovend,Promovend,promovieren,VVINF,http://agiw.fak1.tu-berlin.de/Cricetus/SOForum/KritPOE.htm,ffee50c9d068c895ebd7198cc1f4b8e59d17,21
-end,Promovenden,Promovend,promovieren,VVINF,http://www.uni-kassel.de/fb14/dekanat/Promotionen.html,e12b3610a0802cd7195b26a1b9c12d5341d8,40
-end,Promovenden,Promovend,promovieren,VVINF,http://www2.uni-erfurt.de/presse/archiv/pressemitteilungen/2007/doc/schavan_besuch.htm,8ace41a0073097d33e5467babd69c0f9736c,19
-end,Promovenden,Promovend,promovieren,VVINF,http://www.uni-due.de/de/studium/international.php,4da0c3fd4a6ef170bdd7520dc71e8b0e3a88,9
-end,Promovenden,Promovend,promovieren,VVINF,http://www.alumni.uni-potsdam.de/portal/feb07/uniaktuell/graduiertenschule.htm,5d6b4c2b96ce6caaed7aa2b1035f8b03f584,5
-end,Promovenden,Promovend,promovieren,VVINF,http://www.dresden-forscht.de/impulse.html,092abab47608ee50d016865f7898e7863528,4
-end,Promovenden,Promovend,promovieren,VVINF,http://www.mpg.de/speedinforming,959779af4c0d72a22f4d993562e06e2edb52,3
-end,Ehrenpromovend,Promovend,promovieren,VVINF,http://www.cs.uni-magdeburg.de/Die+FIN/Infos+zur+FIN/Geschichte/2000er.html,12fef0e491413369605e49500491ed4c07f6,209
-end,Promovenden,Promovend,promovieren,VVINF,http://www.leipzig-medizin.de/forum/archive/index.php/t-7723.html,aab96dabfd36747e6b98b5024241a10854c5,3
-end,Promovenden,Promovend,promovieren,VVINF,http://www.duz.de/docs/artikel/m_11_11anreize.html,40fd1d25c18060c12ffb72abff3940314570,12
-end,Promovend,Promovend,promovieren,VVINF,http://www.eul-verlag.de/shop/eul/index.php?page=detail%26match=LISA_NR2=009B,0e6306287e8becd5c35a66b680fd5f4fe054,14
-end,Promovenden,Promovend,promovieren,VVINF,http://www.math.uni-magdeburg.de/publ/jahrber/1998,028509ed79e144f43ebb46089725eef8bd18,227
-end,Promovend,Promovend,promovieren,VVINF,http://www.sciencegarden.de/content/2005-02/%E2%80%9Efast-forward%E2%80%9C,fd9bbecb36aa90a75c955cf018e56fc6c54f,35
-end,Promovend,Promovend,promovieren,VVINF,http://www.bvaag.de/umziehen-neuenstadt-am-kocher.html,94645be06a67505d870492a5f1dd85ac75f2,50
-end,Promovenden,Promovend,promovieren,VVINF,http://www.fh-duesseldorf.de/a_fh/e_forschung/c_forschungsfoerderung/bundland,b8f3a2f5919b3bd583fc815276d7d4993796,6
-end,Promovenden,Promovend,promovieren,VVINF,http://www.rd.rub.de/plasma/news/2011/news00031.html,11866e71df482748573dcd700ef424af9ef8,19
-end,Promovenden,Promovend,promovieren,VVINF,http://www.uni-paderborn.de/mitteilung/34012,1fc4afb9bbbea82a684ef31bf8aff270d386,4
-end,Promovenden,Promovend,promovieren,VVINF,http://www.uni-bamberg.de/guk/promotionsausschuss/allgemeine-informationen-und-formulare-zur-promotion/sonderfaelle,78092d79039d02a602c71e232c61dcaedcd9,14
-end,Promovenden,Promovend,promovieren,VVINF,http://www.lto.de/autoren/name/-f1104fef79,84f42f6ca197f95502038de6fb7403698e8c,5
-end,Promovenden,Promovend,promovieren,VVINF,http://www2.uni-frankfurt.de/39890622/fb06?legacy_request=1,35eabd70790236ef6e2b8a7baf872cda5404,11
-end,Promovenden,Promovend,promovieren,VVINF,http://delete129a.blogsport.de/2007/08/13/aamazone-lieber-weniger-pathos-und-mehr-argumente,b66ad850f0bca070908ae99fb2dfe49a8a57,68
-end,Promovenden,Promovend,promovieren,VVINF,http://www.wiwi.uni-muenster.de/fakultaet/medien/pressearchiv/ws12/index.php,c8ab2ff87e634543aac799a668e48e828073,63
-end,Promovenden,Promovend,promovieren,VVINF,http://www.institutfrancais.de/berlin/hochschulen-1416/?niv1=1870%26niv2=3724,8d42510be8b6f748291d3b9199d287adc3a0,19
-end,Promovenden,Promovend,promovieren,VVINF,http://www.alumnite.de/mentoring/index.php,0eb2d5e87707af79d6465770e8ea1dfaddf8,11
-end,Promovend,Promovend,promovieren,VVINF,http://www.architektur.uni-stuttgart.de/lehre/promotion/organisation,46f5b5c89b4747c0ea410e2a3589f48843ee,12
-end,Promovenden,Promovend,promovieren,VVINF,http://www.an-morgen-denken.de/tui/04mai/ips.htm,61694c74bf6e18b2e80ae84e811f8ae31be5,11
-end,Promovend,Promovend,promovieren,VVINF,http://www.duz-wissenschaftskarriere.de/de/karriere/forschung,bf919c0ebd33d8670c727ddfc1471f7bafae,482
