sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.operundtanz.de/archiv/2008/02/portrait-kinderoper-stein.shtml,840bada7a2faa68f6a47b0fb05765c52a7a9,25
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.travemuende-aktuell.de/aktuell/nachrichten_14734-Sonderkonzert_des_Passat_Chores_im_Industriemuseum_Geschichtswerkstatt_Herrenwyk.htm,3dbfcd0d7d2e75f672494c0bd42d74e0cca5,4
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.theschool.de/dozenten/dozenten,394e0f7ca5833a3b0dfcc5dd49c249c3384d,274
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.kunstfabrik-schlot.de/index.php/programm/next-month/event/36-ralf-krebs-g-a-special-guest-perc.html,350202c83e2b731fd26e3ff79bfc01cefddb,24
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.bilderbuch-muensterland.de/2010/11/roland-berens-live-in-bocholt,58e9371f45dbe54f24085024a07826577f47,27
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://2006773.homepagemodules.de/t508725f11783470-Welches-Sinatra-Album-hoert-Ihr-am-haeufigsten-2.html,41ef8d882a50dbed96828e9b5d972ad93dbc,23
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.michaelsattler.de/jazz-standards/biografien/victor-young.html,4aac7bc6ce6907850b33c478eb24efe028cd,1
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.scheuss.de/htm/news.htm,42a121c49679ae9fc3f6db2bd433e9884409,142
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.literaturhaus-nuernberg.de/autorenseiten/blaue%20nacht_2010.htm,d78a71e27a66225d65597b2ce09796058064,1
-eur,Arrangeur,Arrangeur,arrangieren,VVINF,http://www.musik-druener.de/Sonderliste_Autographen_Varia2.html,5896363525814c9dd28db46da2f35da51a92,77
