sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ismus,Metamagnetismus,Metamagnetismus,Magnetik,NN,http://wiki.diealternativen.de/Magnetfeld.html,9be76b26b2fb11706d46fc29237bbfc6fcc0,107
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.nachtwelten.de/vB/history/topic/37848-1.html,d2ec5ee3a4996d60d07705134be46a09f88d,73
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.x-athlon.de/forum/archive/index.php/t-10046.html,166bc931005fc1b3fae3effe292df7bf0190,732
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.nachtwelten.de/vB/history/topic/81471-3.html,1ddeecdba94289c5800e67bc0fa034b10b4c,680
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.schroubek-fonds.volkskunde.uni-muenchen.de/projekte/abgeschlossene/altruismus/index.html,4aa25ab65f22fcb6a4b84bf97968ab7e2daa,16
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.hausarbeiten.de/faecher/vorschau/103468.html,670c3f1481800dcef0f25d9bb75881fb64a4,139
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.inst.at/trans/17Nr/2-9/2-9_beneder17.htm,4b35579e814d23c76af672cd1fed4a082566,109
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://aufzeichnungen-eines-gutmenschen.blogspot.de/2012/11/mein-evangelium.html,1b3ef41782d4209c54578770be4d72e8774a,113
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.miz-online.de/node/146,1fb6c4430c00e8652e515ca32cee6ab0d7c8,70
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.recenseo.de/artikel/artikel.php?aid=0158-kiesow-naturwissenschaften-kulturwissenschaften,ea6e4e662bc9534a131a0a0fe0b1141ac3c5,82
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.lohengrin-verlag.de/arfst/artikel/Roszak.htm,06a192cef3a42abeb40c7457f66676b78839,152
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://aufzeichnungen-eines-gutmenschen.blogspot.de/2012/11/mein-evangelium.html,1b3ef41782d4209c54578770be4d72e8774a,120
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.religio.de/froebel/sci/s21.html,9bfa0cc59f156205f0517e35281a5e294791,50
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://weblog.hundeiker.de/item-2996.html,aadef3518c1555674b5afffa1848ddebe837,50
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.ondamaris.de/?p=17671,09dbd4d7c26e1adcf52367f01811814a571a,9
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.nachtwelten.de/vB/history/topic/37848-1.html,d2ec5ee3a4996d60d07705134be46a09f88d,111
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.tierrechts-foren.de/archive/index.php/thread-1511-11.html,c31a03a32f9856073bbf98b8767923d958c7,30
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.familienhandbuch.de/kindliche-entwicklung/entwicklung-einzelner-fahigkeiten/wahrnehmung-und-lernen,5de45c0ff213ba2007fd98491418bef27a68,180
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.rpi-loccum.de/anthropo.html,f5a7872817dd345513f9e976e267f7deaae2,100
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.kinderschreie.de/forum_disk/index.php?id=18438,656b8eb1e715e55159df7df80851ab0008ea,26
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.laitman.de/category/entwicklung,032d76c556ece8f54b9f9589849af8207482,64
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.berufsberatung.ch/dyn/2558.aspx,39302730b7337c7b898989473ec34345061e,11
-ismus,altruismus,Altruismus,altruistisch,ADJ.,http://www.oxybrain.de/archive/index.php/t-59101.html,96a56bc819da980f0b92daa10221e9d6970c,192
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.stangl-taller.at/ARBEITSBLAETTER/EMOTION/Aggression1.shtml,b133323351e7aa5caaf0b52418f0b90159b4,55
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://aufzeichnungen-eines-gutmenschen.blogspot.de/2012/11/mein-evangelium.html,1b3ef41782d4209c54578770be4d72e8774a,109
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.dkp-online.de/internat/afrika/angola/40480901.htm,4dfa091e86095d856b4882c67ffed78117e8,57
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.pius-vom-allgaeu.de/Besonderes.htm,5efde666ee70067cac8c1b5c21a1a6292ace,5
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.stpaul-offenbach.de/seiten/philipp.html,09839eeb22c4f5767953ed366f236b3d0945,19
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.recenseo.de/artikel/artikel.php?aid=0107-tscherner-nietzsche,1c0da150b1debfbc4708fd6cb1fb447e9613,138
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.single-generation.de/kritik/rez_eva_gesine_baur_eine_kleine_philosophie_der_liebe.htm,b0d730ea4ea73575d2b4c714cf0d90f12068,76
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.eckhartarnold.de/german/philosophy.html,8457042d97c4e98ad9d3643b703dbc75335f,62
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.gulp.de/kb/mk/arbeitsmarkt/umfragesoftwarepatente.html,d1e9f128b62133cd4be9ab97ad09c5a0f2e9,38
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.traditionelles-yoga.de/swami-sivananda.htm,15eea440ae80c5a00f4ffa1e106ff0bbccca,77
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.dreigliederung.de/news/07010502.html,0592b78951d02ea0e57f89c99876295bbe36,34
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.cyberfahnder.de/nav/them/straf/basar.htm,346810b586012ef294aefde7e01293d0fc7a,103
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.nordlicht.uni-kiel.de/table/online-publikationen/4.1-energie,53fdfa252debebb69dc68a8122ca142c1194,9
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.hausarbeiten.de/faecher/vorschau/103468.html,670c3f1481800dcef0f25d9bb75881fb64a4,128
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.utopia.de/magazin/muss-die-wirtschaft-ewig-wachsen-1-meinhard-miegel-im-interview-wirtschaftswachstum-ist-ein-flachwurzler,61e2db009b90328b0cd9e55fb8bf50eca71a,76
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.vorspeisenplatte.de/speisen/2005/04/veranstaltungshinweis-morgen-theresienwiesen-flohmarkt.htm,7e5420a7b2d84e58ef2d8fdedf9e9836bba9,3
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.schroubek-fonds.volkskunde.uni-muenchen.de/projekte/abgeschlossene/altruismus/index.html,4aa25ab65f22fcb6a4b84bf97968ab7e2daa,2
-ismus,Altruismus,Altruismus,altruistisch,ADJ.,http://www.sprengsatz.de/?p=4128,b3c78c5272e2332b39ff589258c68496cb49,967
-ismus,Anachronismus,Anachronismus,anachronistisch,ADJ.,http://www.leitmedium.de/2013/03/10/uber-totholzmedien,53312076286d181490106d065dc709f5bf6d,9
-ismus,Anachronismus,Anachronismus,anachronistisch,ADJ.,http://www.friedrichshainerschule.de/schulpause.htm,c37ba265681bd329602f66976571e69d7973,84
