sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ist,Antitheist,Antitheist,Theismus,NN,http://www.scifi-forum.de/off-topic/off-topic-allgemein/9007-gl-ubig-ansichten-religion-en-122.html,1a42f6812b78a8e2499d7cbc7ffa945bb593,506
-ist,Akademisten,Akademist,Akademie,NN,http://www.ub.uni-bielefeld.de/diglib/aufkl/browse/adb/21779.html,0e7e0e2e8f7efd346ff248173918961b3f90,190
-ist,Netzaktivisten,Aktivist,Aktivismus,NN,http://claudia-klinger.de/archiv/glueck/w3werbung.htm,f124b65a666d9afd2d22d3b6dd68b5f21ca4,65
-ist,Greenpeace-Aktivisten,Aktivist,Aktivismus,NN,http://archiv.16vor.de/index.php/2009/07/07/das-kraftwerk-kommt,bc72eda82164df4a6357e8b601937386a09e,43
-ist,Aktivist,Aktivist,Aktivismus,NN,http://www.triller-online.de/f0071.htm,b3da40450f08d5702bc96f4e57bb3325e039,45
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://4woche.blogsport.de/2010/07/22/der-kommende-aufstand,591a73cb03d09942f8e278fcfd8466ca56ce,1032
-ist,Aktivist,Aktivist,Aktivismus,NN,http://www.bei-abriss-aufstand.de/2011/07/24/knasttraining-was-soll-das,65eade2cb89e1391b18bc4620f85a6c4a2a1,18
-ist,Oppositionsaktivist,Aktivist,Aktivismus,NN,http://www.ag-friedensforschung.de/regionen/Kuba/kampagne2.html,86f2acba5d6e62334617313ef7a34e7c81e4,5
-ist,Aktivist,Aktivist,Aktivismus,NN,http://www.pharus-forum.de/t763f4-Politiker-international.html,aeaba5b609b73c520f58d0d75e54ccc837b4,15
-ist,Politik-Aktivisten,Aktivist,Aktivismus,NN,http://nuklearia.de/2013/04/23/antientrope-internationale,1e0c8e3cd91c614cb80aecf3fbbd02ee4450,20
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://www.l-talk.de/feuilleton/familie-merkel-beim-csd-und-andere-traume.html,bdfa83656444aabac5b484db58a7381f7b13,3
-ist,Parteiaktivisten,Aktivist,Aktivismus,NN,http://www.lebenshaus-alb.de/magazin/001857.html,d38700b91843beed4edc04919454e4865648,82
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://www.ondamaris.de/?p=27318,0f0047696551d925c81885859e4ba3d64715,10
-ist,Aktivist,Aktivist,Aktivismus,NN,http://www.bongards.gmxhome.de/preis.html,3d042abc5262c98c1a9b0f15f92464534a6c,155
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://www.zeitenblicke.de/2004/01/speth/index.html,e74fa95d4765424cbe582b47ded26ae91388,213
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://www.iivs.de/schwinde/vereine/trimondi/NewsApo/NewsApo2006.I.htm,233d5c0bfcf742f75d1373c2caad65cbd85d,805
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://www.jewish-life.de/kesher/weltrundschau.htm,36732d6b53c0cce1fd5c8fa6c716abe359e6,80
-ist,Aktivisten,Aktivist,Aktivismus,NN,http://rs92a.forumup.de/about398-150-rs92a.html,4c9a3c7b1a5721df5c71ed448dd390d2f7bb,53
