sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-ität,Ambiguität,Ambiguität,ambig,ADJ.,http://www.uni-ms.de/Religion-und-Politik/aktuelles/2010/sep/News_Tagung_Ambiguitaet_Interdisziplinaritaet.html,e6611eaf843eb38685641d63b36d3493dfc7,41
-ität,Amoralität,Amoralität,amoralisch,ADJ.,http://www.volksmund.ruedenauer.de/Neuigkeiten/body_neuigkeiten.html,e83fcf67cbfa7034723845f036ad821fe68e,356
-ität,Diskontinuitäten,Diskontinuität,diskontinuierlich,ADJ.,http://www.ifp.bayern.de/projekte/laufende/fthenakis-bep2.html,a6bca292527fbe8dc060321eed6db8358ba9,30
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.dispensationalismus.de/kontra-argumente.htm,e3fdbbe9f78400252e894c9a1b577c809830,17
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.dispensationalismus.de/kontra-argumente.htm,e3fdbbe9f78400252e894c9a1b577c809830,68
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.glasnost.de/autoren/krauss/regfun.html,912b87374dffc268d20d1bd4fd6c3a044b99,73
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.stefan-matthias.de/Christentum%20und%20Buddhismus/Der%20spirituelle%20Weg%20bei%20Meister%20Eckhart%20und%20im%20Zen-Buddhismus%20Teil%201%20-%20Der%20weglose%20Weg.htm,e859db92fac082b45ed257fa64dc98a94a1b,59
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.dispensationalismus.de/kontra-argumente.htm,e3fdbbe9f78400252e894c9a1b577c809830,23
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://www.petertepe.de/mim/editionMIM/a05_pt_meth2/pt_meth2_73.htm,2590baceb233212c83d4dcf87984d57bdd48,397
-ität,Diskontinuität,Diskontinuität,diskontinuierlich,ADJ.,http://blog.beck.de/2009/07/30/netzsperre-gegen-kinderpornografie-tritt-vorerst-nicht-in-kraft,3fd2b324a76d08f1a069b7814b7ba64f7d8a,91
-ität,Diskontinuitäten,Diskontinuität,diskontinuierlich,ADJ.,http://www.verwaltung.uni-wuppertal.de/forschung/1996/fb13/hansen04.html,1d7ad29ccd1fa3dc27ededcbe7181f719b3e,11
-ität,Familiarität,Familiarität,familiär,ADJ.,http://www.edition8.ch/buch/lamento/?fav-post=476,eb51cf7694230df67dee147454a74531ef2a,88
-ität,Generosität,Generosität,generös,ADJ.,http://www.hensche.de/Arbeitsrecht_Kenntnis_des_Betriebsverauesserers_von_einer_Schwerbehinderung_ist_dem_Erwerber_zuzurechnen_BAG_2AZR395-07.html,8d222f710739badac16eb2fda4aa016f31df,52
-ität,Identität,Identität,identisch,ADJ.,http://www.heilbronn.de/bue_rat/presse/pm_08/02_08,f314f8b640a433b46d0cf53b9e95fe134713,25
-ität,Identitäten,Identität,identisch,ADJ.,http://www.uniklinik-duesseldorf.de/index.php?id=19364,254c75a20544bead06318db1be5a0efb1768,43
-ität,Identität,Identität,identisch,ADJ.,http://www.petertepe.de/mim/editionMIM/a05_pt_meth2/pt_meth2_73.htm,2590baceb233212c83d4dcf87984d57bdd48,198
-ität,Identität,Identität,identisch,ADJ.,http://www.uni-leipzig.de/herder/projekte/alpha/frames/main4.7.htm,cb6673bb9f74d3b3956d0bd99793e9629c80,89
-ität,Identitäten,Identität,identisch,ADJ.,http://www.presse.uni-oldenburg.de/uni-info/2001/9/promo.htm,c13432363054cfcb67aa94f2afa4b76e4f3f,10
-ität,Doppelidentität,Identität,identisch,ADJ.,http://www.proasyl.de/lit/classen/eckpunkte1a.htm,13bd5ea69e7e0a4dc726728ed41421945175,470
-ität,Identität,Identität,identisch,ADJ.,http://www.hnb-verlag.de/badisch-gschwaetzt.html,c7ad8297bd493b61cbebc4118d4f70453bf0,7
-ität,Identität,Identität,identisch,ADJ.,http://home.bn-ulm.de/%7Eulschrey/roth/bodenlos.html,d9b359cffd003c172d48ebf3ea74d6976a07,22
-ität,Identität,Identität,identisch,ADJ.,http://www.uni-potsdam.de/ls_poltheorie/frame_publikationen/reihe_rne.html,4611cb82029c633b343035c6c0370a3e90a6,47
-ität,Identität,Identität,identisch,ADJ.,http://www.ikforum.de/archiv/archiv_sanspapiers_situation_sanspapiers.htm,ebea3e0cf59afec42239534c065e963c65a8,88
-ität,Identität,Identität,identisch,ADJ.,http://www.recenseo.de/artikel/artikel.php?aid=0123-bordat-krumpel,499d7b8a9374c19b98a3534c69e160eee9d1,4
-ität,Identität,Identität,identisch,ADJ.,http://steine.helga-ingo.de/2008/06/27/walhalla,21ab7c8d96ccfa658d5b27352866b36363b0,15
