sfx,word,lemma,base,base_pos,doc.url,doc.id,s.idx
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.gesundheitsinformation.de/grippe-helfen-antivirale-grippemittel-und-welche-nebenwirkungen-haben.322.ru.html,588b45ae24f247e9e90987f154a7567adcca,70
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://archiv2.randzone-online.de/rand/rand080500.htm,b42ff2a50c1793360fe187c00ee509b21317,24
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.marburger-bund.de/mb-zeitung/mbz2011/mbz08-11/05.php,363d97f833da2a933272df406de70852b80e,10
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.haeverlag.de/proto/archiv/n0502_10.htm,9eb4f1a52126468879017e56ca0422562754,41
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.seniorentreff.de/koeln/SterbenTod/tod16.htm,8b2017e47b528d125d1ea1f059df15e039a9,52
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.humboldt-forum-recht.de/deutsch/1-2010/beitrag.html,ebe1fad49d5cc9cfd6769b55fe4a14a31cd3,210
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.haeverlag.de/proto/archiv/n0502_10.htm,9eb4f1a52126468879017e56ca0422562754,1
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.frauengesundheitsportal.de/aktuelles,08714a3bc54bd94c2562019a4731dfbff4f8,336
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.puempels.de/Fotogalerien/Bestof1.html,64c13d4608e912519d14115585870b085e96,8
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.der-arzneimittelbrief.de/Jahrgang2005/Ausgabe03Seite23b.htm,cd02b2148706160f164611001571902ad2ce,14
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.erdstrahlensuche.de/geschichte.php,f7dc5b43214b3aea6d952d0709ece8102fb9,47
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.heilpraxisnet.de/naturheilpraxis/start-der-elektronischen-gesundheitskarte-20110.php,65c66f972c5abcc03bce224bf4c76a2597ff,41
-schaft,Tierärzteschaft,Ärzteschaft,Arzt,NN,http://www.hfwu.de/de/3flus/professoren-homepages/prof-dr-albrecht-mueller/publikationen-praxis.html,071f2919cc7cce51ded6e19d512ceb2c8e56,17
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://blog.zeit.de/schulblog/2010/06/12/pisa-papst-gegen-primarschule/comment-page-2,208a1cb72d20bcb0fa915fd4b4077be2c236,351
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.dgsuchtmedizin.de/newsletter/fruehere-ausgaben/dgs-info-ausgabe-15-september-oktober-2007,67bef8b9fb7f44486634236ae1af3318279c,173
-schaft,Ärzteschaft,Ärzteschaft,Arzt,NN,http://www.praevention.at/news/index.php/action.view/entity.detail/key.200/nav.6/view.29/level.2,7a8def9933384cdec8d35fed060048e09b12,1
-schaft,Autorenschaft,Autorenschaft,Autor,NN,http://www.kanzlei-andresen.de/index.php/publikation/items/grosszuegige-handhabung-der-anforderungen-an-eine-unterschrift-bgh-beschluss-vom-27-september-2005-az-viii-zb-10504.html,685628da0719bae9d785fde7119d3613108c,9
-schaft,Autorenschaft,Autorenschaft,Autor,NN,http://www.der-arzneimittelbrief.de/Jahrgang2002/Ausgabe03Seite22c.htm,ab3a3d87e20244f4fc7237ef32eebf5ec108,33
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://www.schuetzenverein-graes.de/der-verein/der-vorstand-des-schuetzenvereins-graes.html,76d32a19605bae852906eeab9b872f7cec31,24
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://pagentorn.de/Hanna_Lampe.htm,55d6e1c08195bf846b432bedccf4adf0dbb9,5
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://www.blitzwetter.de/lindern.htm,3b2fc9958fb30afef337a765b87bf585df68,106
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://pagentorn.de/Hanna_Lampe.htm,55d6e1c08195bf846b432bedccf4adf0dbb9,12
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://www.blitzwetter.de/lindern.htm,3b2fc9958fb30afef337a765b87bf585df68,105
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://blog.till-westermayer.de/index.php/tag/cdu/page/4,2a07d07fb1ff94855e211bf9e1bf0e91c853,43
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://dhme.dhm.de/lemo/html/weimar/innenpolitik/bbb/index.html,612ec1cb814b6133ac6af1b2f3bd89612e36,6
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://www.schuetzenverein-graes.de/der-verein/der-vorstand-des-schuetzenvereins-graes.html,76d32a19605bae852906eeab9b872f7cec31,22
-schaft,Bauernschaft,Bauernschaft,Bauer,NN,http://www.sicher-durch-muenster.de/281.html,780984d6037b454990b994db4e1364af3116,246
-schaft,Bauherrenschaften,Herrenschaft,Herr,NN,http://architektur.beuth-hochschule.de/index.php?id=4230,b3a96090d33c5a1285f8accc1d6b16413be5,5
-schaft,Schwesternschaft,Schwesternschaft,Schwester,NN,http://www.chronopia-deutschland.de/1/hintergrund/hintergrund1.php,f4996a263644932ff25fc070768308d70c64,869
-schaft,Schwesternschaften,Schwesternschaft,Schwester,NN,http://www.quatember.de/J1953/q53047.htm,6282b2349b78749eed3483fd3d73afa17ed8,35
-schaft,Schwesternschaften,Schwesternschaft,Schwester,NN,http://www.ulisses-forum.de/archive/index.php/t-9286.html,cb552a0d4d36ab1e3fd92272097ae3591790,14
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://forum.zooplus.de/archive/index.php/t-36494.html,3888e193a2c9a696c0cbb63dc741d77728af,461
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://peketec.de/trading/langfristinvestments-mit-solarenergie-t826asc-s1140.html,7dc20e84fc60a17dfa1393e1bb732429c77e,138
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.gerold-ahrens.de/seite7.html,8b0f0b96f954cccd5cc39d4e45ae2c38a3a6,651
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.tagesspiegel.de/berlin/verstaerkung-fuer-problemschulen/1464476.html,e546490464c0c556509ca8c89c150b58e17f,70
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.hausarbeiten.de/faecher/vorschau/110907.html,3f43ffa4af31fc34276b9d3fce8370b2853a,189
-schaft,Lebenswissenschaften,Wissenschaft,Wissen,NN,http://www.wissenschaft.nrw.de/wissenstransfer/forschungskooperationen/index.php,e718a9822356041337ec1fc54082123a05e8,17
-schaft,Beratungswissenschaft,Wissenschaft,Wissen,NN,http://www.socialnet.de/rezensionen/8692.php,1f3f27a35da60daa25a5b63c77a1eba3c686,26
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.ivh.uni-hannover.de/optiv/OptimVerkehr/Allgemeine_Hinweise/pages/node5.htm,6f8b373ce019a22113617d65ec1ea4dfb1bb,1
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.geisteswissenschaften.fu-berlin.de/we07/theater/studium/tanzwissenschaft/index.html,296132f5defce59a3ee22aa5d5c01c280ed0,16
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.smoodo.de/gesundheit-medizin,af8c8940d73c50feaa01cd92e523c89627b3,3
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.biostation-re.de/inhaltsseiten/pflanzensoziologie_def.htm,4c151d6653876c97153da8a0771f479207b8,3
-schaft,Erziehungswissenschaften,Wissenschaft,Wissen,NN,http://www.hermann-giesecke.de/werke20.htm,34b9bc442fc75d7a7ec2bef06ff334b76f14,823
-schaft,Wissenschaften,Wissenschaft,Wissen,NN,http://www.flirtxpert.de/liebe/die-liebe-ist-ein-recht-unordentliches-gefuhl,a6fcbb36e0eced8539603543a848224dc967,4
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.gsb.uni-hannover.de/veranstaltungen_2010.html,ac8018fa45b3052a6403ca566ffa93c2aa79,5
-schaft,Wissenschaft,Wissenschaft,Wissen,NN,http://www.hausarbeiten.de/faecher/vorschau/110907.html,3f43ffa4af31fc34276b9d3fce8370b2853a,117
-schaft,Gesellschaftswissenschaften,Wissenschaft,Wissen,NN,http://www.presse.uni-oldenburg.de/uni-info/2006/3/personalien.html,2a5f4e03b43e3078dfd2ad671464cfde85af,43
-schaft,Literaturwissenschaft,Wissenschaft,Wissen,NN,http://www.petertepe.de/mim/editionMIM/a05_pt_meth2/pt_meth2_73.htm,2590baceb233212c83d4dcf87984d57bdd48,99
-schaft,Wissenschaften,Wissenschaft,Wissen,NN,http://www.freie.schule.uni-potsdam.de/portal/feb09/campus_leute/personalia.htm,26bc42e6ebf19c21671c1a5c3ebe520da6e4,1
