lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge,sfx,cql
Drittlieferant,,drittlieferieren,VVINF,1,0,1,,drittliefern,VVINF,Lieferant,-ant,"[lemma=""drittliefern"" & tag=""VVINF""] within <s/>"
Unterlieferant,,unterlieferieren,VVINF,32,0,1,,unterliefern,VVINF,Lieferant,-ant,"[lemma=""unterliefern"" & tag=""VVINF""] within <s/>"
Vorlieferant,,vorlieferieren,VVINF,142,0,1,,vorliefern,VVINF,Lieferant,-ant,"[lemma=""vorliefern"" & tag=""VVINF""] within <s/>"
Schwarzwaldmusikant,,schwarzwaldmusikieren,VVINF,0,0,1,,schwarzwaldmusizieren,VVINF,Musikant,-ant,"[lemma=""schwarzwaldmusizieren"" & tag=""VVINF""] within <s/>"
Stadtmusikant,,stadtmusikieren,VVINF,228,0,1,,stadtmusizieren,VVINF,Musikant,-ant,"[lemma=""stadtmusizieren"" & tag=""VVINF""] within <s/>"
Strassenmusikant,,strassenmusikieren,VVINF,5,0,1,,strassenmusizieren,VVINF,Musikant,-ant,"[lemma=""strassenmusizieren"" & tag=""VVINF""] within <s/>"
Vormusikant,,vormusikieren,VVINF,0,0,1,,vormusizieren,VVINF,Musikant,-ant,"[lemma=""vormusizieren"" & tag=""VVINF""] within <s/>"
Applikant,,applikieren,VVINF,3,0,1,,applizieren,VVINF,,-ant,"[lemma=""applizieren"" & tag=""VVINF""] within <s/>"
Fabrikant,,fabrikieren,VVINF,567,0,1,,fabrizieren,VVINF,,-ant,"[lemma=""fabrizieren"" & tag=""VVINF""] within <s/>"
Garant,,garieren,VVINF,2737,0,1,,garantieren,VVINF,,-ant,"[lemma=""garantieren"" & tag=""VVINF""] within <s/>"
Lieferant,,lieferieren,VVINF,7717,0,1,,liefern,VVINF,,-ant,"[lemma=""liefern"" & tag=""VVINF""] within <s/>"
Musikant,,musikieren,VVINF,918,0,1,,musizieren,VVINF,,-ant,"[lemma=""musizieren"" & tag=""VVINF""] within <s/>"
Praktikant,,praktikieren,VVINF,2837,0,1,,praktizieren,VVINF,,-ant,"[lemma=""praktizieren"" & tag=""VVINF""] within <s/>"
Qualifikant,,qualifikieren,VVINF,95,0,1,,qualifizieren,VVINF,,-ant,"[lemma=""qualifizieren"" & tag=""VVINF""] within <s/>"
Signifikanz,,signifikieren,VVINF,306,0,1,,signifizieren,VVINF,,-anz,"[lemma=""signifizieren"" & tag=""VVINF""] within <s/>"
Allokation,,allokieren,VVINF,221,0,1,,allozieren,VVINF,,-ation,"[lemma=""allozieren"" & tag=""VVINF""] within <s/>"
Amplifikation,,amplifikieren,VVINF,46,0,1,,amplifizieren,VVINF,,-ation,"[lemma=""amplifizieren"" & tag=""VVINF""] within <s/>"
Applikation,,applikieren,VVINF,6211,0,1,,applizieren,VVINF,,-ation,"[lemma=""applizieren"" & tag=""VVINF""] within <s/>"
Authentifikation,,authentifikieren,VVINF,58,0,1,,authentifizieren,VVINF,,-ation,"[lemma=""authentifizieren"" & tag=""VVINF""] within <s/>"
Bonifikation,,bonifikieren,VVINF,20,0,1,,bonifizieren,VVINF,,-ation,"[lemma=""bonifizieren"" & tag=""VVINF""] within <s/>"
Denitrifikation,,denitrifikieren,VVINF,60,0,1,,denitrifizieren,VVINF,,-ation,"[lemma=""denitrifizieren"" & tag=""VVINF""] within <s/>"
Dislokation,,dislokieren,VVINF,49,0,1,,dislozieren,VVINF,,-ation,"[lemma=""dislozieren"" & tag=""VVINF""] within <s/>"
Disqualifikation,,disqualifikieren,VVINF,321,0,1,,disqualifizieren,VVINF,,-ation,"[lemma=""disqualifizieren"" & tag=""VVINF""] within <s/>"
Diversifikation,,diversifikieren,VVINF,297,0,1,,diversifizieren,VVINF,,-ation,"[lemma=""diversifizieren"" & tag=""VVINF""] within <s/>"
Domestikation,,domestikieren,VVINF,107,0,1,,domestizieren,VVINF,,-ation,"[lemma=""domestizieren"" & tag=""VVINF""] within <s/>"
Duplikation,,duplikieren,VVINF,32,0,1,,duplizieren,VVINF,,-ation,"[lemma=""duplizieren"" & tag=""VVINF""] within <s/>"
Evokation,,evokieren,VVINF,44,0,1,,evozieren,VVINF,,-ation,"[lemma=""evozieren"" & tag=""VVINF""] within <s/>"
Exkommunikation,,exkommunikieren,VVINF,328,0,1,,exkommunizieren,VVINF,,-ation,"[lemma=""exkommunizieren"" & tag=""VVINF""] within <s/>"
Explikation,,explikieren,VVINF,67,0,1,,explizieren,VVINF,,-ation,"[lemma=""explizieren"" & tag=""VVINF""] within <s/>"
Fabrikation,,fabrikieren,VVINF,249,0,1,,fabrizieren,VVINF,,-ation,"[lemma=""fabrizieren"" & tag=""VVINF""] within <s/>"
Falsifikation,,falsifikieren,VVINF,97,0,1,,falsifizieren,VVINF,,-ation,"[lemma=""falsifizieren"" & tag=""VVINF""] within <s/>"
Gratifikation,,gratifikieren,VVINF,186,0,1,,gratifizieren,VVINF,,-ation,"[lemma=""gratifizieren"" & tag=""VVINF""] within <s/>"
Identifikation,,identifikieren,VVINF,3797,0,1,,identifizieren,VVINF,,-ation,"[lemma=""identifizieren"" & tag=""VVINF""] within <s/>"
Implikation,,implikieren,VVINF,1090,0,1,,implizieren,VVINF,,-ation,"[lemma=""implizieren"" & tag=""VVINF""] within <s/>"
Indikation,,indikieren,VVINF,2313,0,1,,indizieren,VVINF,,-ation,"[lemma=""indizieren"" & tag=""VVINF""] within <s/>"
Intoxikation,,intoxikieren,VVINF,104,0,1,,intoxizieren,VVINF,,-ation,"[lemma=""intoxizieren"" & tag=""VVINF""] within <s/>"
Klassifikation,,klassifikieren,VVINF,1120,0,1,,klassifizieren,VVINF,,-ation,"[lemma=""klassifizieren"" & tag=""VVINF""] within <s/>"
Kodifikation,,kodifikieren,VVINF,51,0,1,,kodifizieren,VVINF,,-ation,"[lemma=""kodifizieren"" & tag=""VVINF""] within <s/>"
Koedukation,,koedukieren,VVINF,78,0,1,,koeduzieren,VVINF,,-ation,"[lemma=""koeduzieren"" & tag=""VVINF""] within <s/>"
Kommunikation,,kommunikieren,VVINF,32447,0,1,,kommunizieren,VVINF,,-ation,"[lemma=""kommunizieren"" & tag=""VVINF""] within <s/>"
Komplikation,,komplikieren,VVINF,3958,0,1,,komplizieren,VVINF,,-ation,"[lemma=""komplizieren"" & tag=""VVINF""] within <s/>"
Lokation,,lokieren,VVINF,228,0,1,,lozieren,VVINF,,-ation,"[lemma=""lozieren"" & tag=""VVINF""] within <s/>"
Medikation,,medikieren,VVINF,901,0,1,,medizieren,VVINF,,-ation,"[lemma=""medizieren"" & tag=""VVINF""] within <s/>"
Modifikation,,modifikieren,VVINF,2782,0,1,,modifizieren,VVINF,,-ation,"[lemma=""modifizieren"" & tag=""VVINF""] within <s/>"
Multiplikation,,multiplikieren,VVINF,516,0,1,,multiplizieren,VVINF,,-ation,"[lemma=""multiplizieren"" & tag=""VVINF""] within <s/>"
Mystifikation,,mystifikieren,VVINF,59,0,1,,mystifizieren,VVINF,,-ation,"[lemma=""mystifizieren"" & tag=""VVINF""] within <s/>"
Nitrifikation,,nitrifikieren,VVINF,50,0,1,,nitrifizieren,VVINF,,-ation,"[lemma=""nitrifizieren"" & tag=""VVINF""] within <s/>"
Notifikation,,notifikieren,VVINF,83,0,1,,notifizieren,VVINF,,-ation,"[lemma=""notifizieren"" & tag=""VVINF""] within <s/>"
Personifikation,,personifikieren,VVINF,151,0,1,,personifizieren,VVINF,,-ation,"[lemma=""personifizieren"" & tag=""VVINF""] within <s/>"
Provokation,,provokieren,VVINF,3047,0,1,,provozieren,VVINF,,-ation,"[lemma=""provozieren"" & tag=""VVINF""] within <s/>"
Publikation,,publikieren,VVINF,14803,0,1,,publizieren,VVINF,,-ation,"[lemma=""publizieren"" & tag=""VVINF""] within <s/>"
Qualifikation,,qualifikieren,VVINF,10399,0,1,,qualifizieren,VVINF,,-ation,"[lemma=""qualifizieren"" & tag=""VVINF""] within <s/>"
Ratifikation,,ratifikieren,VVINF,109,0,1,,ratifizieren,VVINF,,-ation,"[lemma=""ratifizieren"" & tag=""VVINF""] within <s/>"
Replikation,,replikieren,VVINF,343,0,1,,replizieren,VVINF,,-ation,"[lemma=""replizieren"" & tag=""VVINF""] within <s/>"
Simplifikation,,simplifikieren,VVINF,12,0,1,,simplifizieren,VVINF,,-ation,"[lemma=""simplifizieren"" & tag=""VVINF""] within <s/>"
Spezifikation,,spezifikieren,VVINF,2912,0,1,,spezifizieren,VVINF,,-ation,"[lemma=""spezifizieren"" & tag=""VVINF""] within <s/>"
Translokation,,translokieren,VVINF,93,0,1,,translozieren,VVINF,,-ation,"[lemma=""translozieren"" & tag=""VVINF""] within <s/>"
Verifikation,,verifikieren,VVINF,250,0,1,,verifizieren,VVINF,,-ation,"[lemma=""verifizieren"" & tag=""VVINF""] within <s/>"
