DErivBase_Rule,sfx,fn_backformer_one,fn_backformer_two,changepos,morph,query
dVN24,ament,ament_ateur,w_ieren,1,-ament,"[lemma=""^.*ament$"" & tag=""NN""] within <s/>"
dVN40,ateur,ament_ateur,w_ieren,1,-ateur,"[lemma=""^.*ateur$"" & lemma!=""Amateur"" & tag=""NN""] within <s/>"
dVN20,ator,ator,w_ieren,1,-ator,"[lemma=""^.*ator$"" & tag=""NN""] within <s/>"
dAN01,eA,e,e,1,-e,"[lemma=""^(?!Ge).*(?<!i|ag)e$"" & lemma!=""Seite|Gruppe|Woche|Leute|Minute|Name|Sache|Idee"" & tag=""NN""] within <s/>"
dVN04,eV,e,e,1,,
dVN08,eV,e,e,1,,
dNN58,el,el,el,0,-el,"[lemma=""^.*el$"" & lemma!=""Spiel|Kapitel|Artikel|Beispiel|Ziel|Titel|Hotel|Vogel|Kabel|Hörspiel|Auswärtsspiel|Schauspiel|Gegenbeispiel|Vorspiel|Zusammenspiel|Zwischenspiel|Wechselspiel|Anspiel|Rückspiel|Festspiel|Schlossfestspiel|Gegenspiel|Heimspiel|Zuspiel|Gewinnspiel|Planspiel|Relegationsspiel|Endspiel|Rollenspiel|Hinspiel|Freispiel|Nachspiel|Ferienspiel|Kartenspiel|Vorbereitungsspiel|Testspiel|Glücksspiel|Negativbeispiel|Pflichtspiel|Weihnachtsgewinnspiel|Ballspiel|Bespiel|Farbenspiel|Zahlenspiel|Abspiel|Stiel|Minstrel|Tentakel|Spektakel|Tegel|Aufenthaltstitel|Titel|Untertitel|Referenztitel|Vortitel|Gegentitel|Hundertstel|Übel|Gezuckel|Fluegel|Vogel|Singvogel|Schreitvogel"" & tag=""NN""] within <s/>"
dVN05,el,el,el,1,,
dNN05,er,er,er,0,-er,"[lemma=""^.*(?<!ik)er$"" & lemma!=""Wasser|Nummer|Partner|Vater|Körper|September|Oktober|November|Dezember|Tochter|Schwester|Mutter|Zimmer|Wetter|Kater"" & tag=""NN""] within <s/>"
dNN11,aner,er,er,0,,
dVN03,er,er,er,1,,
dNN28,ler,er,er,0,,
dNN59,heit,heit,heit,0,-heit,"[lemma=""^.*(h|k)eit$"" & tag=""NN""] within <s/>"
dAN02,heit,heit,heit,1,,
dAN04,igkeit,heit,heit,1,,
dAN03,keit,heit,heit,1,,
