"period","lemma","frequency"
"1482-1549","Ägypter",1
"1482-1549","Afrikaner",1
"1482-1549","Apotheker",11
"1482-1549","Araber",1
"1482-1549","Ausleger",2
"1482-1549","Bettler",1
"1482-1549","Brecher",1
"1482-1549","Buchhalter",1
"1482-1549","Frierer",1
"1482-1549","Gänger",1
"1482-1549","Gärtner",3
"1482-1549","Hümpler",1
"1482-1549","Krämer",1
"1482-1549","Kräutler",2
"1482-1549","Läufer",1
"1482-1549","Lehrer",2
"1482-1549","Leser",2
"1482-1549","Maler",1
"1482-1549","Persier",1
"1482-1549","Römer",3
"1482-1549","Reiser",2
"1482-1549","Sünder",1
"1482-1549","Schäfer",1
"1482-1549","Schöpfer",4
"1482-1549","Schreiber",1
"1482-1549","Schwärmer",1
"1482-1549","Schweizer",1
"1482-1549","Spanier",1
"1482-1549","Troianer",1
"1482-1549","Weber",1
"1482-1549","Wurzeler",1
"1482-1549","Zauberer",2
"1482-1549","Zeiger",2
"1550-1649","Apotheker",2
"1550-1649","Araber",1
"1550-1649","Balbierer",1
"1550-1649","Beschätzer",1
"1550-1649","Betrüger",1
"1550-1649","Erlöser",1
"1550-1649","Fehler",5
"1550-1649","Gärtner",1
"1550-1649","Gräber",1
"1550-1649","Heuchler",3
"1550-1649","Italiener",5
"1550-1649","Jäger",1
"1550-1649","Lehrer",3
"1550-1649","Leser",13
"1550-1649","Liebhaber",2
"1550-1649","Mittler",1
"1550-1649","Pflanzer",2
"1550-1649","Pharisäer",2
"1550-1649","Räumer",1
"1550-1649","Römer",4
"1550-1649","Retter",1
"1550-1649","Sünder",2
"1550-1649","Schäfer",1
"1550-1649","Töpfer",1
"1550-1649","Tadler",1
"1550-1649","Tridentiner",1
"1650-1749","Überwinder",2
"1650-1749","Apotheker",1
"1650-1749","Araber",2
"1650-1749","Diener",1
"1650-1749","Einwohner",1
"1650-1749","Gärtner",4
"1650-1749","Gräber",4
"1650-1749","Italiener",3
"1650-1749","Künstler",1
"1650-1749","Lateiner",1
"1650-1749","Leser",4
"1650-1749","Macher",2
"1650-1749","Maler",1
"1650-1749","Nachfolger",1
"1650-1749","Passauer",1
"1650-1749","Prediger",1
"1650-1749","Römer",1
"1650-1749","Radeburger",1
"1650-1749","Schlachter",1
"1650-1749","Splitter",2
"1650-1749","Straßburger",1
"1650-1749","Träger",1
"1650-1749","Vorgänger",1
"1650-1749","Waldenburger",1
"1650-1749","Zünder",1
"1650-1749","Zauberer",1
"1650-1749","Zunder",1
"1750-1849","Österreicher",1
"1750-1849","Apotheker",1
"1750-1849","Bayer",1
"1750-1849","Behälter",4
"1750-1849","Beobachter",1
"1750-1849","Bewohner",1
"1750-1849","Botaniker",7
"1750-1849","Dichter",2
"1750-1849","Einwohner",1
"1750-1849","Entdecker",1
"1750-1849","Fehler",2
"1750-1849","Forscher",3
"1750-1849","Gärtner",6
"1750-1849","Grenzwälder",1
"1750-1849","Italiener",1
"1750-1849","Kutscher",1
"1750-1849","Leser",1
"1750-1849","Liebhaber",1
"1750-1849","Savojer",3
"1750-1849","Schriftsteller",2
"1750-1849","Splitter",1
"1750-1849","Tiroler",1
"1750-1849","Träger",12
"1750-1849","Verfasser",2
"1850-1914","Algesheimer",1
"1850-1914","Apotheker",2
"1850-1914","Ausläufer",4
"1850-1914","Begleiter",1
"1850-1914","Blümler",9
"1850-1914","Blütler",2
"1850-1914","Botaniker",7
"1850-1914","Deutzer",1
"1850-1914","Entdecker",1
"1850-1914","Forscher",2
"1850-1914","Früchtler",1
"1850-1914","Gärtner",1
"1850-1914","Herrscher",1
"1850-1914","Köcher",1
"1850-1914","Koblenzer",1
"1850-1914","Kräutler",3
"1850-1914","Montabaurer",1
"1850-1914","Sammler",2
"1850-1914","Schlosser",1
"1850-1914","Schneeberger",1
"1850-1914","Schneider",1
"1850-1914","Streicher",1
"1850-1914","Töpfer",1
"1850-1914","Träger",3
"1850-1914","Tyroler",1
"1850-1914","Verfasser",2
"1850-1914","Vorläufer",1
"1850-1914","Vorsteher",1
"1850-1914","Würger",1
"1850-1914","Wittlinger",1
