"period","lemma","frequency"
"1482-1549","Allmächtigkeit",1
"1482-1549","Überflüssigkeit",4
"1482-1549","Üppigkeit",1
"1482-1549","Aussätzigkeit",2
"1482-1549","Bescheidenheit",1
"1482-1549","Bitterkeit",5
"1482-1549","Blödigkeit",4
"1482-1549","Bosheit",1
"1482-1549","Dunkelheit",1
"1482-1549","Ebenmäßigkeit",1
"1482-1549","Eigenheit",2
"1482-1549","Ewigkeit",1
"1482-1549","Fährlichkeit",2
"1482-1549","Falschheit",1
"1482-1549","Feuchtigkeit",46
"1482-1549","Fruchtbarkeit",2
"1482-1549","Geheuerlichkeit",1
"1482-1549","Gesundheit",7
"1482-1549","Gewohnheit",1
"1482-1549","Großheit",1
"1482-1549","Grobheit",1
"1482-1549","Gutheit",3
"1482-1549","Härtigkeit",1
"1482-1549","Heiligkeit",1
"1482-1549","Heimlichheit",1
"1482-1549","Heimlichkeit",2
"1482-1549","Herrlichkeit",1
"1482-1549","Hochwürdigkeit",1
"1482-1549","Keuschheit",11
"1482-1549","Krankheit",33
"1482-1549","Müdigkeit",1
"1482-1549","Nutzbarkeit",2
"1482-1549","Ohnmächtigkeit",3
"1482-1549","Räudigkeit",3
"1482-1549","Reinigkeit",5
"1482-1549","Reudigkeit",1
"1482-1549","Süßigkeit",1
"1482-1549","Sauberkeit",4
"1482-1549","Schäbigkeit",1
"1482-1549","Sehrigkeit",1
"1482-1549","Sonderheit",9
"1482-1549","Sterblichkeit",1
"1482-1549","Subtiligkeit",1
"1482-1549","Traurigkeit",1
"1482-1549","Trockenheit",2
"1482-1549","Trunkenheit",3
"1482-1549","Wütigkeit",1
"1482-1549","Wahrheit",5
"1482-1549","Wissenheit",1
"1550-1649","Achtsamkeit",1
"1550-1649","Barmherzigkeit",1
"1550-1649","Beschaffenheit",13
"1550-1649","Bescheidenheit",1
"1550-1649","Bitterkeit",2
"1550-1649","Blödigkeit",1
"1550-1649","Christenheit",4
"1550-1649","Empfindlichkeit",1
"1550-1649","Engbrüstigkeit",1
"1550-1649","Erfahrenheit",6
"1550-1649","Ewigkeit",5
"1550-1649","Feuchtigkeit",12
"1550-1649","Fruchtbarkeit",1
"1550-1649","Gelegenheit",6
"1550-1649","Gelindigkeit",1
"1550-1649","Gerechtigkeit",5
"1550-1649","Geschicklichkeit",2
"1550-1649","Gesundheit",1
"1550-1649","Gewohnheit",1
"1550-1649","Gleichheit",4
"1550-1649","Grobheit",1
"1550-1649","Härtigkeit",1
"1550-1649","Heiligkeit",2
"1550-1649","Heimlichkeit",4
"1550-1649","Herrlichkeit",3
"1550-1649","Krankheit",4
"1550-1649","Mannigfaltigkeit",1
"1550-1649","Räudigkeit",2
"1550-1649","Reinigkeit",2
"1550-1649","Sauberkeit",2
"1550-1649","Schwachheit",2
"1550-1649","Schwermütigkeit",1
"1550-1649","Seligkeit",1
"1550-1649","Sinnigkeit",1
"1550-1649","Sonderheit",2
"1550-1649","Torheit",1
"1550-1649","Traurigkeit",1
"1550-1649","Trunkenheit",2
"1550-1649","Vollkommenheit",4
"1550-1649","Vorsichtigkeit",2
"1550-1649","Wahrheit",2
"1550-1649","Widerwärtigkeit",1
"1550-1649","Wissenheit",3
"1550-1649","Zierlichkeit",1
"1650-1749","Achtsamkeit",1
"1650-1749","Albernheit",1
"1650-1749","Anzündlichkeit",1
"1650-1749","Aufrichtigkeit",1
"1650-1749","Barmherzigkeit",1
"1650-1749","Behutsamkeit",2
"1650-1749","Beschaffenheit",3
"1650-1749","Bitterkeit",3
"1650-1749","Dunkelheit",2
"1650-1749","Einstimmigkeit",1
"1650-1749","Empfindligkeit",1
"1650-1749","Engbrüstigkeit",12
"1650-1749","Feuchtigkeit",25
"1650-1749","Fruchtbarkeit",2
"1650-1749","Gütigkeit",1
"1650-1749","Gelegenheit",8
"1650-1749","Gerechtigkeit",1
"1650-1749","Gesundheit",7
"1650-1749","Gewissheit",1
"1650-1749","Gleichheit",2
"1650-1749","Kleinigkeit",1
"1650-1749","Krankheit",54
"1650-1749","Müdigkeit",2
"1650-1749","Mildigkeit",1
"1650-1749","Mutterkrankheit",1
"1650-1749","Obrigkeit",1
"1650-1749","Räudigkeit",3
"1650-1749","Reinigkeit",2
"1650-1749","Schönheit",1
"1650-1749","Schwachheit",4
"1650-1749","Trunkenheit",2
"1650-1749","Vergessenheit",1
"1650-1749","Würdigkeit",1
"1650-1749","Wahrheit",5
"1750-1849","Ähnlichkeit",21
"1750-1849","Aufmerksamkeit",3
"1750-1849","Bequemlichkeit",1
"1750-1849","Beschaffenheit",3
"1750-1849","Bitterkeit",2
"1750-1849","Dienlichkeit",1
"1750-1849","Dunkelheit",1
"1750-1849","Eigentümlichkeit",1
"1750-1849","Einfachheit",1
"1750-1849","Einheit",2
"1750-1849","Engbrüstigkeit",2
"1750-1849","Erhabenheit",1
"1750-1849","Fettigkeit",1
"1750-1849","Feuchtigkeit",18
"1750-1849","Flüssigkeit",8
"1750-1849","Freiheit",1
"1750-1849","Gelegenheit",2
"1750-1849","Genauigkeit",1
"1750-1849","Gewissheit",6
"1750-1849","Gewohnheit",1
"1750-1849","Heftigkeit",1
"1750-1849","Krankheit",21
"1750-1849","Mannigfaltigkeit",1
"1750-1849","Persönlichkeit",1
"1750-1849","Rauigkeit",1
"1750-1849","Reizbarkeit",4
"1750-1849","Richtigkeit",3
"1750-1849","Schönheit",2
"1750-1849","Schlaffheit",1
"1750-1849","Schwachheit",3
"1750-1849","Schwierigkeit",2
"1750-1849","Steifigkeit",1
"1750-1849","Tätigkeit",5
"1750-1849","Taubheit",1
"1750-1849","Torheit",1
"1750-1849","Trunkenheit",2
"1750-1849","Verdaulichkeit",1
"1750-1849","Vergessenheit",2
"1750-1849","Verschiedenheit",5
"1750-1849","Vollkommenheit",2
"1750-1849","Wahrscheinlichkeit",1
"1850-1914","Örtlichkeit",1
"1850-1914","Ähnlichkeit",6
"1850-1914","Übelkeit",2
"1850-1914","Brauchbarkeit",1
"1850-1914","Durchsichtigkeit",1
"1850-1914","Eigentümlichkeit",2
"1850-1914","Eintönigkeit",1
"1850-1914","Empfindlichkeit",1
"1850-1914","Festigkeit",1
"1850-1914","Geheuerlichkeit",1
"1850-1914","Gleichgültigkeit",1
"1850-1914","Gleichzeitigkeit",1
"1850-1914","Klarheit",2
"1850-1914","Krankheit",12
"1850-1914","Müdigkeit",2
"1850-1914","Mannigfaltigkeit",4
"1850-1914","Schönheit",2
"1850-1914","Schläfrigkeit",1
"1850-1914","Schwerhörigkeit",1
