"period","lemma","frequency"
"1482-1549","Abmalung",2
"1482-1549","Abnehmung",2
"1482-1549","Anzeigung",1
"1482-1549","Übung",1
"1482-1549","Aufblähung",2
"1482-1549","Aufenthaltung",2
"1482-1549","Aufmerkung",1
"1482-1549","Ausfallung",2
"1482-1549","Behausung",1
"1482-1549","Bereitung",1
"1482-1549","Beschreibung",9
"1482-1549","Bestopfung",9
"1482-1549","Bestreichung",1
"1482-1549","Blähung",3
"1482-1549","Dämpfung",1
"1482-1549","Darstellung",2
"1482-1549","Dauung",5
"1482-1549","Durchwandrung",1
"1482-1549","Einleitung",1
"1482-1549","Entschuldigung",1
"1482-1549","Entwerfung",1
"1482-1549","Entzündung",4
"1482-1549","Erfahrung",2
"1482-1549","Ergötzung",1
"1482-1549","Erklärung",1
"1482-1549","Erleuchtung",1
"1482-1549","Fäulung",3
"1482-1549","Füllung",1
"1482-1549","Feuchtung",13
"1482-1549","Fristung",1
"1482-1549","Heilung",1
"1482-1549","Hinlegung",1
"1482-1549","Hoffnung",1
"1482-1549","Irrung",1
"1482-1549","Kitzelung",1
"1482-1549","Konterfeiung",1
"1482-1549","Mästung",1
"1482-1549","Mannigfaltigung",1
"1482-1549","Meinung",19
"1482-1549","Mischung",3
"1482-1549","Nahrung",9
"1482-1549","Neigung",1
"1482-1549","Ordnung",5
"1482-1549","Purgierung",1
"1482-1549","Reizung",1
"1482-1549","Ringerung",1
"1482-1549","Sähung",1
"1482-1549","Säuerung",1
"1482-1549","Süchtung",3
"1482-1549","Sammlung",1
"1482-1549","Schärfung",1
"1482-1549","Schürfung",1
"1482-1549","Spaltung",1
"1482-1549","Speisung",1
"1482-1549","Stärkung",7
"1482-1549","Stillung",2
"1482-1549","Stopfung",2
"1482-1549","Tötung",1
"1482-1549","Temperierung",1
"1482-1549","Teuerung",1
"1482-1549","Vergiftigung",1
"1482-1549","Verhärtung",1
"1482-1549","Vermischung",4
"1482-1549","Verstopfung",6
"1482-1549","Vertreibung",1
"1482-1549","Verwundung",1
"1482-1549","Wachsung",17
"1482-1549","Warnung",2
"1482-1549","Wirkung",40
"1482-1549","Wohnung",3
"1482-1549","Zerbrechung",1
"1482-1549","Zerknirschung",1
"1482-1549","Zerknitschung",1
"1482-1549","Zielung",1
"1482-1549","Zusammenziehung",1
"1482-1549","Zweiflung",1
"1550-1649","Abteilung",4
"1550-1649","Abwendung",1
"1550-1649","Achtung",5
"1550-1649","Andeutung",1
"1550-1649","Anleitung",1
"1550-1649","Anstellung",1
"1550-1649","Übung",2
"1550-1649","Aufachtung",3
"1550-1649","Auffung",1
"1550-1649","Auflösung",1
"1550-1649","Auslegung",1
"1550-1649","Austeilung",1
"1550-1649","Ausweisung",1
"1550-1649","Bedeutung",2
"1550-1649","Behausung",2
"1550-1649","Bereitung",1
"1550-1649","Beschirmung",1
"1550-1649","Beschreibung",2
"1550-1649","Bestätigung",1
"1550-1649","Betrachtung",1
"1550-1649","Beweisung",2
"1550-1649","Dauung",4
"1550-1649","Destillierung",2
"1550-1649","Deutung",1
"1550-1649","Einsammlung",1
"1550-1649","Entzündung",2
"1550-1649","Erfahrung",5
"1550-1649","Erhaltung",1
"1550-1649","Erinnerung",2
"1550-1649","Erscheinung",1
"1550-1649","Erweichung",1
"1550-1649","Erzählung",1
"1550-1649","Fäulung",2
"1550-1649","Gattung",25
"1550-1649","Kühlung",1
"1550-1649","Läuterung",1
"1550-1649","Löschung",2
"1550-1649","Lesung",1
"1550-1649","Linderung",1
"1550-1649","Mästung",1
"1550-1649","Machung",1
"1550-1649","Meinung",3
"1550-1649","Meldung",2
"1550-1649","Nachrichtung",1
"1550-1649","Nahrung",6
"1550-1649","Ordnung",4
"1550-1649","Pflanzung",1
