"suffix","iter","sample_size","s"
"heit",1,10,13762.0915480935
"heit",1,20,1065.28779194694
"heit",1,50,419.328712049041
"heit",1,100,473.697861118602
"heit",1,200,396.888985934144
"heit",1,500,605.557558109761
"heit",1,1000,547.432558964491
"heit",1,2000,1047.8117370366
"heit",1,5000,2682.27217603975
"heit",1,10000,1528.79852859786
"heit",1,20000,2127.1141528509
"heit",1,50000,3425.23941598999
"heit",1,100000,4384.79082198379
"heit",1,200000,6390.17414593011
"heit",1,500000,8479.99126122316
"heit",2,10,213.078354967094
"heit",2,20,792.846071954725
"heit",2,50,516.342937081247
"heit",2,100,264.122965075558
"heit",2,200,243.823097895639
"heit",2,500,840.797717112116
"heit",2,1000,872.277532116166
"heit",2,2000,866.100178141278
"heit",2,5000,1471.45110941692
"heit",2,10000,1721.96364294184
"heit",2,20000,2483.41370757433
"heit",2,50000,3124.96257017914
"heit",2,100000,4269.1776143812
"heit",2,200000,5843.78553227107
"heit",2,500000,7606.30386070857
"heit",3,10,213.078354967094
"heit",3,20,178.959948529167
"heit",3,50,284.994948082111
"heit",3,100,538.919390795936
"heit",3,200,341.29954662262
"heit",3,500,441.34473670331
"heit",3,1000,706.679586156039
"heit",3,2000,974.773491111584
"heit",3,5000,1262.24630542225
"heit",3,10000,1617.31213490458
"heit",3,20000,2227.72842492532
"heit",3,50000,3218.42341967048
"heit",3,100000,5113.6979956979
"heit",3,200000,5912.06522178484
"heit",3,500000,7479.78293111954
"heit",4,10,213.076923762113
"heit",4,20,192.197295487765
"heit",4,50,503.707096503517
"heit",4,100,1714.94448502374
"heit",4,200,540.990128133522
"heit",4,500,591.786500155885
"heit",4,1000,701.40815757836
"heit",4,2000,1392.21943765533
"heit",4,5000,1201.2046675448
"heit",4,10000,1631.18277481306
"heit",4,20000,2369.97772076521
"heit",4,50000,3426.25893287092
"heit",4,100000,4119.64388789374
"heit",4,200000,5967.46856207103
"heit",4,500000,8217.24467868299
"heit",5,10,NA
"heit",5,20,197.177784083523
"heit",5,50,774.774460320007
"heit",5,100,776.63400554592
"heit",5,200,273.615301785162
"heit",5,500,382.756074108955
"heit",5,1000,669.387067110665
"heit",5,2000,803.336302382816
"heit",5,5000,1494.93737495006
"heit",5,10000,1640.59349361944
"heit",5,20000,2179.80163077946
"heit",5,50000,3018.22248051439
"heit",5,100000,4519.04544659646
"heit",5,200000,4931.67345569677
"heit",5,500000,8377.06125580236
"heit",6,10,98.5886306537219
"heit",6,20,1204133154.73817
"heit",6,50,2138.11823279943
"heit",6,100,251.014606590002
"heit",6,200,340.84299620069
"heit",6,500,1079.46052335351
"heit",6,1000,946.32031744403
"heit",6,2000,943.175844273142
"heit",6,5000,1454.30439057601
"heit",6,10000,1611.66911882642
"heit",6,20000,2278.29741160963
"heit",6,50000,3351.1166279239
"heit",6,100000,4449.12786198551
"heit",6,200000,5545.55701963142
"heit",6,500000,8248.04506464192
"heit",7,10,13762.955300447
"heit",7,20,1065.27201047138
"heit",7,50,343.952353777001
"heit",7,100,258.964843355401
"heit",7,200,629.59281127368
"heit",7,500,457.826110272547
"heit",7,1000,666.30259592545
"heit",7,2000,896.538122194131
"heit",7,5000,1594.98176665184
"heit",7,10000,1614.76456035965
"heit",7,20000,1962.11518037593
"heit",7,50000,3372.41845106631
"heit",7,100000,4416.75731136398
"heit",7,200000,5127.03389972572
"heit",7,500000,8171.43982323045
"heit",8,10,78285501094738.1
"heit",8,20,178.961324126991
"heit",8,50,246.395828041889
"heit",8,100,414.854441705671
"heit",8,200,472.899612555837
"heit",8,500,1324.33163196894
"heit",8,1000,703.500734052647
"heit",8,2000,773.123520766416
"heit",8,5000,1062.01688301688
"heit",8,10000,1696.0452497315
"heit",8,20000,2135.11976602364
"heit",8,50000,3430.60597697018
"heit",8,100000,3742.43317595818
"heit",8,200000,5538.11110096532
"heit",8,500000,8515.47151560997
"heit",9,10,213.078138477718
"heit",9,20,950.233479485772
"heit",9,50,911.744437447801
"heit",9,100,249.63802784083
"heit",9,200,1022.40652609821
"heit",9,500,682.487357840728
"heit",9,1000,827.523205923422
"heit",9,2000,936.361258011267
"heit",9,5000,1252.78698268441
"heit",9,10000,1645.31149397783
"heit",9,20000,2294.03687159779
"heit",9,50000,3307.21166749843
"heit",9,100000,4327.85685537375
"heit",9,200000,5843.75138038919
"heit",9,500000,7570.05584206236
"heit",10,10,98.5882400184841
"heit",10,20,1187022983.60217
"heit",10,50,551.443103137072
"heit",10,100,2063.84121316399
"heit",10,200,424.854382887498
"heit",10,500,883.798214188033
"heit",10,1000,818.10178264007
"heit",10,2000,985.725173635062
"heit",10,5000,1460.08045969381
"heit",10,10000,2261.06064366017
"heit",10,20000,2228.81311004124
"heit",10,50000,3370.73935210146
"heit",10,100000,4905.78934392411
"heit",10,200000,5473.37837333911
"heit",10,500000,8451.90750450648
"heit",11,10,NA
"heit",11,20,88.246739012005
"heit",11,50,4481.51467396069
"heit",11,100,354.273785035984
"heit",11,200,8920.18162877401
"heit",11,500,713.66034557114
"heit",11,1000,834.629459471419
"heit",11,2000,844.147941528754
"heit",11,5000,1173.2689386718
"heit",11,10000,1619.18575952041
"heit",11,20000,2066.69083409193
"heit",11,50000,3542.72196397549
"heit",11,100000,4626.30667176598
"heit",11,200000,6017.26038657455
"heit",11,500000,7825.4198824377
"heit",12,10,NA
"heit",12,20,1182508884.18915
"heit",12,50,389.172762231469
"heit",12,100,523.594535587402
"heit",12,200,819.15674688012
"heit",12,500,679.668896126791
"heit",12,1000,1142.40910234273
"heit",12,2000,801.930694256944
"heit",12,5000,1586.18945297881
"heit",12,10000,1670.34819933312
"heit",12,20000,2532.42562767916
"heit",12,50000,3050.82828583095
"heit",12,100000,4357.85280825926
"heit",12,200000,5492.68035801967
"heit",12,500000,7495.27105857963
"heit",13,10,317201068073519
"heit",13,20,150.88642517359
"heit",13,50,554.277082719257
"heit",13,100,332.380393873773
"heit",13,200,546.482384498425
"heit",13,500,413.169661779622
"heit",13,1000,672.994438788775
"heit",13,2000,1117.67684475122
"heit",13,5000,1395.89344797338
"heit",13,10000,1494.41067816492
"heit",13,20000,2013.5507612394
"heit",13,50000,2977.75783440683
"heit",13,100000,4313.13181927404
"heit",13,200000,5424.663907736
"heit",13,500000,8589.37285461485
"heit",14,10,23.1031745823564
"heit",14,20,27524.8532383821
"heit",14,50,399.955834068289
"heit",14,100,259.169286939406
"heit",14,200,8068.24680528875
"heit",14,500,764.813267386573
"heit",14,1000,845.390000052649
"heit",14,2000,1199.22965183633
"heit",14,5000,1375.0946398244
"heit",14,10000,1582.2371863201
"heit",14,20000,2242.27975571479
"heit",14,50000,2966.80723039942
"heit",14,100000,4161.76448339995
"heit",14,200000,5247.78543230064
"heit",14,500000,9586.75437660745
"heit",15,10,98.5886306537219
"heit",15,20,27527.6779701853
"heit",15,50,1282.89469511197
"heit",15,100,669.003560195894
"heit",15,200,596.218397920324
"heit",15,500,407.690079498995
"heit",15,1000,571.879272832802
"heit",15,2000,1120.83324359186
"heit",15,5000,1563.46753482087
"heit",15,10000,1416.72750555016
"heit",15,20000,2111.11490598723
"heit",15,50000,3562.97973866341
"heit",15,100000,5383.89639534903
"heit",15,200000,5711.72139978478
"heit",15,500000,9172.92887760681
"heit",16,10,NA
"heit",16,20,197.179213369111
"heit",16,50,1823.24025574821
"heit",16,100,385.756706608787
"heit",16,200,386.749530737798
"heit",16,500,1148.81723202259
"heit",16,1000,788.414340881644
"heit",16,2000,1212.14474280552
"heit",16,5000,1304.15923011207
"heit",16,10000,1676.08723657387
"heit",16,20000,2278.79731903648
"heit",16,50000,3164.37909536973
"heit",16,100000,4939.28643494686
"heit",16,200000,5384.9913654431
"heit",16,500000,7349.83493688269
"heit",17,10,17.4162963823474
"heit",17,20,792.845024837177
"heit",17,50,1548.18823658727
"heit",17,100,456.297612092201
"heit",17,200,463.25715769335
"heit",17,500,435.375367968282
"heit",17,1000,551.587256808126
"heit",17,2000,1414.11090900049
"heit",17,5000,1306.29846739907
"heit",17,10000,1823.07588452112
"heit",17,20000,2153.78350542123
"heit",17,50000,3342.85759976635
"heit",17,100000,4209.56960632963
"heit",17,200000,6826.86540721536
"heit",17,500000,8581.64508653398
"heit",18,10,13762.0915480935
"heit",18,20,178.959617494982
"heit",18,50,5101.30069965557
"heit",18,100,479.539679586774
"heit",18,200,572.026623445493
"heit",18,500,919.981354293555
"heit",18,1000,672.213216853883
"heit",18,2000,926.037151623497
"heit",18,5000,1218.90518338093
"heit",18,10000,1887.01556995034
"heit",18,20000,2011.38771997148
"heit",18,50000,3007.33681794223
"heit",18,100000,4512.00722800064
"heit",18,200000,5884.35284346578
