"suffix","iter","sample_size","s"
"-heit",1,10,NA
"-heit",1,20,133673.14488309
"-heit",1,50,190.006010535537
"-heit",1,100,652.940207703318
"-heit",1,200,461.383623365526
"-heit",1,500,796.969797479605
"-heit",1,1000,599.575483628633
"-heit",1,2000,858.3968201543
"-heit",1,5000,1314.08247798401
"-heit",1,10000,1826.62136507433
"-heit",1,20000,2192.62725535902
"-heit",1,50000,3311.31042968093
"-heit",1,100000,3731.86230724218
"-heit",1,200000,4850.32897743602
"-heit",1,500000,5884.24795643042
"-heit",2,10,4568973927798365
"-heit",2,20,81.1280218639028
"-heit",2,50,640.767733923198
"-heit",2,100,445.115456330254
"-heit",2,200,422.494250846395
"-heit",2,500,1011.17545993508
"-heit",2,1000,689.559786937907
"-heit",2,2000,1025.75888304049
"-heit",2,5000,1246.17278283365
"-heit",2,10000,1640.04983757347
"-heit",2,20000,2559.55824882333
"-heit",2,50000,3140.89326051834
"-heit",2,100000,4432.67179523687
"-heit",2,200000,4559.45908931009
"-heit",2,500000,5701.34631753791
"-heit",3,10,13762.7979782498
"-heit",3,20,8674.80491652905
"-heit",3,50,1067.41730874997
"-heit",3,100,239.936458671034
"-heit",3,200,406.195699220893
"-heit",3,500,468.231541369657
"-heit",3,1000,569.919084887577
"-heit",3,2000,1340.5061275387
"-heit",3,5000,1546.8843551124
"-heit",3,10000,1940.8349763747
"-heit",3,20000,2376.37735258947
"-heit",3,50000,3166.71106883807
"-heit",3,100000,4726.30183903222
"-heit",3,200000,4563.35423278771
"-heit",3,500000,5477.6793812807
"-heit",4,10,213.076291316114
"-heit",4,20,792.840440442843
"-heit",4,50,5987.12027747617
"-heit",4,100,1485.55553504909
"-heit",4,200,402.941425370343
"-heit",4,500,520.729403424343
"-heit",4,1000,1660.88242155045
"-heit",4,2000,1068.63730562121
"-heit",4,5000,1499.39960039347
"-heit",4,10000,1758.51780238892
"-heit",4,20000,2097.35783366231
"-heit",4,50000,3013.59502389326
"-heit",4,100000,4144.49169568612
"-heit",4,200000,4757.72198797744
"-heit",4,500000,5612.66118772663
"-heit",5,10,213.076468586323
"-heit",5,20,950.231914328339
"-heit",5,50,418.809448158333
"-heit",5,100,688.426056316147
"-heit",5,200,431.893921045329
"-heit",5,500,523.708323964902
"-heit",5,1000,827.9268494331
"-heit",5,2000,1148.47343091791
"-heit",5,5000,1259.14571928109
"-heit",5,10000,1887.87600423031
"-heit",5,20000,2270.61649035437
"-heit",5,50000,3515.93185208237
"-heit",5,100000,4264.66461742415
"-heit",5,200000,4523.33152931048
"-heit",5,500000,5554.81881371101
"-heit",6,10,NA
"-heit",6,20,1065.2754187804
"-heit",6,50,1224.5114031718
"-heit",6,100,300.68185595207
"-heit",6,200,481.916154939991
"-heit",6,500,698.372950131445
"-heit",6,1000,630.553524227505
"-heit",6,2000,1091.86487016781
"-heit",6,5000,1365.38625113266
"-heit",6,10000,1658.40499858025
"-heit",6,20000,2207.13935062454
"-heit",6,50000,3153.69998467309
"-heit",6,100000,4193.43470030728
"-heit",6,200000,4979.98884961452
"-heit",6,500000,5890.51898647493
"-heit",7,10,13762.0915480935
"-heit",7,20,27526.0457009631
"-heit",7,50,1276.2299601668
"-heit",7,100,1221.72882038395
"-heit",7,200,438.825365326146
"-heit",7,500,625.779535182034
"-heit",7,1000,485.510949969613
"-heit",7,2000,902.816902537053
"-heit",7,5000,1348.97579272954
"-heit",7,10000,1556.82409839532
"-heit",7,20000,2370.99758367582
"-heit",7,50000,3291.24357533068
"-heit",7,100000,4363.11084450446
"-heit",7,200000,4961.44223632852
"-heit",7,500000,5508.56057734942
"-heit",8,10,NA
"-heit",8,20,121.313433132544
"-heit",8,50,465.469659730626
