param,Estimate,Est.Error,Q2.5,Q97.5,prior
b_z_jp,-0.0009613498,0.0099345667,-0.0205511765,0.0185555042,"Normal(0, 0.01)"
b_z_fr,0.0018643493,0.0099706794,-0.017598448,0.0215506561,"Normal(0, 0.01)"
b_z_sm,0.0013326984,0.009830648,-0.0179369619,0.0202989014,"Normal(0, 0.01)"
b_z_jp,-0.0186677396,0.0452441574,-0.1077914313,0.0687377256,"Normal(0, 0.05)"
b_z_fr,0.0343011524,0.0464017015,-0.0568953183,0.1247606778,"Normal(0, 0.05)"
b_z_sm,0.0294816302,0.0454781166,-0.0601797379,0.1183037232,"Normal(0, 0.05)"
b_z_jp,-0.0448744843,0.0732640409,-0.1883219623,0.0983558966,"Normal(0, 0.1)"
b_z_fr,0.0816642666,0.0723908746,-0.0609825333,0.2217779869,"Normal(0, 0.1)"
b_z_sm,0.0745156644,0.0713959407,-0.0679083786,0.2103456156,"Normal(0, 0.1)"
b_z_jp,-0.0862232534,0.1068532449,-0.2943312096,0.1258325586,"Normal(0, 0.5)"
b_z_fr,0.1480746454,0.1043231232,-0.0599947845,0.3490437199,"Normal(0, 0.5)"
b_z_sm,0.1498451467,0.105095734,-0.0632935295,0.3546019091,"Normal(0, 0.5)"
b_z_jp,-0.0893467931,0.109070078,-0.298103352,0.1296497839,"Normal(0, 1)"
b_z_fr,0.1536047895,0.1060556537,-0.057425564,0.3658753306,"Normal(0, 1)"
b_z_sm,0.1533566792,0.1060267417,-0.051721658,0.3641297871,"Normal(0, 1)"
