lemma,simplex
die,1
und,1
eine,0
in,1
mit,1
nicht,1
von,1
für,1
auch,1
auf,1
sich,1
zu,1
dass,1
bei,1
so,1
oder,1
als,1
an,1
noch,1
nur,1
nach,1
wenn,1
aus,1
dann,1
über,1
wie,1
schon,1
aber,1
werden,1
Jahr,1
durch,1
um,1
vor,1
mehr,1
ich,1
da,1
ja,1
gut,1
sehr,1
neu,1
sein,1
jetzt,1
groß,1
unter,1
also,1
was,1
doch,1
ganz,1
Zeit,1
nun,1
bis,1
Mensch,1
gegen,1
Tag,1
weil,1
selbst,1
heute,1
klein,1
wer,1
ohne,1
Kind,1
weit,1
denn,1
ob,1
sondern,1
seit,1
wo,1
Seite,1
etwas,1
letzt,1
sowie,1
deutsch,1
zwischen,1
eigen,1
dort,1
wohl,1
vielleicht,1
Frau,1
machen,1
Problem,1
Bild,1
Thema,1
alt,1
haben,1
ein,1
Leben,1
Uhr,1
wir,1
hoch,1
allerdings,1
welche,1
jedoch,1
nah,1
können,1
Teil,1
gar,1
zwar,1
Euro,1
Woche,1
Land,1
Spiel,1
Ende,1
Welt,1
ab,1
fast,1
Fall,1
Stadt,1
Haus,1
warum,1
sogar,1
lassen,1
Mann,1
etwa,1
nie,1
schön,1
oft,1
Art,1
Arbeit,1
Buch,1
zweit,0
neben,1
Leute,1
sagen,1
spät,1
gleich,1
Monat,1
eben,1
wegen,1
Platz,1
sehen,1
lang,1
Grund,1
Name,1
recht,1
Gott,1
jung,1
klar,1
direkt,1
Hand,1
Wort,1
Film,1
Sache,1
rund,1
tun,1
lange,1
Ziel,1
zurück,1
Person,1
Minute,1
kurz,1
damit,1
außerdem,0
Punkt,1
du,1
kaum,1
Preis,1
sonst,1
Familie,1
leicht,1
Kunde,1
Projekt,1
ebenfalls,0
Form,1
kommen,1
Doktor,1
Prozent,0
Schule,1
Artikel,1
Internet,1
stark,1
Stück,1
während,1
Auge,1
Idee,1
Hilfe,1
Ort,1
Ding,1
Programm,1
Dank,1
Gruppe,1
finden,1
Freund,1
Sinn,1
Hund,1
Inhalt,0
per,1
Rahmen,1
sofort,0
System,1
Produkt,1
pro,1
somit,0
Spaß,1
nachdem,0
lieb,1
oben,1
Auto,1
Straße,1
echt,1
Text,1
Foto,1
halt,1
obwohl,0
hinter,1
Band,1
damals,0
insgesamt,0
allein,1
Team,1
Interesse,1
Eltern,1
Folge,1
Blick,1
je,1
irgendwie,0
statt,1
ebenso,0
aufgrund,0
Kirche,1
schlecht,1
Recht,1
innerhalb,0
Wert,1
meist,1
nehmen,1
km,0
insbesondere,0
trotz,1
Weise,1
Rolle,1
Kopf,1
Chance,1
Firma,1
Gast,1
nein,1
sowohl,0
Tip,1
Stelle,1
zahlreich,0
Link,1
Markt,1
bitte,1
Liebe,1
Kosten,0
Jahrhundert,0
bald,1
Kraft,1
hin,1
gegenüber,0
Staat,1
toll,1
wobei,0
weiterhin,0
Mai,1
Zahl,1
Titel,1
Detail,1
dennoch,1
weiter,1
halten,1
jeweils,0
Autor,1
Schritt,1
übrigens,0
Farbe,1
dritt,0
Werk,1
Hotel,1
bevor,1
langsam,0
Höhe,1
Karte,1
bringen,1
zusammen,1
Klasse,1
Kontakt,1
müssen,1
modern,1
wissen,1
wann,1
Glück,1
cm,0
derzeit,0
Satz,1
Arzt,1
inzwischen,0
Wunsch,1
bleiben,1
Juni,1
Menge,1
Sprache,1
März,1
Wahl,1
morgen,1
Tod,1
Modell,1
falls,1
allgemein,0
GmbH,0
Professor,0
April,1
Jugendliche,0
Patient,1
Energie,0
Licht,1
außer,1
Video,1
laut,1
Tor,1
Boden,1
privat,1
früh,1
online,1
Regel,1
Sohn,1
Krieg,1
stellen,1
Juli,1
Reihe,1
spielen,1
helfen,1
Fan,1
Bank,1
Info,1
Grenze,1
jedenfalls,0
Suche,1
weder,1
stehen,1
interessant,1
Sonntag,0
knapp,1
indem,1
lesen,1
Samstag,0
kaufen,1
Maßnahme,0
falsch,1
Wissen,1
okay,1
selten,1
Kunst,1
Kampf,1
links,1
Pferd,1
rot,1
komplett,1
Größe,1
August,1
Fahrzeug,1
Fuß,1
offen,1
entweder,0
schreiben,1
Bitte,1
sogenannt,1
nutzen,1
führen,1
Nähe,0
soweit,0
Sicht,1
Kreis,1
schwarz,1
Saison,1
Volk,1
dank,1
Blog,1
irgendwann,0
rechts,1
Konzept,1
Luft,1
Methode,1
Gruß,1
mm,1
Service,1
alleine,1
Freude,1
Dienst,1
Stunde,1
Zitat,1
Praxis,1
fest,1
Sport,1
Stand,1
Linie,1
Netzwerk,0
Essen,1
Website,0
Prozess,1
Druck,1
fahren,1
weiß,1
Freitag,0
Start,1
Schluss,1
Grad,1
leben,1
Lauf,1
Feld,1
Song,1
Wald,1
weg,1
Kollege,1
halb,1
Quelle,1
